Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.001436,10.15873,[7 5] ; [ 3 25],[3. 9.] ; [ 7. 21.],0
u3,1,0.009578,6.711746,[6 1] ; [ 4 11],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
p4,1,0.018372,5.560366,[10  2] ; [12 16],[6.6 5.4] ; [15.4 12.6],0
n3,1,0.018881,5.5125,[1 5] ; [9 3],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
p3,1,0.027248,4.875,[7 5] ; [ 6 21],[4. 8.] ; [ 9. 18.],0
r1,1,0.042818,4.102564,[7 5] ; [ 7 21],[4.2 7.8] ; [ 9.8 18.2],0
v3,1,0.05738,3.611538,[5 7] ; [ 4 24],[2.7 9.3] ; [ 6.3 21.7],0
p10,1,0.074791,3.174603,[10  2] ; [15 13],[7.5 4.5] ; [17.5 10.5],0
d2,1,0.075524,3.15868,[ 1 11] ; [10 18],[3.3 8.7] ; [ 7.7 20.3],0
a4,1,0.160126,1.973033,[ 1 11] ; [ 8 20],[2.7 9.3] ; [ 6.3 21.7],0
s5,1,0.167546,1.904762,[4 8] ; [ 4 24],[2.4 9.6] ; [ 5.6 22.4],0
s6,1,0.167546,1.904762,[8 4] ; [12 16],[6. 6.] ; [14. 14.],0
p6,1,0.186215,1.747312,[4 8] ; [ 4 23],[2.46153846 9.53846154] ; [ 5.53846154 21.46153846],0
v1,1,0.192884,1.695447,[6 6] ; [ 8 20],[4.2 7.8] ; [ 9.8 18.2],0
d5,1,0.204894,1.607143,[9 3] ; [15 13],[7.2 4.8] ; [16.8 11.2],0
p9,1,0.228328,1.451247,[10  2] ; [18 10],[8.4 3.6] ; [19.6  8.4],0
d4,1,0.228328,1.451247,[10  2] ; [18 10],[8.4 3.6] ; [19.6  8.4],0
a6,1,0.240163,1.37964,[8 4] ; [13 15],[6.3 5.7] ; [14.7 13.3],0
b4,1,0.240163,1.37964,[4 8] ; [15 13],[5.7 6.3] ; [13.3 14.7],0
p8,1,0.267142,1.231361,[7 5] ; [11 17],[5.4 6.6] ; [12.6 15.4],0
b5,1,0.267142,1.231361,[5 7] ; [17 11],[6.6 5.4] ; [15.4 12.6],0
s4,1,0.282759,1.153781,[4 8] ; [ 5 23],[2.7 9.3] ; [ 6.3 21.7],0
b1,1,0.285049,1.142857,[9 3] ; [16 12],[7.5 4.5] ; [17.5 10.5],0
r4,1,0.285049,1.142857,[3 9] ; [12 16],[4.5 7.5] ; [10.5 17.5],0
s3,1,0.291841,1.111111,[5 7] ; [ 7 21],[3.6 8.4] ; [ 8.4 19.6],0
d1,1,0.315117,1.009106,[ 2 10] ; [ 9 19],[3.3 8.7] ; [ 7.7 20.3],0
p7,1,0.331569,0.942761,[8 4] ; [14 14],[6.6 5.4] ; [15.4 12.6],0
r3,1,0.413783,0.667904,[9 3] ; [24  4],[9.9 2.1] ; [23.1  4.9],0
n1,1,0.422678,0.642857,[2 4] ; [ 2 10],[1.33333333 4.66666667] ; [2.66666667 9.33333333],0
p5,1,0.439506,0.597572,[ 1 11] ; [ 5 23],[ 1.8 10.2] ; [ 4.2 23.8],0
n5,1,0.442631,0.589453,[8 4] ; [15 13],[6.9 5.1] ; [16.1 11.9],0
n4,1,0.490153,0.47619,[7 5] ; [13 15],[6. 6.] ; [14. 14.],0
a5,1,0.529895,0.394593,[6 6] ; [11 17],[5.1 6.9] ; [11.9 16.1],0
v2,1,0.573138,0.31746,[4 8] ; [12 16],[4.8 7.2] ; [11.2 16.8],0
s2,1,0.588571,0.292581,[4 8] ; [ 7 21],[3.3 8.7] ; [ 7.7 20.3],0
a7,1,0.677318,0.17316,[6 6] ; [16 12],[6.6 5.4] ; [15.4 12.6],0
a3,1,0.78146,0.07696,[5 7] ; [13 15],[5.4 6.6] ; [12.6 15.4],0
p11,1,0.81668,0.053739,[9 3] ; [20  8],[8.7 3.3] ; [20.3  7.7],0
u2,1,0.823261,0.049887,[5 2] ; [10  5],[4.77272727 2.22727273] ; [10.22727273  4.77272727],0
b3,1,0.857561,0.032213,[2 4] ; [ 5 12],[1.82608696 4.17391304] ; [ 5.17391304 11.82608696],0
b2,1,0.857561,0.032213,[2 4] ; [ 5 12],[1.82608696 4.17391304] ; [ 5.17391304 11.82608696],0
d3,1,0.887981,0.019841,[7 5] ; [17 11],[7.2 4.8] ; [16.8 11.2],0
p12,1,0.895778,0.01716,[ 1 11] ; [ 2 26],[ 0.9 11.1] ; [ 2.1 25.9],0
n6,1,0.941276,0.005427,[8 4] ; [19  9],[8.1 3.9] ; [18.9  9.1],0
n2,1,1.0,0.0,[4 2] ; [8 4],[4. 2.] ; [8. 4.],0
