Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,9e-06,19.64671,[129  20] ; [59 36],[114.80327869  34.19672131] ; [73.19672131 21.80327869],1
p4,1,4.4e-05,16.702289,[105  44] ; [42 53],[89.76639344 59.23360656] ; [57.23360656 37.76639344],1
p10,1,0.00068,11.543583,[125  23] ; [61 32],[114.22406639  33.77593361] ; [71.77593361 21.22406639],1
p3,1,0.00224,9.341819,[91 58] ; [39 56],[79.3852459 69.6147541] ; [50.6147541 44.3852459],0
p5,1,0.004051,8.260766,[ 27 122] ; [ 5 89],[ 19.62139918 129.37860082] ; [12.37860082 81.62139918],0
p9,1,0.009252,6.773582,[125  23] ; [67 28],[116.9382716  31.0617284] ; [75.0617284 19.9382716],0
a7,1,0.009902,6.652358,[103  45] ; [50 44],[93.57024793 54.42975207] ; [59.42975207 34.57024793],0
s6,1,0.011702,6.355526,[104  40] ; [53 41],[94.99159664 49.00840336] ; [62.00840336 31.99159664],0
p6,1,0.012912,6.181146,[74 73] ; [32 62],[64.65560166 82.34439834] ; [41.34439834 52.65560166],0
p1,1,0.021158,5.313735,[ 17 131] ; [ 3 92],[ 12.18106996 135.81893004] ; [ 7.81893004 87.18106996],0
p12,1,0.024876,5.032509,[ 14 135] ; [ 2 93],[  9.7704918 139.2295082] ; [ 6.2295082 88.7704918],0
s5,1,0.032386,4.57797,[53 92] ; [22 72],[45.50209205 99.49790795] ; [29.49790795 64.50209205],0
s7,1,0.039252,4.249937,[76 65] ; [36 54],[68.36363636 72.63636364] ; [43.63636364 46.36363636],0
n5,1,0.064816,3.409661,[114  35] ; [61 32],[107.74793388  41.25206612] ; [67.25206612 25.74793388],0
a6,1,0.083129,3.002634,[89 60] ; [46 49],[82.43852459 66.56147541] ; [52.56147541 42.43852459],0
a5,1,0.103396,2.65236,[88 61] ; [46 49],[81.82786885 67.17213115] ; [52.17213115 42.82786885],0
n4,1,0.111553,2.532085,[108  41] ; [59 35],[102.39917695  46.60082305] ; [64.60082305 29.39917695],0
r3,1,0.135497,2.228372,[142   7] ; [85  9],[139.18930041   9.81069959] ; [87.81069959  6.18930041],0
r4,1,0.156324,2.009428,[128  21] ; [75 20],[123.96311475  25.03688525] ; [79.03688525 15.96311475],0
p2,1,0.168437,1.8968,[133  16] ; [79 16],[129.45901639  19.54098361] ; [82.54098361 12.45901639],0
n1,1,0.172801,1.85847,[15 17] ; [ 9 21],[12.38709677 19.61290323] ; [11.61290323 18.38709677],0
v3,1,0.238821,1.387539,[55 93] ; [28 66],[50.76033058 97.23966942] ; [32.23966942 61.76033058],0
d2,1,0.269351,1.220048,[ 19 130] ; [17 78],[ 21.98360656 127.01639344] ; [14.01639344 80.98360656],0
a3,1,0.305601,1.049592,[82 67] ; [58 36],[85.8436214 63.1563786] ; [54.1563786 39.8436214],0
r1,1,0.307892,1.039695,[110  39] ; [63 30],[106.51652893  42.48347107] ; [66.48347107 26.51652893],0
s8,1,0.311548,1.024103,[62 87] ; [33 61],[58.25102881 90.74897119] ; [36.74897119 57.25102881],0
b2,1,0.396338,0.719409,[28 55] ; [18 48],[25.62416107 57.37583893] ; [20.37583893 45.62416107],0
b3,1,0.396338,0.719409,[28 55] ; [18 48],[25.62416107 57.37583893] ; [20.37583893 45.62416107],0
v4,1,0.456831,0.553649,[139   9] ; [85  8],[137.56016598  10.43983402] ; [86.43983402  6.56016598],0
a4,1,0.465354,0.532987,[ 35 114] ; [26 68],[ 37.40329218 111.59670782] ; [23.59670782 70.40329218],0
r2,1,0.473693,0.513347,[131  16] ; [80 13],[129.2375  17.7625] ; [81.7625 11.2375],0
s4,1,0.498386,0.458372,[ 27 121] ; [14 80],[ 25.07438017 122.92561983] ; [15.92561983 78.07438017],0
v2,1,0.510054,0.433957,[77 66] ; [46 47],[74.52966102 68.47033898] ; [48.47033898 44.52966102],0
s2,1,0.530213,0.393983,[72 77] ; [42 53],[69.6147541 79.3852459] ; [44.3852459 50.6147541],0
n3,1,0.590014,0.290323,[24  8] ; [25  6],[24.88888889  7.11111111] ; [24.11111111  6.88888889],0
u2,1,0.625238,0.238574,[34 33] ; [19 15],[35.15841584 31.84158416] ; [17.84158416 16.15841584],0
a1,1,0.649943,0.205972,[  6 143] ; [ 5 90],[  6.71721311 142.28278689] ; [ 4.28278689 90.71721311],0
u1,1,0.649943,0.205972,[  6 143] ; [ 5 90],[  6.71721311 142.28278689] ; [ 4.28278689 90.71721311],0
a2,1,0.682783,0.167009,[  9 140] ; [ 7 88],[  9.7704918 139.2295082] ; [ 6.2295082 88.7704918],0
d5,1,0.697415,0.151175,[85 64] ; [56 38],[86.45679012 62.54320988] ; [54.54320988 39.45679012],0
n6,1,0.703508,0.144848,[121  27] ; [75 19],[119.8677686  28.1322314] ; [76.1322314 17.8677686],0
n2,1,0.707204,0.141086,[26  6] ; [24  7],[25.3968254  6.6031746] ; [24.6031746  6.3968254],0
d3,1,0.730606,0.118556,[61 88] ; [36 57],[59.7231405 89.2768595] ; [37.2768595 55.7231405],0
u4,1,0.747253,0.103854,[  1 148] ; [ 1 94],[  1.22131148 147.77868852] ; [ 0.77868852 94.22131148],0
d4,1,0.85695,0.032493,[88 61] ; [55 40],[87.32377049 61.67622951] ; [55.67622951 39.32377049],0
b4,1,0.860712,0.030789,[77 72] ; [48 47],[76.33196721 72.66803279] ; [48.66803279 46.33196721],0
b1,1,0.87303,0.025539,[69 80] ; [43 52],[68.39344262 80.60655738] ; [43.60655738 51.39344262],0
b5,1,0.882122,0.021987,[83 66] ; [52 43],[82.43852459 66.56147541] ; [52.56147541 42.43852459],0
v1,1,0.893888,0.017792,[73 74] ; [46 45],[73.5 73.5] ; [45.5 45.5],0
s3,1,0.915829,0.01117,[84 64] ; [54 40],[84.39669421 63.60330579] ; [53.60330579 40.39669421],0
a8,1,0.938792,0.005897,[ 20 118] ; [13 79],[ 19.8 118.2] ; [13.2 78.8],0
s1,1,0.956156,0.003023,[  5 144] ; [ 3 90],[  4.92561983 144.07438017] ; [ 3.07438017 89.92561983],0
u3,1,1.0,0.0,[33 33] ; [18 18],[33. 33.] ; [18. 18.],0
