Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.01796,5.6,[3 3] ; [ 4 32],[1. 5.] ; [ 6. 30.],0
p3,1,0.037025,4.349265,[3 3] ; [ 5 31],[1.14285714 4.85714286] ; [ 6.85714286 29.14285714],0
a4,1,0.069043,3.305619,[4 2] ; [10 25],[2.04878049 3.95121951] ; [11.95121951 23.04878049],0
b1,1,0.07776,3.111111,[5 1] ; [16 20],[3. 3.] ; [18. 18.],0
s6,1,0.103754,2.646875,[3 3] ; [ 7 29],[1.42857143 4.57142857] ; [ 8.57142857 27.42857143],0
b4,1,0.11956,2.423077,[2 4] ; [24 12],[3.71428571 2.28571429] ; [22.28571429 13.71428571],0
p6,1,0.146812,2.105067,[1 5] ; [ 1 34],[0.29268293 5.70731707] ; [ 1.70731707 33.29268293],0
n3,1,0.221099,1.497222,[4 2] ; [ 6 10],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
p4,1,0.236724,1.4,[2 4] ; [ 5 31],[1. 5.] ; [ 6. 30.],0
s2,1,0.236724,1.4,[2 4] ; [ 5 31],[1. 5.] ; [ 6. 30.],0
s3,1,0.297327,1.086146,[3 3] ; [10 25],[1.90243902 4.09756098] ; [11.09756098 23.90243902],0
p1,1,0.335782,0.926471,[2 4] ; [ 6 30],[1.14285714 4.85714286] ; [ 6.85714286 29.14285714],0
s7,1,0.336089,0.925294,[2 3] ; [ 7 27],[1.15384615 3.84615385] ; [ 7.84615385 26.15384615],0
d4,1,0.349575,0.875,[3 3] ; [25 11],[4. 2.] ; [24. 12.],0
v1,1,0.355168,0.854906,[2 4] ; [ 6 29],[1.17073171 4.82926829] ; [ 6.82926829 28.17073171],0
n2,1,0.408451,0.683304,[2 4] ; [9 8],[2.86956522 3.13043478] ; [8.13043478 8.86956522],0
p7,1,0.442719,0.589226,[2 4] ; [ 7 29],[1.28571429 4.71428571] ; [ 7.71428571 28.28571429],0
s8,1,0.519708,0.414474,[1 5] ; [ 3 33],[0.57142857 5.42857143] ; [ 3.42857143 32.57142857],0
n6,1,0.550836,0.355821,[3 3] ; [13 22],[2.34146341 3.65853659] ; [13.65853659 21.34146341],0
d2,1,0.572333,0.318795,[4 2] ; [19 16],[3.36585366 2.63414634] ; [19.63414634 15.36585366],0
n5,1,0.607706,0.263529,[3 3] ; [22 14],[3.57142857 2.42857143] ; [21.42857143 14.57142857],0
b5,1,0.61063,0.259259,[2 4] ; [16 20],[2.57142857 3.42857143] ; [15.42857143 20.57142857],0
b3,1,0.661003,0.192308,[2 2] ; [10 16],[1.6 2.4] ; [10.4 15.6],0
b2,1,0.661003,0.192308,[2 2] ; [10 16],[1.6 2.4] ; [10.4 15.6],0
a3,1,0.661746,0.19141,[4 2] ; [20 15],[3.51219512 2.48780488] ; [20.48780488 14.51219512],0
v2,1,0.697146,0.151457,[2 4] ; [ 9 26],[1.6097561 4.3902439] ; [ 9.3902439 25.6097561],0
s5,1,0.697247,0.151351,[1 5] ; [ 4 32],[0.71428571 5.28571429] ; [ 4.28571429 31.71428571],0
d1,1,0.702549,0.145833,[3 3] ; [15 21],[2.57142857 3.42857143] ; [15.42857143 20.57142857],0
n1,1,0.707787,0.140498,[3 3] ; [10  7],[3.39130435 2.60869565] ; [9.60869565 7.39130435],0
p9,1,0.72852,0.120475,[2 4] ; [ 9 25],[1.65 4.35] ; [ 9.35 24.65],0
p10,1,0.735004,0.114567,[1 5] ; [ 8 27],[1.31707317 4.68292683] ; [ 7.68292683 27.31707317],0
d3,1,0.795298,0.067308,[2 4] ; [14 22],[2.28571429 3.71428571] ; [13.71428571 22.28571429],0
d5,1,0.80017,0.064073,[3 3] ; [20 16],[3.28571429 2.71428571] ; [19.71428571 16.28571429],0
r3,1,0.80017,0.064073,[3 3] ; [16 20],[2.71428571 3.28571429] ; [16.28571429 19.71428571],0
v3,1,0.807262,0.059516,[1 4] ; [ 9 27],[1.2195122 3.7804878] ; [ 8.7804878 27.2195122],0
r2,1,0.862362,0.030057,[3 2] ; [19 15],[2.82051282 2.17948718] ; [19.17948718 14.82051282],0
p8,1,0.878828,0.023243,[1 5] ; [ 5 30],[0.87804878 5.12195122] ; [ 5.12195122 29.87804878],0
p11,1,0.891613,0.018568,[2 4] ; [11 25],[1.85714286 4.14285714] ; [11.14285714 24.85714286],0
a5,1,0.899628,0.015909,[3 3] ; [19 17],[3.14285714 2.85714286] ; [18.85714286 17.14285714],0
n4,1,1.0,0.0,[4 2] ; [24 12],[4. 2.] ; [24. 12.],0
r4,1,1.0,0.0,[1 5] ; [ 6 30],[1. 5.] ; [ 6. 30.],0
r1,1,1.0,0.0,[2 4] ; [12 24],[2. 4.] ; [12. 24.],0
