Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.3e-05,17.946968,[45  2] ; [7 7],[40.06557377  6.93442623] ; [11.93442623  2.06557377],1
v2,1,0.005614,7.670132,[26 18] ; [ 2 11],[21.61403509 22.38596491] ; [6.38596491 6.61403509],0
r3,1,0.007324,7.191674,[45  2] ; [10  4],[42.37704918  4.62295082] ; [12.62295082  1.37704918],0
p8,1,0.008082,7.015324,[29 18] ; [ 3 11],[24.6557377 22.3442623] ; [7.3442623 6.6557377],0
v4,1,0.022229,5.227787,[44  3] ; [10  4],[41.60655738  5.39344262] ; [12.39344262  1.60655738],0
d3,1,0.02953,4.73642,[32 15] ; [5 9],[28.50819672 18.49180328] ; [8.49180328 5.50819672],0
n1,1,0.052958,3.745238,[1 6] ; [4 2],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
v3,1,0.061221,3.503999,[16 28] ; [ 1 11],[13.35714286 30.64285714] ; [3.64285714 8.35714286],0
a7,1,0.061341,3.500755,[33 14] ; [6 8],[30.04918033 16.95081967] ; [8.95081967 5.04918033],0
s3,1,0.067718,3.337488,[24 23] ; [11  3],[26.96721311 20.03278689] ; [8.03278689 5.96721311],0
p2,1,0.085393,2.959155,[40  7] ; [9 5],[37.75409836  9.24590164] ; [11.24590164  2.75409836],0
p1,1,0.096758,2.758177,[ 5 42] ; [ 4 10],[ 6.93442623 40.06557377] ; [ 2.06557377 11.93442623],0
r2,1,0.097051,2.753343,[44  3] ; [11  3],[42.37704918  4.62295082] ; [12.62295082  1.37704918],0
a5,1,0.107116,2.59626,[37 10] ; [8 6],[34.67213115 12.32786885] ; [10.32786885  3.67213115],0
p4,1,0.120408,2.412005,[31 16] ; [6 8],[28.50819672 18.49180328] ; [8.49180328 5.50819672],0
p11,1,0.120408,2.412005,[31 16] ; [6 8],[28.50819672 18.49180328] ; [8.49180328 5.50819672],0
a8,1,0.230804,1.435897,[ 2 40] ; [ 2 12],[ 3. 39.] ; [ 1. 13.],0
s4,1,0.270826,1.212557,[10 37] ; [5 9],[11.55737705 35.44262295] ; [ 3.44262295 10.55737705],0
d2,1,0.336259,0.924644,[20 27] ; [8 6],[21.57377049 25.42622951] ; [6.42622951 7.57377049],0
s5,1,0.342607,0.900651,[11 33] ; [5 8],[12.35087719 31.64912281] ; [3.64912281 9.35087719],0
s8,1,0.347211,0.883622,[20 27] ; [ 4 10],[18.49180328 28.50819672] ; [5.50819672 8.49180328],0
a1,1,0.354985,0.855559,[ 1 46] ; [ 1 13],[ 1.54098361 45.45901639] ; [ 0.45901639 13.54098361],0
d5,1,0.358034,0.844776,[36 11] ; [9 5],[34.67213115 12.32786885] ; [10.32786885  3.67213115],0
a3,1,0.360499,0.836155,[33 14] ; [8 6],[31.59016393 15.40983607] ; [9.40983607 4.59016393],0
n3,1,0.416448,0.660317,[6 1] ; [4 2],[5.38461538 1.61538462] ; [4.61538462 1.38461538],0
a6,1,0.449416,0.572123,[32 15] ; [8 6],[30.81967213 16.18032787] ; [9.18032787 4.81967213],0
p9,1,0.450162,0.570245,[32 15] ; [11  3],[33.13114754 13.86885246] ; [9.86885246 4.13114754],0
b1,1,0.505887,0.442565,[29 18] ; [10  4],[30.04918033 16.95081967] ; [8.95081967 5.04918033],0
v1,1,0.541552,0.372671,[24 22] ; [6 8],[23. 23.] ; [7. 7.],0
p10,1,0.546583,0.363473,[31 16] ; [8 6],[30.04918033 16.95081967] ; [8.95081967 5.04918033],0
d4,1,0.56354,0.333612,[37 10] ; [12  2],[37.75409836  9.24590164] ; [11.24590164  2.75409836],0
a2,1,0.56354,0.333612,[10 37] ; [ 2 12],[ 9.24590164 37.75409836] ; [ 2.75409836 11.24590164],0
u3,1,0.573138,0.31746,[11  3] ; [4 2],[10.5  3.5] ; [4.5 1.5],0
s2,1,0.62243,0.242467,[20 27] ; [7 7],[20.80327869 26.19672131] ; [6.19672131 7.80327869],0
n4,1,0.62243,0.242467,[27 20] ; [7 7],[26.19672131 20.80327869] ; [7.80327869 6.19672131],0
u2,1,0.636982,0.222711,[10  3] ; [4 2],[9.57894737 3.42105263] ; [4.42105263 1.57894737],0
s7,1,0.676648,0.173923,[15 26] ; [6 8],[15.65454545 25.34545455] ; [5.34545455 8.65454545],0
p7,1,0.71002,0.138257,[32 14] ; [9 5],[31.43333333 14.56666667] ; [9.56666667 4.43333333],0
a4,1,0.751439,0.100326,[19 28] ; [5 9],[18.49180328 28.50819672] ; [5.50819672 8.49180328],0
s6,1,0.751439,0.100326,[28 19] ; [9 5],[28.50819672 18.49180328] ; [8.49180328 5.50819672],0
b4,1,0.794533,0.067823,[25 22] ; [8 6],[25.42622951 21.57377049] ; [7.57377049 6.42622951],0
n5,1,0.829118,0.046584,[15 31] ; [5 9],[15.33333333 30.66666667] ; [4.66666667 9.33333333],0
b2,1,0.84547,0.037987,[10 20] ; [3 7],[ 9.75 20.25] ; [3.25 6.75],0
b3,1,0.84547,0.037987,[10 20] ; [3 7],[ 9.75 20.25] ; [3.25 6.75],0
b5,1,0.871001,0.026369,[28 19] ; [8 6],[27.73770492 19.26229508] ; [8.26229508 5.73770492],0
p5,1,0.919692,0.010165,[ 3 44] ; [ 1 13],[ 3.08196721 43.91803279] ; [ 0.91803279 13.08196721],0
d1,1,0.944282,0.004884,[24 23] ; [7 7],[23.8852459 23.1147541] ; [7.1147541 6.8852459],0
p6,1,0.991357,0.000117,[16 29] ; [5 9],[16.01694915 28.98305085] ; [4.98305085 9.01694915],0
