Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,25.345205,[61 12] ; [ 3 12],[53.09090909 19.90909091] ; [10.90909091  4.09090909],1
n4,1,1e-06,23.663676,[60 13] ; [ 3 12],[52.26136364 20.73863636] ; [10.73863636  4.26136364],1
b1,1,0.021662,5.272729,[27 46] ; [ 1 14],[23.22727273 49.77272727] ; [ 4.77272727 10.22727273],0
v4,1,0.02616,4.945406,[70  3] ; [12  3],[68.02272727  4.97727273] ; [13.97727273  1.02272727],0
p11,1,0.036742,4.362318,[54 19] ; [7 8],[50.60227273 22.39772727] ; [10.39772727  4.60227273],0
b2,1,0.070873,3.262694,[12 29] ; [5 3],[14.2244898 26.7755102] ; [2.7755102 5.2244898],0
b3,1,0.070873,3.262694,[12 29] ; [5 3],[14.2244898 26.7755102] ; [2.7755102 5.2244898],0
d2,1,0.072976,3.214778,[38 35] ; [ 4 11],[34.84090909 38.15909091] ; [7.15909091 7.84090909],0
p2,1,0.094827,2.790462,[62 11] ; [10  5],[59.72727273 13.27272727] ; [12.27272727  2.72727273],0
p9,1,0.111968,2.526222,[64  8] ; [11  4],[62.06896552  9.93103448] ; [12.93103448  2.06896552],0
a4,1,0.115651,2.475253,[30 42] ; [ 3 12],[27.31034483 44.68965517] ; [5.68965517 9.31034483],0
s6,1,0.127453,2.323251,[43 27] ; [6 9],[40.35294118 29.64705882] ; [8.64705882 6.35294118],0
u2,1,0.173617,1.851429,[19 11] ; [2 4],[17.5 12.5] ; [3.5 2.5],0
p4,1,0.179474,1.801974,[43 30] ; [6 9],[40.64772727 32.35227273] ; [8.35227273 6.64772727],0
s5,1,0.19758,1.660175,[14 53] ; [ 1 14],[12.25609756 54.74390244] ; [ 2.74390244 12.25609756],0
s3,1,0.203099,1.619945,[36 34] ; [ 5 10],[33.76470588 36.23529412] ; [7.23529412 7.76470588],0
v2,1,0.220988,1.497945,[35 36] ; [10  5],[37.15116279 33.84883721] ; [7.84883721 7.15116279],0
v3,1,0.234672,1.412317,[24 48] ; [7 7],[25.95348837 46.04651163] ; [5.04651163 8.95348837],0
p10,1,0.236245,1.402864,[58 14] ; [10  5],[56.27586207 15.72413793] ; [11.72413793  3.27586207],0
s7,1,0.276278,1.185306,[31 39] ; [ 4 10],[29.16666667 40.83333333] ; [5.83333333 8.16666667],0
s8,1,0.352528,0.864337,[28 43] ; [ 4 11],[26.41860465 44.58139535] ; [5.58139535 9.41860465],0
d5,1,0.37365,0.791488,[50 23] ; [12  3],[51.43181818 21.56818182] ; [10.56818182  4.43181818],0
p6,1,0.380772,0.768208,[17 55] ; [ 2 13],[15.72413793 56.27586207] ; [ 3.27586207 11.72413793],0
u1,1,0.387794,0.745846,[11 62] ; [ 1 14],[ 9.95454545 63.04545455] ; [ 2.04545455 12.95454545],0
a6,1,0.391342,0.734768,[45 28] ; [11  4],[46.45454545 26.54545455] ; [9.54545455 5.45454545],0
r4,1,0.453232,0.562557,[63 10] ; [14  1],[63.875  9.125] ; [13.125  1.875],0
n2,1,0.480659,0.497368,[14  5] ; [1 1],[13.57142857  5.42857143] ; [1.42857143 0.57142857],0
a5,1,0.4861,0.485148,[55 18] ; [10  5],[53.92045455 19.07954545] ; [11.07954545  3.92045455],0
p1,1,0.531025,0.39243,[10 63] ; [ 3 12],[10.78409091 62.21590909] ; [ 2.21590909 12.78409091],0
p3,1,0.549331,0.358516,[30 42] ; [ 5 10],[28.96551724 43.03448276] ; [6.03448276 8.96551724],0
b4,1,0.575837,0.313013,[43 30] ; [10  5],[43.96590909 29.03409091] ; [9.03409091 5.96590909],0
s2,1,0.614396,0.253822,[33 37] ; [6 9],[32.11764706 37.88235294] ; [6.88235294 8.11764706],0
b5,1,0.690566,0.158473,[43 30] ; [8 7],[42.30681818 30.69318182] ; [8.69318182 6.30681818],0
r1,1,0.699911,0.148564,[55 18] ; [12  3],[55.57954545 17.42045455] ; [11.42045455  3.57954545],0
v1,1,0.701424,0.146995,[37 34] ; [7 8],[36.3255814 34.6744186] ; [7.6744186 7.3255814],0
r3,1,0.719904,0.128584,[66  7] ; [14  1],[66.36363636  6.63636364] ; [13.63636364  1.36363636],0
d1,1,0.840673,0.040414,[41 32] ; [8 7],[40.64772727 32.35227273] ; [8.35227273 6.64772727],0
s1,1,0.856441,0.032727,[ 4 69] ; [ 1 14],[ 4.14772727 68.85227273] ; [ 0.85227273 14.14772727],0
d3,1,0.866112,0.028426,[47 26] ; [10  5],[47.28409091 25.71590909] ; [9.71590909 5.28409091],0
u3,1,0.881316,0.022291,[16 14] ; [3 3],[15.83333333 14.16666667] ; [3.16666667 2.83333333],0
n1,1,0.943494,0.005024,[10  9] ; [1 1],[9.95238095 9.04761905] ; [1.04761905 0.95238095],0
n3,1,0.943494,0.005024,[10  9] ; [1 1],[9.95238095 9.04761905] ; [1.04761905 0.95238095],0
a7,1,0.959068,0.002634,[54 19] ; [11  4],[53.92045455 19.07954545] ; [11.07954545  3.92045455],0
d4,1,0.961781,0.002296,[58 15] ; [12  3],[58.06818182 14.93181818] ; [11.93181818  3.06818182],0
a3,1,0.984076,0.000398,[43 29] ; [9 6],[43.03448276 28.96551724] ; [8.96551724 6.03448276],0
