Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.004011,8.278746,[ 3 74] ; [3 8],[ 5.25 71.75] ; [ 0.75 10.25],0
r4,1,0.007357,7.183673,[53 24] ; [3 8],[49. 28.] ; [7. 4.],0
v4,1,0.012953,6.175562,[71  4] ; [8 3],[68.89534884  6.10465116] ; [10.10465116  0.89534884],0
s6,1,0.076084,3.146623,[47 26] ; [4 7],[44.32142857 28.67857143] ; [6.67857143 4.32142857],0
u2,1,0.090991,2.856751,[20 23] ; [5 1],[21.93877551 21.06122449] ; [3.06122449 2.93877551],0
p2,1,0.099712,2.710139,[64 12] ; [7 4],[62.02298851 13.97701149] ; [8.97701149 2.02298851],0
s7,1,0.106108,2.611255,[32 41] ; [2 9],[29.54761905 43.45238095] ; [4.45238095 6.54761905],0
n2,1,0.115078,2.483069,[16  5] ; [2 3],[14.53846154  6.46153846] ; [3.46153846 1.53846154],0
n6,1,0.155694,2.015561,[67 10] ; [7 3],[65.49425287 11.50574713] ; [8.50574713 1.49425287],0
s8,1,0.15712,2.001732,[31 46] ; [2 9],[28.875 48.125] ; [4.125 6.875],0
p3,1,0.225683,1.467863,[43 34] ; [4 7],[41.125 35.875] ; [5.875 5.125],0
u3,1,0.226399,1.463341,[17 25] ; [4 2],[18.375 23.625] ; [2.625 3.375],0
n5,1,0.268701,1.223365,[54 22] ; [6 5],[52.4137931 23.5862069] ; [7.5862069 3.4137931],0
v2,1,0.273506,1.199077,[34 42] ; [3 8],[32.32183908 43.67816092] ; [4.67816092 6.32183908],0
s3,1,0.281221,1.161182,[37 40] ; [3 7],[35.40229885 41.59770115] ; [4.59770115 5.40229885],0
v3,1,0.287534,1.13113,[26 50] ; [2 9],[24.45977011 51.54022989] ; [3.54022989 7.45977011],0
d5,1,0.395326,0.722496,[52 25] ; [6 5],[50.75 26.25] ; [7.25 3.75],0
p9,1,0.403318,0.698413,[64 13] ; [8 3],[63. 14.] ; [9. 2.],0
b5,1,0.407967,0.684718,[46 31] ; [8 3],[47.25 29.75] ; [6.75 4.25],0
n4,1,0.447774,0.576279,[51 26] ; [6 5],[49.875 27.125] ; [7.125 3.875],0
p4,1,0.453842,0.561039,[47 30] ; [8 3],[48.125 28.875] ; [6.875 4.125],0
p1,1,0.456858,0.553582,[ 8 68] ; [2 9],[ 8.73563218 67.26436782] ; [1.26436782 9.73563218],0
b2,1,0.463432,0.537594,[11 33] ; [3 5],[11.84615385 32.15384615] ; [2.15384615 5.84615385],0
b3,1,0.463432,0.537594,[11 33] ; [3 5],[11.84615385 32.15384615] ; [2.15384615 5.84615385],0
v1,1,0.488056,0.480809,[33 43] ; [6 5],[34.06896552 41.93103448] ; [4.93103448 6.06896552],0
s2,1,0.517413,0.419048,[34 43] ; [6 5],[35. 42.] ; [5. 6.],0
n1,1,0.561545,0.337037,[ 7 14] ; [1 4],[ 6.46153846 14.53846154] ; [1.53846154 3.46153846],0
d3,1,0.570202,0.322344,[42 35] ; [7 4],[42.875 34.125] ; [6.125 4.875],0
a6,1,0.571807,0.319668,[42 35] ; [5 6],[41.125 35.875] ; [5.875 5.125],0
n3,1,0.618757,0.247619,[15  6] ; [3 2],[14.53846154  6.46153846] ; [3.46153846 1.53846154],0
a7,1,0.619551,0.246499,[48 29] ; [6 5],[47.25 29.75] ; [6.75 4.25],0
s4,1,0.624401,0.23973,[16 61] ; [3 8],[16.625 60.375] ; [2.375 8.625],0
d4,1,0.662232,0.190823,[54 23] ; [7 4],[53.375 23.625] ; [7.625 3.375],0
b4,1,0.683194,0.166553,[44 33] ; [7 4],[44.625 32.375] ; [6.375 4.625],0
a4,1,0.700551,0.147899,[18 59] ; [2 9],[17.5 59.5] ; [2.5 8.5],0
p7,1,0.713384,0.134921,[56 19] ; [8 2],[56.47058824 18.52941176] ; [7.52941176 2.47058824],0
b1,1,0.797062,0.066127,[25 52] ; [4 7],[25.375 51.625] ; [3.625 7.375],0
s5,1,0.871708,0.026079,[18 54] ; [3 8],[18.21686747 53.78313253] ; [2.78313253 8.21686747],0
a1,1,0.881631,0.022172,[ 6 71] ; [ 1 10],[ 6.125 70.875] ; [ 0.875 10.125],0
p11,1,0.914671,0.011481,[64 13] ; [9 2],[63.875 13.125] ; [9.125 1.875],0
d2,1,0.926936,0.008409,[20 57] ; [3 8],[20.125 56.875] ; [2.875 8.125],0
a3,1,0.935356,0.006578,[34 43] ; [5 6],[34.125 42.875] ; [4.875 6.125],0
a5,1,0.935625,0.006524,[41 36] ; [6 5],[41.125 35.875] ; [5.875 5.125],0
r2,1,0.953467,0.003405,[60 14] ; [9 2],[60.07058824 13.92941176] ; [8.92941176 2.07058824],0
p10,1,0.953467,0.003405,[60 14] ; [9 2],[60.07058824 13.92941176] ; [8.92941176 2.07058824],0
p5,1,0.984727,0.000366,[14 62] ; [2 9],[13.97701149 62.02298851] ; [2.02298851 8.97701149],0
p6,1,0.993983,5.7e-05,[34 41] ; [5 6],[34.01162791 40.98837209] ; [4.98837209 6.01162791],0
d1,1,1.0,0.0,[28 49] ; [4 7],[28. 49.] ; [4. 7.],0
