Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,65.709754,[241  25] ; [19 26],[222.37942122  43.62057878] ; [37.62057878  7.37942122],1
n6,1,0.0,36.68993,[246  18] ; [28 17],[234.09708738  29.90291262] ; [39.90291262  5.09708738],1
a5,1,0.000189,13.93767,[222  46] ; [27 19],[212.52229299  55.47770701] ; [36.47770701  9.52229299],1
s4,1,0.000249,13.419119,[ 59 207] ; [22 24],[ 69.05769231 196.94230769] ; [11.94230769 34.05769231],1
v3,1,0.000523,12.030918,[130 129] ; [ 9 33],[119.60465116 139.39534884] ; [19.39534884 22.60465116],1
r1,1,0.00209,9.469068,[233  34] ; [32 14],[226.0543131  40.9456869] ; [38.9456869  7.0543131],0
d1,1,0.002959,8.832451,[188  80] ; [22 24],[179.23566879  88.76433121] ; [30.76433121 15.23566879],0
p3,1,0.005397,7.741308,[157 109] ; [17 29],[148.34615385 117.65384615] ; [25.65384615 20.34615385],0
p5,1,0.006747,7.339209,[ 48 216] ; [ 1 44],[ 41.86407767 222.13592233] ; [ 7.13592233 37.86407767],0
a4,1,0.011845,6.33391,[147 121] ; [16 30],[139.12101911 128.87898089] ; [23.87898089 22.12101911],0
p4,1,0.01526,5.886191,[187  79] ; [24 22],[179.89102564  86.10897436] ; [31.10897436 14.89102564],0
u1,1,0.036176,4.38878,[ 74 194] ; [ 6 40],[ 68.28025478 199.71974522] ; [11.71974522 34.28025478],0
p11,1,0.036778,4.360661,[217  51] ; [31 15],[211.66878981  56.33121019] ; [36.33121019  9.66878981],0
a3,1,0.039164,4.253732,[225  42] ; [33 13],[220.08306709  46.91693291] ; [37.91693291  8.08306709],0
a8,1,0.043877,4.061306,[ 47 196] ; [ 3 41],[ 42.33449477 200.66550523] ; [ 7.66550523 36.33449477],0
d2,1,0.043998,4.056656,[158 108] ; [20 26],[151.75641026 114.24358974] ; [26.24358974 19.75641026],0
d4,1,0.092121,2.836915,[232  33] ; [36 10],[228.36012862  36.63987138] ; [39.63987138  6.36012862],0
p2,1,0.104612,2.633786,[233  34] ; [36 10],[229.46645367  37.53354633] ; [39.53354633  6.46645367],0
b4,1,0.123564,2.371552,[148 120] ; [31 15],[152.77707006 115.22292994] ; [26.22292994 19.77707006],0
p12,1,0.124185,2.36373,[ 32 235] ; [ 2 44],[ 29.00319489 237.99680511] ; [ 4.99680511 41.00319489],0
a1,1,0.164571,1.931712,[ 21 247] ; [ 1 45],[ 18.77707006 249.22292994] ; [ 3.22292994 42.77707006],0
a7,1,0.173532,1.852164,[183  85] ; [36 10],[186.91719745  81.08280255] ; [32.08280255 13.91719745],0
r4,1,0.20448,1.610082,[248  20] ; [40  6],[245.8089172  22.1910828] ; [42.1910828  3.8089172],0
a2,1,0.222666,1.487105,[ 82 186] ; [10 36],[ 78.52229299 189.47770701] ; [13.47770701 32.52229299],0
v2,1,0.226902,1.460176,[167  96] ; [22 19],[163.50986842  99.49013158] ; [25.49013158 15.50986842],0
d5,1,0.227543,1.456152,[226  39] ; [36 10],[223.24758842  41.75241158] ; [38.75241158  7.24758842],0
d3,1,0.282978,1.152732,[194  72] ; [30 16],[190.97435897  75.02564103] ; [33.02564103 12.97435897],0
u3,1,0.289452,1.122166,[30 13] ; [11  2],[31.48214286 11.51785714] ; [9.51785714 3.48214286],0
v1,1,0.322801,0.977564,[159 101] ; [24 21],[156. 104.] ; [27. 18.],0
p8,1,0.324025,0.972632,[153 111] ; [22 22],[150. 114.] ; [25. 19.],0
