Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.8e-05,17.544814,[ 4 12] ; [66 19],[11.08910891  4.91089109] ; [58.91089109 26.08910891],1
n4,1,0.000448,12.322249,[8 8] ; [75 11],[13.01960784  2.98039216] ; [69.98039216 16.01960784],1
s5,1,0.00076,11.336001,[10  3] ; [23 57],[4.61290323 8.38709677] ; [28.38709677 51.61290323],1
n6,1,0.000775,11.300412,[9 7] ; [77  9],[13.49019608  2.50980392] ; [72.50980392 13.49019608],1
p1,1,0.026006,4.955612,[ 4 12] ; [ 6 80],[ 1.56862745 14.43137255] ; [ 8.43137255 77.56862745],0
p11,1,0.044135,4.051398,[7 9] ; [60 26],[10.50980392  5.49019608] ; [56.49019608 29.50980392],0
b5,1,0.076426,3.139317,[14  2] ; [56 30],[10.98039216  5.01960784] ; [59.01960784 26.98039216],0
d3,1,0.078917,3.08706,[13  2] ; [54 31],[10.05  4.95] ; [56.95 28.05],0
p2,1,0.088261,2.905814,[11  5] ; [74 12],[13.33333333  2.66666667] ; [71.66666667 14.33333333],0
d4,1,0.104704,2.632383,[15  1] ; [65 21],[12.54901961  3.45098039] ; [67.45098039 18.54901961],0
r1,1,0.111603,2.531368,[9 7] ; [65 21],[11.60784314  4.39215686] ; [62.39215686 23.60784314],0
a4,1,0.121202,2.401722,[12  4] ; [46 39],[9.18811881 6.81188119] ; [48.81188119 36.18811881],0
d1,1,0.130147,2.290748,[12  4] ; [47 39],[9.25490196 6.74509804] ; [49.74509804 36.25490196],0
u1,1,0.139047,2.188472,[7 9] ; [22 64],[ 4.54901961 11.45098039] ; [24.45098039 61.54901961],0
a3,1,0.167749,1.902946,[14  2] ; [61 25],[11.76470588  4.23529412] ; [63.23529412 22.76470588],0
s2,1,0.192919,1.695183,[12  4] ; [49 36],[9.66336634 6.33663366] ; [51.33663366 33.66336634],0
d2,1,0.22538,1.469781,[11  5] ; [45 41],[8.78431373 7.21568627] ; [47.21568627 38.78431373],0
v3,1,0.292477,1.108185,[ 3 12] ; [28 55],[ 4.74489796 10.25510204] ; [26.25510204 56.74489796],0
s8,1,0.295126,1.096089,[10  6] ; [41 44],[8.07920792 7.92079208] ; [42.92079208 42.07920792],0
n1,1,0.305963,1.048022,[3 2] ; [10 18],[1.96969697 3.03030303] ; [11.03030303 16.96969697],0
s7,1,0.312428,1.020385,[12  4] ; [50 31],[10.22680412  5.77319588] ; [51.77319588 29.22680412],0
a2,1,0.335748,0.926599,[7 9] ; [27 59],[ 5.33333333 10.66666667] ; [28.66666667 57.33333333],0
n2,1,0.363602,0.825414,[4 1] ; [17 12],[3.08823529 1.91176471] ; [17.91176471 11.08823529],0
v1,1,0.369415,0.805632,[7 9] ; [47 37],[8.64 7.36] ; [45.36 38.64],0
a6,1,0.395689,0.721388,[13  3] ; [61 25],[11.60784314  4.39215686] ; [62.39215686 23.60784314],0
a5,1,0.395689,0.721388,[13  3] ; [61 25],[11.60784314  4.39215686] ; [62.39215686 23.60784314],0
v2,1,0.439149,0.598505,[8 7] ; [53 30],[9.33673469 5.66326531] ; [51.66326531 31.33673469],0
a7,1,0.523141,0.407696,[12  3] ; [62 24],[10.99009901  4.00990099] ; [63.00990099 22.99009901],0
s3,1,0.593841,0.284385,[10  6] ; [47 38],[9.02970297 6.97029703] ; [47.97029703 37.02970297],0
p5,1,0.601284,0.273063,[ 1 15] ; [ 3 83],[ 0.62745098 15.37254902] ; [ 3.37254902 82.62745098],0
r3,1,0.601284,0.273063,[15  1] ; [83  3],[15.37254902  0.62745098] ; [82.62745098  3.37254902],0
b4,1,0.62001,0.245854,[10  6] ; [48 38],[9.09803922 6.90196078] ; [48.90196078 37.09803922],0
p7,1,0.676185,0.174452,[10  6] ; [57 27],[10.72  5.28] ; [56.28 27.72],0
b1,1,0.68121,0.168767,[ 6 10] ; [37 49],[6.74509804 9.25490196] ; [36.25490196 49.74509804],0
d5,1,0.69473,0.154012,[13  2] ; [71 15],[12.47524752  2.52475248] ; [71.52475248 14.47524752],0
b2,1,0.70084,0.147599,[6 4] ; [31 27],[5.44117647 4.55882353] ; [31.55882353 26.44117647],0
b3,1,0.70084,0.147599,[6 4] ; [31 27],[5.44117647 4.55882353] ; [31.55882353 26.44117647],0
p3,1,0.731808,0.117458,[8 8] ; [39 47],[7.37254902 8.62745098] ; [39.62745098 46.37254902],0
p10,1,0.81683,0.053649,[12  4] ; [66 19],[12.35643564  3.64356436] ; [65.64356436 19.35643564],0
n3,1,0.840344,0.040584,[4 1] ; [22  7],[3.82352941 1.17647059] ; [22.17647059  6.82352941],0
p4,1,0.911588,0.012329,[10  6] ; [55 31],[10.19607843  5.80392157] ; [54.80392157 31.19607843],0
v4,1,0.915916,0.011147,[15  1] ; [80  6],[14.90196078  1.09803922] ; [80.09803922  5.90196078],0
r4,1,0.974458,0.001025,[14  2] ; [75 11],[13.96078431  2.03921569] ; [75.03921569 10.96078431],0
s6,1,0.981178,0.000557,[11  5] ; [58 26],[11.04  4.96] ; [57.96 26.04],0
