Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.89443,[84 10] ; [14 17],[73.696 20.304] ; [24.304  6.696],1
n4,1,1e-06,25.20233,[87  9] ; [16 16],[77.25 18.75] ; [25.75  6.25],1
n6,1,6.6e-05,15.923366,[85 11] ; [18 14],[77.25 18.75] ; [25.75  6.25],1
p9,1,8.5e-05,15.452674,[85 10] ; [18 13],[77.65873016 17.34126984] ; [25.34126984  5.65873016],1
v1,1,0.000205,13.780992,[71 22] ; [13 19],[62.496 30.504] ; [21.504 10.496],1
p2,1,0.000617,11.723953,[81 14] ; [18 14],[74.05511811 20.94488189] ; [24.94488189  7.05511811],1
v3,1,0.002826,8.916859,[60 36] ; [ 9 20],[52.992 43.008] ; [16.008 12.992],0
p7,1,0.003381,8.589601,[72 21] ; [16 16],[65.472 27.528] ; [22.528  9.472],0
p4,1,0.019038,5.497996,[59 35] ; [12 19],[53.392 40.608] ; [17.608 13.392],0
p11,1,0.020546,5.364914,[79 17] ; [20 12],[74.25 21.75] ; [24.75  7.25],0
s7,1,0.020861,5.338359,[53 39] ; [10 20],[47.50819672 44.49180328] ; [15.49180328 14.50819672],0
a3,1,0.030127,4.702041,[78 18] ; [20 12],[73.5 22.5] ; [24.5  7.5],0
p6,1,0.102124,2.672062,[37 56] ; [ 7 23],[33.26829268 59.73170732] ; [10.73170732 19.26829268],0
p8,1,0.118639,2.435192,[54 39] ; [13 18],[50.25 42.75] ; [16.75 14.25],0
b5,1,0.123519,2.372128,[39 57] ; [18 14],[42.75 53.25] ; [14.25 17.75],0
a8,1,0.124125,2.36448,[12 80] ; [ 1 30],[ 9.72357724 82.27642276] ; [ 3.27642276 27.72357724],0
p1,1,0.147457,2.098361,[ 3 93] ; [ 3 29],[ 4.5 91.5] ; [ 1.5 30.5],0
s8,1,0.152841,2.043662,[50 46] ; [12 20],[46.5 49.5] ; [15.5 16.5],0
p3,1,0.167205,1.90783,[52 43] ; [13 19],[48.62204724 46.37795276] ; [16.37795276 15.62204724],0
v4,1,0.167274,1.90721,[88  7] ; [27  5],[86.02362205  8.97637795] ; [28.97637795  3.02362205],0
a5,1,0.215616,1.533314,[71 25] ; [20 12],[68.25 27.75] ; [22.75  9.25],0
n1,1,0.225041,1.471933,[ 6 13] ; [5 4],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
d2,1,0.261048,1.263192,[53 43] ; [14 18],[50.25 45.75] ; [16.75 15.25],0
d3,1,0.353523,0.860772,[39 57] ; [16 16],[41.25 54.75] ; [13.75 18.25],0
s4,1,0.378442,0.775758,[12 84] ; [ 6 26],[13.5 82.5] ; [ 4.5 27.5],0
s2,1,0.413302,0.669281,[53 43] ; [15 17],[51. 45.] ; [17. 15.],0
d5,1,0.417033,0.658662,[81 15] ; [25  7],[79.5 16.5] ; [26.5  5.5],0
s6,1,0.433039,0.61466,[59 35] ; [17 14],[57.152 36.848] ; [18.848 12.152],0
r1,1,0.48815,0.480601,[72 24] ; [22 10],[70.5 25.5] ; [23.5  8.5],0
n3,1,0.4948,0.466071,[18  3] ; [6 2],[17.37931034  3.62068966] ; [6.62068966 1.37931034],0
r3,1,0.500741,0.453365,[90  6] ; [31  1],[90.75  5.25] ; [30.25  1.75],0
d4,1,0.506311,0.441684,[80 16] ; [25  7],[78.75 17.25] ; [26.25  5.75],0
s5,1,0.512616,0.428724,[38 54] ; [10 19],[36.49586777 55.50413223] ; [11.50413223 17.49586777],0
a6,1,0.523388,0.407211,[33 63] ; [13 19],[34.5 61.5] ; [11.5 20.5],0
b1,1,0.538501,0.378325,[42 54] ; [16 16],[43.5 52.5] ; [14.5 17.5],0
r2,1,0.544916,0.366505,[83  9] ; [30  2],[83.83870968  8.16129032] ; [29.16129032  2.83870968],0
u3,1,0.547403,0.361991,[ 7 11] ; [6 6],[ 7.8 10.2] ; [5.2 6.8],0
p12,1,0.636345,0.223554,[ 5 89] ; [ 1 30],[ 4.512 89.488] ; [ 1.488 29.512],0
a4,1,0.677688,0.17274,[38 58] ; [14 18],[39. 57.] ; [13. 19.],0
d1,1,0.682504,0.16732,[52 44] ; [16 16],[51. 45.] ; [17. 15.],0
b2,1,0.737615,0.112234,[29 38] ; [ 7 11],[28.37647059 38.62352941] ; [ 7.62352941 10.37647059],0
b3,1,0.737615,0.112234,[29 38] ; [ 7 11],[28.37647059 38.62352941] ; [ 7.62352941 10.37647059],0
b4,1,0.758748,0.094326,[51 45] ; [18 14],[51.75 44.25] ; [17.25 14.75],0
u2,1,0.773675,0.082697,[8 9] ; [5 7],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
u4,1,0.792246,0.069377,[ 4 92] ; [ 1 31],[ 3.75 92.25] ; [ 1.25 30.75],0
u1,1,0.792246,0.069377,[ 4 92] ; [ 1 31],[ 3.75 92.25] ; [ 1.25 30.75],0
n2,1,0.871524,0.026154,[15  5] ; [7 2],[15.17241379  4.82758621] ; [6.82758621 2.17241379],0
r4,1,0.8904,0.018988,[80 16] ; [27  5],[80.25 15.75] ; [26.75  5.25],0
s3,1,0.963645,0.002078,[50 46] ; [16 15],[49.88976378 46.11023622] ; [16.11023622 14.88976378],0
a2,1,1.0,0.0,[ 6 90] ; [ 2 30],[ 6. 90.] ; [ 2. 30.],0
a1,1,1.0,0.0,[ 6 90] ; [ 2 30],[ 6. 90.] ; [ 2. 30.],0
