Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,25.214887,[48  6] ; [51 55],[33.4125 20.5875] ; [65.5875 40.4125],1
s2,1,4e-06,21.463906,[39 15] ; [36 71],[25.1552795 28.8447205] ; [49.8447205 57.1552795],1
s3,1,8.7e-05,15.409415,[38 15] ; [41 65],[26.33333333 26.66666667] ; [52.66666667 53.33333333],1
s8,1,0.000103,15.085182,[31 23] ; [28 79],[19.78881988 34.21118012] ; [39.21118012 67.78881988],1
s4,1,0.002629,9.048799,[22 32] ; [20 87],[14.08695652 39.91304348] ; [27.91304348 79.08695652],0
a1,1,0.008467,6.931952,[ 5 49] ; [  1 106],[ 2.01242236 51.98757764] ; [  3.98757764 103.01242236],0
p1,1,0.011058,6.45604,[ 7 46] ; [  3 103],[ 3.33333333 49.66666667] ; [ 6.66666667 99.33333333],0
d1,1,0.011734,6.350582,[32 22] ; [41 66],[24.48447205 29.51552795] ; [48.51552795 58.48447205],0
b3,1,0.012069,6.300647,[13 11] ; [12 37],[ 8.21917808 15.78082192] ; [16.78082192 32.21917808],0
b2,1,0.012069,6.300647,[13 11] ; [12 37],[ 8.21917808 15.78082192] ; [16.78082192 32.21917808],0
s7,1,0.012928,6.178965,[26 25] ; [32 73],[18.96153846 32.03846154] ; [39.03846154 65.96153846],0
b5,1,0.019835,5.426319,[25 29] ; [70 37],[31.86335404 22.13664596] ; [63.13664596 43.86335404],0
p3,1,0.022827,5.181605,[26 28] ; [32 75],[19.45341615 34.54658385] ; [38.54658385 68.45341615],0
r3,1,0.02857,4.793325,[53  1] ; [94 13],[49.30434783  4.69565217] ; [97.69565217  9.30434783],0
p12,1,0.029938,4.712869,[ 5 49] ; [  2 105],[ 2.34782609 51.65217391] ; [  4.65217391 102.34782609],0
d4,1,0.031833,4.607456,[47  7] ; [77 30],[41.59006211 12.40993789] ; [82.40993789 24.59006211],0
p6,1,0.040265,4.206697,[19 34] ; [22 84],[13.66666667 39.33333333] ; [27.33333333 78.66666667],0
r2,1,0.047781,3.917668,[51  2] ; [92 15],[47.36875  5.63125] ; [95.63125 11.36875],0
r4,1,0.062648,3.46585,[48  6] ; [82 25],[43.60248447 10.39751553] ; [86.39751553 20.60248447],0
u3,1,0.071083,3.257843,[15  4] ; [23 19],[11.83606557  7.16393443] ; [26.16393443 15.83606557],0
a4,1,0.079058,3.084167,[22 32] ; [29 78],[17.10559006 36.89440994] ; [33.89440994 73.10559006],0
d2,1,0.103643,2.648565,[22 32] ; [30 77],[17.44099379 36.55900621] ; [34.55900621 72.44099379],0
a5,1,0.157732,1.995837,[37 17] ; [61 46],[32.86956522 21.13043478] ; [65.13043478 41.86956522],0
n5,1,0.163684,1.939859,[17 37] ; [45 60],[21.05660377 32.94339623] ; [40.94339623 64.05660377],0
a8,1,0.183573,1.768462,[ 1 51] ; [ 7 93],[ 2.73684211 49.26315789] ; [ 5.26315789 94.73684211],0
b1,1,0.184931,1.757542,[15 39] ; [41 66],[18.7826087 35.2173913] ; [37.2173913 69.7826087],0
v1,1,0.256037,1.290059,[28 25] ; [45 59],[24.6433121 28.3566879] ; [48.3566879 55.6433121],0
b4,1,0.2843,1.146417,[36 18] ; [62 45],[32.86956522 21.13043478] ; [65.13043478 41.86956522],0
d5,1,0.285911,1.138779,[42 12] ; [74 32],[39.15 14.85] ; [76.85 29.15],0
r1,1,0.287798,1.129892,[40 13] ; [72 35],[37.1 15.9] ; [74.9 32.1],0
n1,1,0.297201,1.086712,[ 8 13] ; [ 9 27],[ 6.26315789 14.73684211] ; [10.73684211 25.26315789],0
p4,1,0.310413,1.028918,[28 26] ; [46 60],[24.975 29.025] ; [49.025 56.975],0
a2,1,0.33217,0.940421,[ 9 45] ; [12 95],[ 7.04347826 46.95652174] ; [13.95652174 93.04347826],0
v2,1,0.423173,0.641488,[28 24] ; [47 53],[25.65789474 26.34210526] ; [49.34210526 50.65789474],0
a3,1,0.466199,0.53097,[35 19] ; [63 44],[32.86956522 21.13043478] ; [65.13043478 41.86956522],0
v4,1,0.474391,0.511729,[51  2] ; [100   7],[50.01875  2.98125] ; [100.98125   6.01875],0
u1,1,0.480734,0.497198,[ 7 47] ; [10 97],[ 5.70186335 48.29813665] ; [11.29813665 95.70186335],0
n6,1,0.545919,0.364679,[38 15] ; [71 35],[36.33333333 16.66666667] ; [72.66666667 33.33333333],0
p5,1,0.546495,0.363634,[ 5 49] ; [ 7 99],[ 4.05 49.95] ; [ 7.95 98.05],0
a7,1,0.548671,0.359703,[40 14] ; [83 23],[41.5125 12.4875] ; [81.4875 24.5125],0
d3,1,0.551627,0.35441,[39 15] ; [71 34],[37.35849057 16.64150943] ; [72.64150943 32.35849057],0
n3,1,0.56777,0.326428,[12  8] ; [25 12],[12.98245614  7.01754386] ; [24.01754386 12.98245614],0
u4,1,0.61981,0.246135,[ 1 53] ; [  1 106],[ 0.67080745 53.32919255] ; [  1.32919255 105.67080745],0
s1,1,0.61981,0.246135,[ 1 53] ; [  1 106],[ 0.67080745 53.32919255] ; [  1.32919255 105.67080745],0
p11,1,0.673699,0.177306,[42 12] ; [80 27],[40.91925466 13.08074534] ; [81.08074534 25.91925466],0
p8,1,0.696055,0.152608,[27 26] ; [51 56],[25.8375 27.1625] ; [52.1625 54.8375],0
n2,1,0.722584,0.12603,[15  6] ; [28  9],[15.56896552  5.43103448] ; [27.43103448  9.56896552],0
v3,1,0.747589,0.103568,[16 37] ; [28 73],[15.14285714 37.85714286] ; [28.85714286 72.14285714],0
a6,1,0.762387,0.091414,[33 21] ; [68 39],[33.8757764 20.1242236] ; [67.1242236 39.8757764],0
p9,1,0.825307,0.048719,[50  4] ; [98  9],[49.63975155  4.36024845] ; [98.36024845  8.63975155],0
p7,1,0.852523,0.034559,[31 20] ; [61 42],[30.46753247 20.53246753] ; [61.53246753 41.46753247],0
p2,1,0.954691,0.003228,[43 11] ; [84 22],[42.8625 11.1375] ; [84.1375 21.8625],0
u2,1,0.977986,0.000761,[12  7] ; [27 16],[11.9516129  7.0483871] ; [27.0483871 15.9516129],0
