Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-06,20.373557,[12 21] ; [124  39],[22.89795918 10.10204082] ; [113.10204082  49.89795918],1
n4,1,2.3e-05,17.921356,[14 19] ; [128  35],[23.90816327  9.09183673] ; [118.09183673  44.90816327],1
r4,1,0.006118,7.515357,[24  9] ; [147  16],[28.79081633  4.20918367] ; [142.20918367  20.79081633],0
p9,1,0.009771,6.676126,[22 11] ; [136  23],[27.15625  5.84375] ; [130.84375  28.15625],0
s5,1,0.010316,6.579436,[ 5 25] ; [65 92],[11.22994652 18.77005348] ; [58.77005348 98.22994652],0
s7,1,0.01094,6.475118,[14 17] ; [107  48],[20.16666667 10.83333333] ; [100.83333333  54.16666667],0
p2,1,0.01897,5.504292,[23 10] ; [139  22],[27.55670103  5.44329897] ; [134.44329897  26.55670103],0
a4,1,0.022981,5.169905,[ 8 25] ; [74 88],[13.87692308 19.12307692] ; [68.12307692 93.87692308],0
s6,1,0.05195,3.777367,[24  9] ; [139  22],[27.72680412  5.27319588] ; [135.27319588  25.72680412],0
a3,1,0.054036,3.711596,[18 15] ; [116  46],[22.67692308 10.32307692] ; [111.32307692  50.67692308],0
a6,1,0.060818,3.51494,[26  6] ; [104  58],[21.44329897 10.55670103] ; [108.55670103  53.44329897],0
v4,1,0.076686,3.133771,[29  4] ; [155   7],[31.13846154  1.86153846] ; [152.86153846   9.13846154],0
b3,1,0.080674,3.051271,[ 2 14] ; [31 59],[ 4.98113208 11.01886792] ; [28.01886792 61.98113208],0
b2,1,0.080674,3.051271,[ 2 14] ; [31 59],[ 4.98113208 11.01886792] ; [28.01886792 61.98113208],0
p10,1,0.088652,2.898691,[23 10] ; [133  28],[26.53608247  6.46391753] ; [129.46391753  31.53608247],0
p11,1,0.094959,2.788239,[20 13] ; [122  41],[23.90816327  9.09183673] ; [118.09183673  44.90816327],0
u2,1,0.114117,2.49626,[11  4] ; [23 23],[8.36065574 6.63934426] ; [25.63934426 20.36065574],0
d3,1,0.126826,2.330937,[26  6] ; [109  52],[22.38341969  9.61658031] ; [112.61658031  48.38341969],0
b5,1,0.140793,2.169269,[23 10] ; [91 72],[19.19387755 13.80612245] ; [94.80612245 68.19387755],0
s3,1,0.174178,1.846609,[31  2] ; [137  24],[28.57731959  4.42268041] ; [139.42268041  21.57731959],0
d5,1,0.17573,1.833368,[22 10] ; [129  33],[24.90721649  7.09278351] ; [126.09278351  35.90721649],0
s8,1,0.18148,1.785462,[13 20] ; [85 78],[16.5 16.5] ; [81.5 81.5],0
u1,1,0.195238,1.677643,[ 4 29] ; [ 36 127],[ 6.73469388 26.26530612] ; [ 33.26530612 129.73469388],0
n2,1,0.197172,1.663202,[9 1] ; [28 12],[7.4 2.6] ; [29.6 10.4],0
d2,1,0.209316,1.576152,[13 19] ; [86 77],[16.24615385 15.75384615] ; [82.75384615 80.24615385],0
p1,1,0.263819,1.248608,[ 1 32] ; [ 14 146],[ 2.56476684 30.43523316] ; [ 12.43523316 147.56476684],0
u3,1,0.318818,0.993789,[10  4] ; [26 20],[8.4 5.6] ; [27.6 18.4],0
r2,1,0.350962,0.869974,[30  3] ; [153   8],[31.12886598  1.87113402] ; [151.87113402   9.12886598],0
p6,1,0.352935,0.862876,[10 23] ; [63 99],[12.35384615 20.64615385] ; [ 60.64615385 101.35384615],0
s4,1,0.356307,0.850868,[12 21] ; [ 45 114],[ 9.796875 23.203125] ; [ 47.203125 111.796875],0
r1,1,0.364711,0.821606,[23  9] ; [129  34],[24.94358974  7.05641026] ; [127.05641026  35.94358974],0
p4,1,0.374318,0.78928,[17 16] ; [97 65],[19.29230769 13.70769231] ; [94.70769231 67.29230769],0
a2,1,0.392333,0.7317,[ 6 27] ; [ 41 122],[ 7.91326531 25.08673469] ; [ 39.08673469 123.91326531],0
d1,1,0.433915,0.612321,[17 16] ; [96 67],[19.0255102 13.9744898] ; [93.9744898 69.0255102],0
s1,1,0.435407,0.608356,[ 3 30] ; [  9 154],[ 2.02040816 30.97959184] ; [  9.97959184 153.02040816],0
n1,1,0.460172,0.545476,[2 7] ; [14 26],[2.93877551 6.06122449] ; [13.06122449 26.93877551],0
p8,1,0.497769,0.45969,[14 18] ; [81 80],[15.75129534 16.24870466] ; [79.24870466 81.75129534],0
b1,1,0.552203,0.353386,[15 18] ; [65 98],[13.46938776 19.53061224] ; [66.53061224 96.46938776],0
a1,1,0.553116,0.351764,[ 1 32] ; [  9 154],[ 1.68367347 31.31632653] ; [  8.31632653 154.68367347],0
a5,1,0.584639,0.298794,[21 12] ; [111  51],[22.33846154 10.66153846] ; [109.66153846  52.33846154],0
a7,1,0.605943,0.266124,[26  7] ; [120  41],[24.83505155  8.16494845] ; [121.16494845  39.83505155],0
p3,1,0.615893,0.251683,[14 19] ; [76 85],[15.30927835 17.69072165] ; [74.69072165 86.30927835],0
r3,1,0.633982,0.226699,[32  1] ; [154   8],[31.47692308  1.52307692] ; [154.52307692   7.47692308],0
a8,1,0.680604,0.169447,[ 4 26] ; [ 16 133],[ 3.35195531 26.64804469] ; [ 16.64804469 132.35195531],0
v3,1,0.687975,0.161286,[ 8 23] ; [ 47 113],[ 8.92670157 22.07329843] ; [ 46.07329843 113.92670157],0
p7,1,0.718849,0.129598,[20 12] ; [104  54],[20.88421053 11.11578947] ; [103.11578947  54.88421053],0
n3,1,0.74714,0.10395,[7 3] ; [30 10],[7.4 2.6] ; [29.6 10.4],0
v2,1,0.878492,0.023372,[14 17] ; [69 89],[13.61375661 17.38624339] ; [69.38624339 88.61375661],0
b4,1,0.940195,0.005629,[19 14] ; [95 68],[19.19387755 13.80612245] ; [94.80612245 68.19387755],0
