Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,33.72942,[120  44] ; [22 46],[100.37931034  63.62068966] ; [41.62068966 26.37931034],1
p6,1,4e-06,21.443465,[98 64] ; [18 49],[82.06113537 79.93886463] ; [33.93886463 33.06113537],1
d3,1,5e-06,20.89231,[131  33] ; [34 34],[116.63793103  47.36206897] ; [48.36206897 19.63793103],1
p8,1,2.4e-05,17.850776,[115  49] ; [26 39],[100.97816594  63.02183406] ; [40.02183406 24.97816594],1
p2,1,0.000276,13.227667,[153  11] ; [52 16],[144.9137931  19.0862069] ; [60.0862069  7.9137931],1
p9,1,0.002285,9.30506,[154   9] ; [53 12],[147.98684211  15.01315789] ; [59.01315789  5.98684211],0
d1,1,0.002732,8.978606,[118  46] ; [35 33],[108.15517241  55.84482759] ; [44.84482759 23.15517241],0
p7,1,0.002985,8.816351,[133  30] ; [41 24],[124.39473684  38.60526316] ; [49.60526316 15.39473684],0
p5,1,0.003532,8.509912,[ 49 115] ; [ 8 60],[ 40.29310345 123.70689655] ; [16.70689655 51.29310345],0
r4,1,0.008602,6.903674,[159   5] ; [60  8],[154.81034483   9.18965517] ; [64.18965517  3.81034483],0
n6,1,0.013319,6.126222,[156   7] ; [58  9],[151.66086957  11.33913043] ; [62.33913043  4.66086957],0
p10,1,0.01391,6.049561,[151  13] ; [55 13],[145.62068966  18.37931034] ; [60.37931034  7.62068966],0
r3,1,0.01575,5.830545,[157   6] ; [58  8],[153.0349345   9.9650655] ; [61.9650655  4.0349345],0
n5,1,0.024751,5.041227,[155   8] ; [58  9],[150.95217391  12.04782609] ; [62.04782609  4.95217391],0
v3,1,0.027043,4.888043,[84 78] ; [24 43],[76.40174672 85.59825328] ; [31.59825328 35.40174672],0
d5,1,0.02921,4.755188,[145  18] ; [53 15],[139.71428571  23.28571429] ; [58.28571429  9.71428571],0
a8,1,0.041769,4.144546,[ 19 134] ; [14 45],[ 23.81603774 129.18396226] ; [ 9.18396226 49.81603774],0
s7,1,0.065657,3.388389,[114  41] ; [41 26],[108.22072072  46.77927928] ; [46.77927928 20.22072072],0
a2,1,0.087508,2.919622,[ 52 112] ; [14 54],[ 46.65517241 117.34482759] ; [19.34482759 48.65517241],0
s6,1,0.089707,2.879622,[143  18] ; [53 13],[139.01321586  21.98678414] ; [56.98678414  9.01321586],0
d4,1,0.091618,2.84572,[145  18] ; [54 13],[141.03043478  21.96956522] ; [57.96956522  9.03043478],0
p11,1,0.102693,2.663209,[138  26] ; [51 17],[133.60344828  30.39655172] ; [55.39655172 12.60344828],0
s2,1,0.124838,2.355548,[121  41] ; [44 24],[116.2173913  45.7826087] ; [48.7826087 19.2173913],0
a4,1,0.144312,2.13137,[92 72] ; [31 37],[86.94827586 77.05172414] ; [36.05172414 31.94827586],0
u1,1,0.162258,1.953058,[ 43 121] ; [12 56],[ 38.87931034 125.12068966] ; [16.12068966 51.87931034],0
v1,1,0.172103,1.864527,[108  55] ; [38 29],[103.46956522  59.53043478] ; [42.53043478 24.46956522],0
v4,1,0.186056,1.748578,[159   4] ; [63  4],[157.33043478   5.66956522] ; [64.66956522  2.33043478],0
v2,1,0.192527,1.698176,[103  60] ; [35 30],[98.65789474 64.34210526] ; [39.34210526 25.65789474],0
a1,1,0.202637,1.623268,[ 12 152] ; [ 2 66],[  9.89655172 154.10344828] ; [ 4.10344828 63.89655172],0
n1,1,0.233066,1.422054,[12 14] ; [11  6],[13.90697674 12.09302326] ; [9.09302326 7.90697674],0
a6,1,0.27306,1.201311,[108  56] ; [39 28],[104.36363636  59.63636364] ; [42.63636364 24.36363636],0
r1,1,0.283165,1.151836,[145  18] ; [57 11],[142.53679654  20.46320346] ; [59.46320346  8.53679654],0
s8,1,0.285574,1.140369,[100  63] ; [36 31],[96.3826087 66.6173913] ; [39.6173913 27.3826087],0
a7,1,0.314731,1.010718,[114  50] ; [42 25],[110.75324675  53.24675325] ; [45.24675325 21.75324675],0
b1,1,0.338785,0.915022,[66 98] ; [32 36],[69.27586207 94.72413793] ; [28.72413793 39.27586207],0
n2,1,0.341921,0.903215,[22  4] ; [16  1],[22.97674419  3.02325581] ; [15.02325581  1.97674419],0
a5,1,0.384846,0.755165,[138  26] ; [54 14],[135.72413793  28.27586207] ; [56.27586207 11.72413793],0
n3,1,0.38548,0.753152,[18  7] ; [15  3],[19.18604651  5.81395349] ; [13.81395349  4.18604651],0
u2,1,0.392998,0.729646,[17 13] ; [6 8],[15.68181818 14.31818182] ; [7.31818182 6.68181818],0
b5,1,0.394194,0.725965,[84 80] ; [39 29],[86.94827586 77.05172414] ; [36.05172414 31.94827586],0
s1,1,0.465783,0.531962,[  6 155] ; [ 4 64],[  7.03056769 153.96943231] ; [ 2.96943231 65.03056769],0
s3,1,0.622168,0.242833,[112  48] ; [44 22],[110.44247788  49.55752212] ; [45.55752212 20.44247788],0
r2,1,0.661398,0.191829,[157   7] ; [64  2],[157.5826087   6.4173913] ; [63.4173913  2.5826087],0
p12,1,0.667888,0.184083,[ 21 143] ; [10 57],[ 22.00865801 141.99134199] ; [ 8.99134199 58.00865801],0
d2,1,0.677598,0.172842,[90 73] ; [39 28],[91.42173913 71.57826087] ; [37.57826087 29.42173913],0
a3,1,0.728532,0.120464,[133  31] ; [53 14],[132.05194805  31.94805195] ; [53.94805195 13.05194805],0
b4,1,0.786357,0.073465,[102  62] ; [41 27],[101.0862069  62.9137931] ; [41.9137931 26.0862069],0
p1,1,0.796686,0.066378,[ 20 144] ; [ 9 58],[ 20.58874459 143.41125541] ; [ 8.41125541 58.58874459],0
b2,1,0.805181,0.060835,[43 58] ; [19 28],[42.31081081 58.68918919] ; [19.68918919 27.31081081],0
b3,1,0.805181,0.060835,[43 58] ; [19 28],[42.31081081 58.68918919] ; [19.68918919 27.31081081],0
s4,1,0.849664,0.035928,[ 36 125] ; [14 52],[ 35.46255507 125.53744493] ; [14.53744493 51.46255507],0
u3,1,0.933009,0.007066,[19 12] ; [9 6],[18.86956522 12.13043478] ; [9.13043478 5.86956522],0
