Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.008321,6.963112,[589  23] ; [2 1],[588.11707317  23.88292683] ; [2.88292683 0.11707317],0
u1,1,0.023998,5.094788,[106 512] ; [2 1],[107.47826087 510.52173913] ; [0.52173913 2.47826087],0
b1,1,0.236481,1.401447,[211 407] ; [2 1],[211.97101449 406.02898551] ; [1.02898551 1.97101449],0
n6,1,0.260478,1.266214,[540  74] ; [2 1],[539.36466775  74.63533225] ; [2.63533225 0.36466775],0
n1,1,0.315455,1.007699,[43 70] ; [2 1],[43.8362069 69.1637931] ; [1.1637931 1.8362069],0
s3,1,0.40895,0.681851,[346 261] ; [1 2],[345.29344262 261.70655738] ; [1.70655738 1.29344262],0
a4,1,0.421646,0.645723,[269 348] ; [2 1],[269.68870968 347.31129032] ; [1.31129032 1.68870968],0
s2,1,0.523198,0.407585,[317 295] ; [1 2],[316.44878049 295.55121951] ; [1.55121951 1.44878049],0
s7,1,0.552934,0.352088,[300 294] ; [1 2],[299.48743719 294.51256281] ; [1.51256281 1.48743719],0
n5,1,0.560377,0.339052,[492 122] ; [2 1],[491.59805511 122.40194489] ; [2.40194489 0.59805511],0
a2,1,0.65395,0.200956,[139 479] ; [1 2],[139.3236715 478.6763285] ; [0.6763285 2.3236715],0
s8,1,0.654298,0.200524,[284 330] ; [1 2],[283.61426256 330.38573744] ; [1.38573744 1.61426256],0
n2,1,0.699014,0.149499,[87 27] ; [2 1],[86.71794872 27.28205128] ; [2.28205128 0.71794872],0
a5,1,0.704145,0.144196,[470 148] ; [2 1],[469.71980676 148.28019324] ; [2.28019324 0.71980676],0
v1,1,0.723069,0.125572,[339 261] ; [2 1],[339.30348259 260.69651741] ; [1.69651741 1.30348259],0
n3,1,0.764613,0.089657,[84 29] ; [2 1],[83.77586207 29.22413793] ; [2.22413793 0.77586207],0
b4,1,0.780768,0.077461,[363 255] ; [2 1],[363.23671498 254.76328502] ; [1.76328502 1.23671498],0
v2,1,0.781991,0.076577,[348 244] ; [2 1],[348.23529412 243.76470588] ; [1.76470588 1.23529412],0
v3,1,0.795459,0.067199,[243 354] ; [1 2],[242.78 354.22] ; [1.22 1.78],0
a7,1,0.802279,0.0627,[451 166] ; [2 1],[450.80806452 166.19193548] ; [2.19193548 0.80806452],0
a3,1,0.82834,0.047016,[446 171] ; [2 1],[445.83225806 171.16774194] ; [2.16774194 0.83225806],0
b2,1,0.861184,0.030578,[145 234] ; [1 2],[144.85340314 234.14659686] ; [1.14659686 1.85340314],0
b3,1,0.861184,0.030578,[145 234] ; [1 2],[144.85340314 234.14659686] ; [1.14659686 1.85340314],0
a6,1,0.910962,0.012505,[429 187] ; [2 1],[428.91114701 187.08885299] ; [2.08885299 0.91114701],0
d3,1,0.929215,0.007891,[426 191] ; [2 1],[425.92903226 191.07096774] ; [2.07096774 0.92903226],0
s6,1,0.942778,0.005152,[415 190] ; [2 1],[414.94243421 190.05756579] ; [2.05756579 0.94243421],0
