Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,144.572611,[223   7] ; [19 40],[192.59515571  37.40484429] ; [49.40484429  9.59515571],1
p11,1,0.0,39.399365,[202  28] ; [31 29],[184.79310345  45.20689655] ; [48.20689655 11.79310345],1
n5,1,0.0,29.532067,[195  34] ; [31 28],[179.70138889  49.29861111] ; [46.29861111 12.70138889],1
p2,1,3e-06,21.580351,[204  24] ; [39 21],[192.375  35.625] ; [50.625  9.375],1
p4,1,7e-06,20.307675,[154  76] ; [21 39],[138.79310345  91.20689655] ; [36.20689655 23.79310345],1
p7,1,0.000144,14.453865,[152  70] ; [24 34],[139.54285714  82.45714286] ; [36.45714286 21.54285714],1
n6,1,0.000259,13.346508,[198  31] ; [39 20],[188.44791667  40.55208333] ; [48.55208333 10.44791667],1
r4,1,0.000288,13.147022,[209  21] ; [44 16],[200.65517241  29.34482759] ; [52.34482759  7.65517241],1
p8,1,0.00465,8.01068,[125 100] ; [21 39],[115.26315789 109.73684211] ; [30.73684211 29.26315789],0
s8,1,0.005648,7.659462,[ 94 135] ; [13 47],[ 84.78546713 144.21453287] ; [22.21453287 37.78546713],0
r3,1,0.009293,6.765687,[219  10] ; [51  8],[214.6875  14.3125] ; [55.3125  3.6875],0
v4,1,0.009589,6.709661,[218  10] ; [51  8],[213.70034843  14.29965157] ; [55.29965157  3.70034843],0
p3,1,0.011026,6.461147,[124 105] ; [21 38],[115.29513889 113.70486111] ; [29.70486111 29.29513889],0
p6,1,0.015347,5.876133,[ 85 141] ; [12 46],[ 77.19014085 148.80985915] ; [19.80985915 38.19014085],0
n4,1,0.03701,4.349945,[185  45] ; [40 19],[179.06574394  50.93425606] ; [45.93425606 13.06574394],0
u4,1,0.037951,4.307226,[  4 226] ; [ 4 56],[  6.34482759 223.65517241] ; [ 1.65517241 58.34482759],0
s6,1,0.06957,3.293143,[144  85] ; [30 30],[137.87543253  91.12456747] ; [36.12456747 23.87543253],0
s7,1,0.10089,2.691417,[ 99 119] ; [19 38],[ 93.54181818 124.45818182] ; [24.45818182 32.54181818],0
p12,1,0.105024,2.627548,[ 17 212] ; [ 1 58],[ 14.3125 214.6875] ; [ 3.6875 55.3125],0
a2,1,0.113584,2.503634,[ 47 183] ; [18 42],[ 51.55172414 178.44827586] ; [13.44827586 46.55172414],0
v3,1,0.116182,2.468055,[111 111] ; [21 34],[105.79061372 116.20938628] ; [26.20938628 28.79061372],0
r2,1,0.123377,2.37392,[216  11] ; [53  6],[213.50699301  13.49300699] ; [55.49300699  3.50699301],0
v2,1,0.148327,2.08937,[156  66] ; [35 23],[151.43571429  70.56428571] ; [39.56428571 18.43571429],0
s2,1,0.213499,1.547539,[ 90 139] ; [18 41],[ 85.875 143.125] ; [22.125 36.875],0
d5,1,0.216956,1.524395,[182  48] ; [43 17],[178.44827586  51.55172414] ; [46.55172414 13.44827586],0
r1,1,0.239434,1.383923,[190  40] ; [44 14],[186.875  43.125] ; [47.125 10.875],0
b1,1,0.273071,1.201256,[ 82 148] ; [26 34],[ 85.65517241 144.34482759] ; [22.34482759 37.65517241],0
d2,1,0.282797,1.153601,[101 129] ; [31 29],[104.68965517 125.31034483] ; [27.31034483 32.68965517],0
d3,1,0.314065,1.013504,[153  77] ; [44 16],[156.24137931  73.75862069] ; [40.75862069 19.24137931],0
u2,1,0.374745,0.78787,[42 29] ; [7 8],[40.45348837 30.54651163] ; [8.54651163 6.45348837],0
u1,1,0.419657,0.651276,[ 36 194] ; [12 48],[ 38.06896552 191.93103448] ; [ 9.93103448 50.06896552],0
a8,1,0.452639,0.564034,[ 29 178] ; [ 5 45],[ 27.38521401 179.61478599] ; [ 6.61478599 43.38521401],0
n1,1,0.492468,0.47113,[14 23] ; [ 9 10],[15.19642857 21.80357143] ; [ 7.80357143 11.19642857],0
n3,1,0.561625,0.336898,[28  9] ; [13  6],[27.08928571  9.91071429] ; [13.91071429  5.08928571],0
s1,1,0.569585,0.323377,[  8 221] ; [ 3 56],[  8.74652778 220.25347222] ; [ 2.25347222 56.74652778],0
b5,1,0.597219,0.27921,[154  76] ; [38 22],[152.27586207  77.72413793] ; [39.72413793 20.27586207],0
a7,1,0.603136,0.270292,[167  62] ; [45 14],[168.56944444  60.43055556] ; [43.43055556 15.56944444],0
a3,1,0.605718,0.266457,[159  70] ; [43 16],[160.61805556  68.38194444] ; [41.38194444 17.61805556],0
a6,1,0.618084,0.24857,[161  69] ; [40 20],[159.4137931  70.5862069] ; [41.5862069 18.4137931],0
d1,1,0.62282,0.241925,[127 103] ; [31 29],[125.31034483 104.68965517] ; [32.68965517 27.31034483],0
a1,1,0.628992,0.23343,[ 11 219] ; [ 2 58],[ 10.31034483 219.68965517] ; [ 2.68965517 57.31034483],0
u3,1,0.641079,0.217333,[42 29] ; [9 8],[41.14772727 29.85227273] ; [9.85227273 7.14772727],0
b2,1,0.658788,0.195,[59 92] ; [13 24],[57.82978723 93.17021277] ; [14.17021277 22.82978723],0
b3,1,0.658788,0.195,[59 92] ; [13 24],[57.82978723 93.17021277] ; [14.17021277 22.82978723],0
a5,1,0.709883,0.138394,[167  63] ; [45 15],[168.13793103  61.86206897] ; [43.86206897 16.13793103],0
n2,1,0.721087,0.127454,[27 10] ; [13  6],[26.42857143 10.57142857] ; [13.57142857  5.42857143],0
d4,1,0.790872,0.07032,[180  50] ; [46 14],[179.24137931  50.75862069] ; [46.75862069 13.24137931],0
s3,1,0.797511,0.065828,[103 126] ; [25 33],[102.13240418 126.86759582] ; [25.86759582 32.13240418],0
p1,1,0.840657,0.040423,[ 17 212] ; [ 4 56],[ 16.64013841 212.35986159] ; [ 4.35986159 55.64013841],0
b4,1,0.871437,0.02619,[133  97] ; [34 26],[132.44827586  97.55172414] ; [34.55172414 25.44827586],0
s4,1,0.888674,0.019595,[ 22 208] ; [ 6 53],[ 22.28373702 207.71626298] ; [ 5.71626298 53.28373702],0
a4,1,0.955993,0.003045,[100 129] ; [26 33],[100.1875 128.8125] ; [25.8125 33.1875],0
