Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.055511,3.666667,[5 1] ; [ 6 10],[3. 3.] ; [8. 8.],0
v3,1,0.074716,3.17625,[3 2] ; [ 3 13],[1.42857143 3.57142857] ; [ 4.57142857 11.42857143],0
b5,1,0.096791,2.757639,[5 1] ; [7 9],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
s3,1,0.096791,2.757639,[5 1] ; [7 9],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
b3,1,0.124283,2.3625,[3 1] ; [3 7],[1.71428571 2.28571429] ; [4.28571429 5.71428571],0
b2,1,0.124283,2.3625,[3 1] ; [3 7],[1.71428571 2.28571429] ; [4.28571429 5.71428571],0
d3,1,0.156709,2.005698,[5 1] ; [8 8],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
p8,1,0.156709,2.005698,[1 5] ; [8 8],[2.45454545 3.54545455] ; [6.54545455 9.45454545],0
d2,1,0.156709,2.005698,[5 1] ; [8 8],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
a8,1,0.169202,1.89,[3 3] ; [ 3 12],[1.71428571 4.28571429] ; [ 4.28571429 10.71428571],0
p11,1,0.221099,1.497222,[2 4] ; [10  6],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
p4,1,0.221099,1.497222,[4 2] ; [ 6 10],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
a3,1,0.239559,1.383185,[5 1] ; [9 7],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
v2,1,0.239559,1.383185,[5 1] ; [9 7],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
p6,1,0.262193,1.257143,[3 3] ; [ 4 12],[1.90909091 4.09090909] ; [ 5.09090909 10.90909091],0
a4,1,0.262193,1.257143,[3 3] ; [ 4 12],[1.90909091 4.09090909] ; [ 5.09090909 10.90909091],0
s6,1,0.291841,1.111111,[2 3] ; [10  5],[3. 2.] ; [9. 6.],0
a6,1,0.338352,0.916667,[4 2] ; [7 9],[3. 3.] ; [8. 8.],0
v1,1,0.350122,0.873016,[1 5] ; [ 6 10],[1.90909091 4.09090909] ; [ 5.09090909 10.90909091],0
p9,1,0.350122,0.873016,[5 1] ; [10  6],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
b4,1,0.350122,0.873016,[5 1] ; [10  6],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
r2,1,0.360585,0.835855,[4 1] ; [15  1],[4.52380952 0.47619048] ; [14.47619048  1.52380952],0
a2,1,0.449102,0.572917,[1 5] ; [ 1 15],[0.54545455 5.45454545] ; [ 1.45454545 14.54545455],0
n5,1,0.484423,0.488889,[4 2] ; [8 8],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
p10,1,0.484423,0.488889,[4 2] ; [8 8],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
n6,1,0.493963,0.467882,[5 1] ; [11  5],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
n4,1,0.493963,0.467882,[5 1] ; [11  5],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
b1,1,0.658076,0.195869,[4 2] ; [9 7],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
s2,1,0.677856,0.172549,[1 5] ; [ 4 12],[1.36363636 4.63636364] ; [ 3.63636364 12.36363636],0
p7,1,0.793166,0.06875,[3 3] ; [7 9],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
a5,1,0.793166,0.06875,[3 3] ; [9 7],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
d4,1,0.799782,0.064327,[5 1] ; [14  2],[5.18181818 0.81818182] ; [13.81818182  2.18181818],0
s4,1,0.799782,0.064327,[1 5] ; [ 2 14],[0.81818182 5.18181818] ; [ 2.18181818 13.81818182],0
p3,1,0.856417,0.032738,[2 4] ; [ 6 10],[2.18181818 3.81818182] ; [ 5.81818182 10.18181818],0
a7,1,0.856417,0.032738,[4 2] ; [10  6],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
s8,1,0.925558,0.00873,[2 4] ; [ 5 11],[1.90909091 4.09090909] ; [ 5.09090909 10.90909091],0
p2,1,0.925558,0.00873,[4 2] ; [11  5],[4.09090909 1.90909091] ; [10.90909091  5.09090909],0
s7,1,1.0,0.0,[2 4] ; [ 5 10],[2. 4.] ; [ 5. 10.],0
s5,1,1.0,0.0,[1 3] ; [ 4 12],[1. 3.] ; [ 4. 12.],0
