Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.002646,9.036861,[49  9] ; [9 9],[44.26315789 13.73684211] ; [13.73684211  4.26315789],0
p6,1,0.02025,5.390219,[30 26] ; [ 4 14],[25.72972973 30.27027027] ; [8.27027027 9.72972973],0
p8,1,0.027169,4.880044,[44 13] ; [9 9],[40.28 16.72] ; [12.72  5.28],0
s7,1,0.035238,4.433598,[31 24] ; [ 5 13],[27.12328767 27.87671233] ; [8.87671233 9.12328767],0
v2,1,0.080741,3.04993,[26 30] ; [12  5],[29.15068493 26.84931507] ; [8.84931507 8.15068493],0
a7,1,0.081974,3.025319,[39 19] ; [ 8 10],[35.86842105 22.13157895] ; [11.13157895  6.86842105],0
b4,1,0.11112,2.538226,[33 25] ; [14  4],[35.86842105 22.13157895] ; [11.13157895  6.86842105],0
n6,1,0.14348,2.14023,[48 10] ; [12  6],[45.78947368 12.21052632] ; [14.21052632  3.78947368],0
b3,1,0.196835,1.665703,[13 22] ; [6 4],[14.77777778 20.22222222] ; [4.22222222 5.77777778],0
b2,1,0.196835,1.665703,[13 22] ; [6 4],[14.77777778 20.22222222] ; [4.22222222 5.77777778],0
r1,1,0.233713,1.418122,[40 18] ; [15  3],[41.97368421 16.02631579] ; [13.02631579  4.97368421],0
r4,1,0.274728,1.192987,[49  9] ; [17  1],[50.36842105  7.63157895] ; [15.63157895  2.36842105],0
n4,1,0.28724,1.132512,[41 17] ; [15  3],[42.73684211 15.26315789] ; [13.26315789  4.73684211],0
u2,1,0.330995,0.945,[13 12] ; [7 3],[14.28571429 10.71428571] ; [5.71428571 4.28571429],0
s1,1,0.375011,0.786994,[ 1 57] ; [ 1 17],[ 1.52631579 56.47368421] ; [ 0.47368421 17.52631579],0
d4,1,0.42584,0.634142,[26 32] ; [10  8],[27.47368421 30.52631579] ; [8.52631579 9.47368421],0
a3,1,0.42584,0.634142,[32 26] ; [ 8 10],[30.52631579 27.47368421] ; [9.47368421 8.52631579],0
s4,1,0.439471,0.597664,[11 47] ; [ 2 16],[ 9.92105263 48.07894737] ; [ 3.07894737 14.92105263],0
p9,1,0.443927,0.586112,[46 11] ; [13  5],[44.84 12.16] ; [14.16  3.84],0
u3,1,0.45675,0.553846,[14 12] ; [4 6],[13. 13.] ; [5. 5.],0
s8,1,0.507801,0.438596,[24 33] ; [ 6 12],[22.8 34.2] ; [ 7.2 10.8],0
v3,1,0.53282,0.389011,[22 35] ; [8 9],[23.10810811 33.89189189] ; [ 6.89189189 10.10810811],0
d1,1,0.562404,0.335559,[ 4 54] ; [ 2 16],[ 4.57894737 53.42105263] ; [ 1.42105263 16.57894737],0
a4,1,0.601334,0.272989,[13 45] ; [ 3 15],[12.21052632 45.78947368] ; [ 3.78947368 14.21052632],0
a8,1,0.606796,0.264868,[ 4 51] ; [ 2 16],[ 4.52054795 50.47945205] ; [ 1.47945205 16.52054795],0
b5,1,0.607201,0.264271,[33 25] ; [9 9],[32.05263158 25.94736842] ; [9.94736842 8.05263158],0
a6,1,0.631994,0.229366,[39 19] ; [11  7],[38.15789474 19.84210526] ; [11.84210526  6.15789474],0
p4,1,0.638586,0.220597,[42 16] ; [12  6],[41.21052632 16.78947368] ; [12.78947368  5.21052632],0
n2,1,0.657619,0.196429,[6 3] ; [1 1],[5.72727273 3.27272727] ; [1.27272727 0.72727273],0
s5,1,0.6885,0.160714,[18 38] ; [ 6 10],[18.66666667 37.33333333] ; [ 5.33333333 10.66666667],0
p1,1,0.70794,0.140343,[12 46] ; [ 3 15],[11.44736842 46.55263158] ; [ 3.55263158 14.44736842],0
s3,1,0.7101,0.138177,[32 25] ; [11  7],[32.68 24.32] ; [10.32  7.68],0
a5,1,0.723891,0.124795,[36 22] ; [12  6],[36.63157895 21.36842105] ; [11.36842105  6.63157895],0
d3,1,0.732938,0.116431,[20 38] ; [ 7 11],[20.60526316 37.39473684] ; [ 6.39473684 11.60526316],0
v4,1,0.749579,0.101886,[53  5] ; [16  2],[52.65789474  5.34210526] ; [16.34210526  1.65789474],0
b1,1,0.776101,0.080885,[28 30] ; [ 8 10],[27.47368421 30.52631579] ; [8.52631579 9.47368421],0
n5,1,0.854563,0.033599,[40 18] ; [12  6],[39.68421053 18.31578947] ; [12.31578947  5.68421053],0
d2,1,0.867364,0.027892,[14 44] ; [ 4 14],[13.73684211 44.26315789] ; [ 4.26315789 13.73684211],0
s2,1,0.875486,0.024553,[27 31] ; [ 8 10],[26.71052632 31.28947368] ; [8.28947368 9.71052632],0
p11,1,0.88919,0.019413,[46 12] ; [14  4],[45.78947368 12.21052632] ; [14.21052632  3.78947368],0
p12,1,0.906994,0.013649,[ 9 49] ; [ 3 15],[ 9.15789474 48.84210526] ; [ 2.84210526 15.15789474],0
v1,1,0.920126,0.010055,[25 33] ; [ 8 10],[25.18421053 32.81578947] ; [ 7.81578947 10.18421053],0
r3,1,0.926266,0.008564,[52  6] ; [16  2],[51.89473684  6.10526316] ; [16.10526316  1.89473684],0
a1,1,0.949293,0.004044,[ 3 55] ; [ 1 17],[ 3.05263158 54.94736842] ; [ 0.94736842 17.05263158],0
s6,1,0.976066,0.0009,[34 22] ; [11  7],[34.05405405 21.94594595] ; [10.94594595  7.05405405],0
p10,1,0.987332,0.000252,[42 16] ; [13  5],[41.97368421 16.02631579] ; [13.02631579  4.97368421],0
