Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.015972,5.805908,[13 10] ; [13 35],[ 8.42253521 14.57746479] ; [17.57746479 30.42253521],0
r3,1,0.018443,5.553584,[20  3] ; [29 20],[15.65277778  7.34722222] ; [33.34722222 15.65277778],0
v3,1,0.022627,5.196881,[10 12] ; [ 9 38],[ 6.05797101 15.94202899] ; [12.94202899 34.05797101],0
p8,1,0.024189,5.081033,[10 13] ; [ 9 40],[ 6.06944444 16.93055556] ; [12.93055556 36.06944444],0
s4,1,0.024241,5.077312,[ 1 22] ; [13 35],[ 4.53521127 18.46478873] ; [ 9.46478873 38.53521127],0
v4,1,0.049845,3.846653,[20  3] ; [31 17],[16.52112676  6.47887324] ; [34.47887324 13.52112676],0
s8,1,0.051029,3.807323,[ 8 15] ; [ 7 41],[ 4.85915493 18.14084507] ; [10.14084507 37.85915493],0
d5,1,0.066191,3.375029,[17  6] ; [25 24],[13.41666667  9.58333333] ; [28.58333333 20.41666667],0
p7,1,0.07508,3.168321,[14  8] ; [20 29],[10.53521127 11.46478873] ; [23.46478873 25.53521127],0
a4,1,0.076768,3.132026,[ 4 19] ; [18 29],[ 7.22857143 15.77142857] ; [14.77142857 32.22857143],0
b4,1,0.101207,2.686424,[16  7] ; [24 25],[12.77777778 10.22222222] ; [27.22222222 21.77777778],0
p10,1,0.116178,2.468098,[ 7 16] ; [ 7 41],[ 4.53521127 18.46478873] ; [ 9.46478873 38.53521127],0
s5,1,0.138478,2.194791,[ 8 15] ; [ 9 39],[ 5.50704225 17.49295775] ; [11.49295775 36.50704225],0
n3,1,0.152057,2.051491,[5 2] ; [ 8 12],[3.37037037 3.62962963] ; [ 9.62962963 10.37037037],0
p4,1,0.225684,1.467859,[ 9 13] ; [13 36],[ 6.81690141 15.18309859] ; [15.18309859 33.81690141],0
r1,1,0.243332,1.361186,[16  7] ; [27 22],[13.73611111  9.26388889] ; [29.26388889 19.73611111],0
u2,1,0.258116,1.278832,[6 4] ; [11 17],[4.47368421 5.52631579] ; [12.52631579 15.47368421],0
d4,1,0.258322,1.277728,[15  8] ; [25 24],[12.77777778 10.22222222] ; [27.22222222 21.77777778],0
n5,1,0.278847,1.172702,[10 13] ; [28 21],[12.13888889 10.86111111] ; [25.86111111 23.13888889],0
d1,1,0.279176,1.171096,[ 9 14] ; [13 36],[ 7.02777778 15.97222222] ; [14.97222222 34.02777778],0
r4,1,0.3314,0.943418,[15  8] ; [26 23],[13.09722222  9.90277778] ; [27.90277778 21.09722222],0
u3,1,0.368005,0.81039,[3 8] ; [12 16],[4.23076923 6.76923077] ; [10.76923077 17.23076923],0
v1,1,0.370273,0.802747,[ 9 14] ; [14 35],[ 7.34722222 15.65277778] ; [15.65277778 33.34722222],0
a8,1,0.423116,0.641646,[ 2 20] ; [ 2 45],[ 1.27536232 20.72463768] ; [ 2.72463768 44.27536232],0
n2,1,0.42956,0.624013,[5 2] ; [12 10],[4.10344828 2.89655172] ; [12.89655172  9.10344828],0
a3,1,0.459432,0.547279,[12 11] ; [21 28],[10.54166667 12.45833333] ; [22.45833333 26.54166667],0
d2,1,0.486228,0.484862,[ 9 14] ; [23 25],[10.36619718 12.63380282] ; [21.63380282 26.36619718],0
s6,1,0.512579,0.428798,[10 13] ; [17 31],[ 8.74647887 14.25352113] ; [18.25352113 29.74647887],0
r2,1,0.528265,0.397727,[18  4] ; [36 12],[16.97142857  5.02857143] ; [37.02857143 10.97142857],0
p6,1,0.544964,0.366417,[ 5 17] ; [ 8 40],[ 4.08571429 17.91428571] ; [ 8.91428571 39.08571429],0
p1,1,0.552637,0.352615,[ 1 22] ; [ 4 45],[ 1.59722222 21.40277778] ; [ 3.40277778 45.59722222],0
p3,1,0.572789,0.318038,[ 6 17] ; [16 33],[ 7.02777778 15.97222222] ; [14.97222222 34.02777778],0
n4,1,0.584184,0.299519,[13 10] ; [31 18],[14.05555556  8.94444444] ; [29.94444444 19.05555556],0
d3,1,0.600604,0.274086,[ 7 16] ; [18 31],[ 7.98611111 15.01388889] ; [17.01388889 31.98611111],0
s1,1,0.635188,0.225091,[ 2 21] ; [ 6 42],[ 2.5915493 20.4084507] ; [ 5.4084507 42.5915493],0
p2,1,0.692379,0.156522,[11 12] ; [21 28],[10.22222222 12.77777778] ; [21.77777778 27.22222222],0
b2,1,0.713858,0.134454,[ 4 10] ; [ 8 26],[ 3.5 10.5] ; [ 8.5 25.5],0
b3,1,0.713858,0.134454,[ 4 10] ; [ 8 26],[ 3.5 10.5] ; [ 8.5 25.5],0
b5,1,0.744191,0.106477,[ 8 15] ; [19 30],[ 8.625 14.375] ; [18.375 30.625],0
a6,1,0.744191,0.106477,[ 8 15] ; [19 30],[ 8.625 14.375] ; [18.375 30.625],0
s3,1,0.746669,0.104352,[11 12] ; [21 27],[10.36619718 12.63380282] ; [21.63380282 26.36619718],0
a1,1,0.759214,0.093951,[ 1 22] ; [ 3 46],[ 1.27777778 21.72222222] ; [ 2.72222222 46.27777778],0
n1,1,0.770831,0.084848,[2 4] ; [ 6 16],[1.71428571 4.28571429] ; [ 6.28571429 15.71428571],0
b1,1,0.783488,0.075502,[13 10] ; [26 23],[12.45833333 10.54166667] ; [26.54166667 22.45833333],0
p11,1,0.783488,0.075502,[10 13] ; [23 26],[10.54166667 12.45833333] ; [22.45833333 26.54166667],0
a5,1,0.800456,0.063886,[12 11] ; [24 25],[11.5 11.5] ; [24.5 24.5],0
n6,1,0.830844,0.045633,[13 10] ; [29 20],[13.41666667  9.58333333] ; [28.58333333 20.41666667],0
s7,1,0.831462,0.045295,[ 6 15] ; [12 34],[ 5.64179104 15.35820896] ; [12.35820896 33.64179104],0
p5,1,0.957968,0.002778,[ 1 22] ; [ 2 47],[ 0.95833333 22.04166667] ; [ 2.04166667 46.95833333],0
