Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,206.12923,[324 131] ; [ 18 173],[240.88235294 214.11764706] ; [101.11764706  89.88235294],1
d5,1,0.0,153.345586,[447   8] ; [122  70],[400.14683153  54.85316847] ; [168.85316847  23.14683153],1
d3,1,0.0,99.033505,[403  52] ; [102  90],[355.13910355  99.86089645] ; [149.86089645  42.13910355],1
a2,1,0.0,60.167456,[160 295] ; [ 11 181],[120.25502318 334.74497682] ; [ 50.74497682 141.25502318],1
a4,1,0.0,45.778663,[267 187] ; [ 57 135],[227.70278638 226.29721362] ; [96.29721362 95.70278638],1
a5,1,0.0,44.936497,[388  67] ; [118  74],[355.8423493  99.1576507] ; [150.1576507  41.8423493],1
u1,1,0.0,44.908903,[125 330] ; [  8 184],[ 93.5316847 361.4683153] ; [ 39.4683153 152.5316847],1
a3,1,1e-06,25.03112,[372  81] ; [122  69],[347.48757764 105.51242236] ; [146.51242236  44.48757764],1
r2,1,4e-06,21.048757,[437  11] ; [167  21],[425.4591195  22.5408805] ; [178.5408805   9.4591195],1
a6,1,4.6e-05,16.605853,[336 118] ; [111  81],[314.14551084 139.85448916] ; [132.85448916  59.14551084],1
p4,1,0.000146,14.426979,[308 144] ; [100  91],[286.80559876 165.19440124] ; [121.19440124  69.80559876],1
n4,1,0.000211,13.72907,[374  80] ; [133  59],[356.3126935  97.6873065] ; [150.6873065  41.3126935],1
s8,1,0.000239,13.49859,[241 211] ; [ 72 120],[219.68322981 232.31677019] ; [93.31677019 98.68322981],1
r1,1,0.000332,12.882495,[384  68] ; [140  52],[367.77639752  84.22360248] ; [156.22360248  35.77639752],1
v3,1,0.000469,12.235821,[195 235] ; [ 57 131],[175.33980583 254.66019417] ; [ 76.66019417 111.33980583],1
p3,1,0.000922,10.978023,[258 195] ; [ 82 110],[238.79069767 214.20930233] ; [101.20930233  90.79069767],1
v2,1,0.002064,9.491408,[276 160] ; [92 92],[258.78709677 177.21290323] ; [109.21290323  74.78709677],0
r4,1,0.002489,9.148789,[423  32] ; [164  28],[412.80525502  42.19474498] ; [174.19474498  17.80525502],0
a7,1,0.004861,7.93044,[351 104] ; [127  64],[336.67182663 118.32817337] ; [141.32817337  49.67182663],0
v4,1,0.005682,7.648389,[440  12] ; [176  14],[433.69470405  18.30529595] ; [182.30529595   7.69470405],0
s2,1,0.017289,5.666779,[261 190] ; [ 91 100],[247.27725857 203.72274143] ; [104.72274143  86.27725857],0
p6,1,0.018733,5.526292,[193 256] ; [ 62 126],[179.74097331 269.25902669] ; [ 75.25902669 112.74097331],0
u4,1,0.022891,5.176735,[ 17 437] ; [  1 191],[ 12.6501548 441.3498452] ; [  5.3498452 186.6501548],0
n6,1,0.034838,4.453107,[397  55] ; [154  35],[388.53666147  63.46333853] ; [162.46333853  26.53666147],0
n5,1,0.038098,4.300635,[355  97] ; [134  55],[344.8174727 107.1825273] ; [144.1825273  44.8174727],0
s7,1,0.047272,3.935671,[241 198] ; [85 99],[229.71749599 209.28250401] ; [96.28250401 87.71749599],0
s3,1,0.080268,3.059464,[272 175] ; [102  89],[262.03448276 184.96551724] ; [111.96551724  79.03448276],0
p1,1,0.085966,2.948341,[ 42 411] ; [ 10 181],[ 36.57763975 416.42236025] ; [ 15.42236025 175.57763975],0
