Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.1e-05,18.056771,[59  5] ; [30 21],[49.53043478 14.46956522] ; [39.46956522 11.53043478],1
r4,1,0.000344,12.812341,[51 15] ; [23 28],[41.74358974 24.25641026] ; [32.25641026 18.74358974],1
p11,1,0.001407,10.196906,[39 27] ; [15 36],[30.46153846 35.53846154] ; [23.53846154 27.46153846],0
a1,1,0.001969,9.578282,[ 1 65] ; [ 9 42],[ 5.64102564 60.35897436] ; [ 4.35897436 46.64102564],0
p4,1,0.002682,9.012392,[26 40] ; [ 7 43],[18.77586207 47.22413793] ; [14.22413793 35.77586207],0
p7,1,0.003249,8.661852,[29 36] ; [ 9 40],[21.66666667 43.33333333] ; [16.33333333 32.66666667],0
r3,1,0.006036,7.539403,[56 10] ; [32 19],[49.64102564 16.35897436] ; [38.35897436 12.64102564],0
a7,1,0.013256,6.134594,[46 20] ; [24 27],[39.48717949 26.51282051] ; [30.51282051 20.48717949],0
n1,1,0.014149,6.019484,[ 4 19] ; [15 15],[ 8.24528302 14.75471698] ; [10.75471698 19.24528302],0
s6,1,0.016839,5.71308,[33 33] ; [14 36],[26.74137931 39.25862069] ; [20.25862069 29.74137931],0
p9,1,0.019573,5.449581,[44 22] ; [22 27],[37.87826087 28.12173913] ; [28.12173913 20.87826087],0
p10,1,0.019669,5.441022,[36 30] ; [16 33],[29.84347826 36.15652174] ; [22.15652174 26.84347826],0
u1,1,0.025095,5.017335,[ 9 57] ; [ 1 50],[ 5.64102564 60.35897436] ; [ 4.35897436 46.64102564],0
d3,1,0.030265,4.694151,[43 22] ; [23 27],[37.30434783 27.69565217] ; [28.69565217 21.30434783],0
a6,1,0.031083,4.648362,[46 20] ; [25 25],[40.39655172 25.60344828] ; [30.60344828 19.39655172],0
p3,1,0.034743,4.457757,[22 44] ; [ 8 42],[17.06896552 48.93103448] ; [12.93103448 37.06896552],0
b5,1,0.045385,4.004278,[42 24] ; [23 28],[36.66666667 29.33333333] ; [28.33333333 22.66666667],0
b2,1,0.05407,3.710539,[ 7 27] ; [14 19],[10.65671642 23.34328358] ; [10.34328358 22.65671642],0
b3,1,0.05407,3.710539,[ 7 27] ; [14 19],[10.65671642 23.34328358] ; [10.34328358 22.65671642],0
r2,1,0.058235,3.58696,[58  7] ; [38 12],[54.26086957 10.73913043] ; [41.73913043  8.26086957],0
d4,1,0.093551,2.812176,[53 12] ; [34 16],[49.17391304 15.82608696] ; [37.82608696 12.17391304],0
s8,1,0.095335,2.781907,[19 47] ; [ 8 43],[15.23076923 50.76923077] ; [11.76923077 39.23076923],0
s1,1,0.123726,2.369505,[ 2 63] ; [ 5 45],[ 3.95652174 61.04347826] ; [ 3.04347826 46.95652174],0
p6,1,0.124751,2.356637,[12 54] ; [ 4 45],[ 9.1826087 56.8173913] ; [ 6.8173913 42.1826087],0
p1,1,0.153108,2.041009,[ 3 62] ; [ 6 45],[ 5.04310345 59.95689655] ; [ 3.95689655 47.04310345],0
b4,1,0.168847,1.893154,[42 24] ; [26 25],[38.35897436 27.64102564] ; [29.64102564 21.35897436],0
r1,1,0.230671,1.43672,[44 21] ; [29 22],[40.90517241 24.09482759] ; [32.09482759 18.90517241],0
u2,1,0.257312,1.283161,[16  6] ; [10  8],[14.3  7.7] ; [11.7  6.3],0
d2,1,0.274435,1.194445,[25 41] ; [24 26],[27.87931034 38.12068966] ; [21.12068966 28.87931034],0
u3,1,0.326333,0.963395,[15  8] ; [9 9],[13.46341463  9.53658537] ; [10.53658537  7.46341463],0
n3,1,0.35608,0.851671,[17  7] ; [17 12],[15.39622642  8.60377358] ; [18.60377358 10.39622642],0
v1,1,0.357803,0.845588,[28 36] ; [18 33],[25.6 38.4] ; [20.4 30.6],0
a4,1,0.431152,0.619718,[25 41] ; [23 28],[27.07692308 38.92307692] ; [20.92307692 30.07692308],0
s2,1,0.500157,0.454603,[26 40] ; [17 34],[24.25641026 41.74358974] ; [18.74358974 32.25641026],0
v2,1,0.502663,0.44931,[25 37] ; [16 31],[23.32110092 38.67889908] ; [17.67889908 29.32110092],0
s4,1,0.516925,0.420024,[12 54] ; [ 7 44],[10.71794872 55.28205128] ; [ 8.28205128 42.71794872],0
d5,1,0.517356,0.419162,[46 20] ; [32 18],[44.37931034 21.62068966] ; [33.62068966 16.37931034],0
a8,1,0.564535,0.331912,[ 6 53] ; [ 7 44],[ 6.97272727 52.02727273] ; [ 6.02727273 44.97272727],0
b1,1,0.565046,0.331042,[34 32] ; [29 22],[35.53846154 30.46153846] ; [27.46153846 23.53846154],0
s5,1,0.602658,0.271005,[12 51] ; [ 7 39],[10.98165138 52.01834862] ; [ 8.01834862 37.98165138],0
n2,1,0.681028,0.168971,[16  8] ; [19 12],[15.27272727  8.72727273] ; [19.72727273 11.27272727],0
v3,1,0.705062,0.14326,[14 48] ; [ 9 37],[13.2037037 48.7962963] ; [ 9.7962963 36.2037037],0
a2,1,0.716656,0.13172,[10 56] ; [ 9 42],[10.71794872 55.28205128] ; [ 8.28205128 42.71794872],0
n5,1,0.754439,0.097839,[28 37] ; [23 27],[28.82608696 36.17391304] ; [22.17391304 27.82608696],0
s7,1,0.791114,0.070153,[18 42] ; [13 34],[17.38317757 42.61682243] ; [13.61682243 33.38317757],0
s3,1,0.806114,0.060242,[34 31] ; [25 25],[33.34782609 31.65217391] ; [25.65217391 24.34782609],0
p12,1,0.851119,0.035228,[ 1 64] ; [ 1 49],[ 1.13043478 63.86956522] ; [ 0.86956522 49.13043478],0
n4,1,0.900471,0.015642,[37 29] ; [28 23],[36.66666667 29.33333333] ; [28.33333333 22.66666667],0
a3,1,0.924146,0.009065,[43 23] ; [33 17],[43.24137931 22.75862069] ; [32.75862069 17.24137931],0
d1,1,0.938378,0.005977,[28 38] ; [22 29],[28.20512821 37.79487179] ; [21.79487179 29.20512821],0
a5,1,0.97674,0.00085,[39 27] ; [30 21],[38.92307692 27.07692308] ; [30.07692308 20.92307692],0
