Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,29.746768,[50  5] ; [ 9 18],[39.57317073 15.42682927] ; [19.42682927  7.57317073],1
v1,1,0.00225,9.333325,[43 12] ; [12 15],[36.8902439 18.1097561] ; [18.1097561  8.8902439],0
s8,1,0.004177,8.205259,[42 13] ; [12 15],[36.2195122 18.7804878] ; [17.7804878  9.2195122],0
n5,1,0.006989,7.275675,[54  2] ; [21  6],[50.60240964  5.39759036] ; [24.39759036  2.60240964],0
s7,1,0.008457,6.934024,[48  7] ; [14  9],[43.71794872 11.28205128] ; [18.28205128  4.71794872],0
d1,1,0.011716,6.353386,[39 17] ; [11 16],[33.73493976 22.26506024] ; [16.26506024 10.73493976],0
p6,1,0.012131,6.291688,[41 14] ; [12 14],[35.98765432 19.01234568] ; [17.01234568  8.98765432],0
s5,1,0.014019,6.035688,[41 12] ; [13 13],[36.2278481 16.7721519] ; [17.7721519  8.2278481],0
a4,1,0.015914,5.812325,[28 28] ; [ 6 21],[22.93975904 33.06024096] ; [11.06024096 15.93975904],0
n6,1,0.020812,5.34246,[54  1] ; [23  4],[51.64634146  3.35365854] ; [25.35365854  1.64634146],0
p8,1,0.024189,5.08104,[49  7] ; [18  9],[45.20481928 10.79518072] ; [21.79518072  5.20481928],0
n1,1,0.029549,4.73534,[7 2] ; [2 6],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
p2,1,0.039123,4.255523,[51  5] ; [20  7],[47.90361446  8.09638554] ; [23.09638554  3.90361446],0
p4,1,0.043527,4.074811,[51  4] ; [20  6],[48.20987654  6.79012346] ; [22.79012346  3.20987654],0
r2,1,0.048812,3.881803,[53  3] ; [21  5],[50.53658537  5.46341463] ; [23.46341463  2.53658537],0
r4,1,0.063113,3.453643,[55  1] ; [24  3],[53.30120482  2.69879518] ; [25.69879518  1.30120482],0
v4,1,0.063113,3.453643,[55  1] ; [24  3],[53.30120482  2.69879518] ; [25.69879518  1.30120482],0
n4,1,0.063873,3.433857,[54  2] ; [23  4],[51.95180723  4.04819277] ; [25.04819277  1.95180723],0
p1,1,0.068345,3.322331,[19 37] ; [ 4 23],[15.51807229 40.48192771] ; [ 7.48192771 19.51807229],0
d3,1,0.082449,3.015951,[41 14] ; [15 12],[37.56097561 17.43902439] ; [18.43902439  8.56097561],0
a2,1,0.110015,2.554,[12 44] ; [ 2 25],[ 9.44578313 46.55421687] ; [ 4.55421687 22.44578313],0
a3,1,0.1159,2.471863,[46 10] ; [18  9],[43.18072289 12.81927711] ; [20.81927711  6.18072289],0
p7,1,0.148678,2.085757,[45  9] ; [18  8],[42.525 11.475] ; [20.475  5.525],0
r1,1,0.196653,1.667061,[48  8] ; [20  7],[45.87951807 10.12048193] ; [22.12048193  4.87951807],0
v3,1,0.239541,1.383291,[34 21] ; [13 14],[31.52439024 23.47560976] ; [15.47560976 11.52439024],0
d2,1,0.240021,1.380471,[30 25] ; [11 16],[27.5 27.5] ; [13.5 13.5],0
d4,1,0.268604,1.223864,[48  7] ; [21  6],[46.2804878  8.7195122] ; [22.7195122  4.2804878],0
s4,1,0.300201,1.0733,[ 9 47] ; [ 2 24],[ 7.51219512 48.48780488] ; [ 3.48780488 22.51219512],0
b1,1,0.326311,0.963482,[25 31] ; [ 9 18],[22.93975904 33.06024096] ; [11.06024096 15.93975904],0
n3,1,0.342782,0.9,[4 5] ; [6 3],[5. 4.] ; [5. 4.],0
p12,1,0.350331,0.872259,[18 38] ; [ 6 21],[16.19277108 39.80722892] ; [ 7.80722892 19.19277108],0
p11,1,0.365678,0.818298,[48  8] ; [21  6],[46.55421687  9.44578313] ; [22.44578313  4.55421687],0
a6,1,0.371275,0.799393,[31 24] ; [18  9],[32.86585366 22.13414634] ; [16.13414634 10.86585366],0
a1,1,0.428236,0.627603,[10 46] ; [ 3 24],[ 8.77108434 47.22891566] ; [ 4.22891566 22.77108434],0
r3,1,0.444601,0.58438,[54  2] ; [25  2],[53.30120482  2.69879518] ; [25.69879518  1.30120482],0
p3,1,0.542354,0.371193,[44 11] ; [20  7],[42.92682927 12.07317073] ; [21.07317073  5.92682927],0
d5,1,0.542354,0.371193,[44 11] ; [20  7],[42.92682927 12.07317073] ; [21.07317073  5.92682927],0
n2,1,0.598725,0.276923,[7 2] ; [6 3],[6.5 2.5] ; [6.5 2.5],0
b4,1,0.613463,0.255162,[32 24] ; [17 10],[33.06024096 22.93975904] ; [15.93975904 11.06024096],0
s1,1,0.63247,0.228726,[ 6 50] ; [ 2 25],[ 5.39759036 50.60240964] ; [ 2.60240964 24.39759036],0
a8,1,0.638916,0.220163,[ 8 43] ; [ 5 20],[ 8.72368421 42.27631579] ; [ 4.27631579 20.72368421],0
b3,1,0.645238,0.211957,[18 21] ; [11 10],[18.85 20.15] ; [10.15 10.85],0
b2,1,0.645238,0.211957,[18 21] ; [11 10],[18.85 20.15] ; [10.15 10.85],0
v2,1,0.686055,0.163389,[30 25] ; [16 11],[30.85365854 24.14634146] ; [15.14634146 11.85365854],0
p10,1,0.70526,0.143058,[50  6] ; [23  2],[50.4691358  5.5308642] ; [22.5308642  2.4691358],0
b5,1,0.756155,0.096431,[27 29] ; [14 13],[27.6626506 28.3373494] ; [13.3373494 13.6626506],0
u3,1,0.763573,0.090476,[6 4] ; [6 3],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
u2,1,0.875975,0.024359,[7 3] ; [6 3],[6.84210526 3.15789474] ; [6.15789474 2.84210526],0
u1,1,0.903176,0.014799,[11 45] ; [ 5 22],[10.79518072 45.20481928] ; [ 5.20481928 21.79518072],0
a7,1,0.920645,0.009924,[40 16] ; [19  8],[39.80722892 16.19277108] ; [19.19277108  7.80722892],0
a5,1,0.933737,0.006913,[41 15] ; [20  7],[41.15662651 14.84337349] ; [19.84337349  7.15662651],0
p9,1,0.965222,0.001901,[52  4] ; [25  2],[51.95180723  4.04819277] ; [25.04819277  1.95180723],0
