Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.014022,6.035359,[ 4 34] ; [3 3],[ 6.04545455 31.95454545] ; [0.95454545 5.04545455],0
u1,1,0.026237,4.940351,[ 2 36] ; [2 4],[ 3.45454545 34.54545455] ; [0.54545455 5.45454545],0
a4,1,0.051247,3.800186,[15 22] ; [5 1],[17.20930233 19.79069767] ; [2.79069767 3.20930233],0
s7,1,0.052612,3.756215,[ 9 25] ; [4 2],[11.05 22.95] ; [1.95 4.05],0
r1,1,0.060253,3.53042,[16 22] ; [5 1],[18.13636364 19.86363636] ; [2.86363636 3.13636364],0
p1,1,0.06806,3.329195,[ 3 35] ; [2 4],[ 4.31818182 33.68181818] ; [0.68181818 5.31818182],0
p11,1,0.096836,2.756892,[12 26] ; [4 2],[13.81818182 24.18181818] ; [2.18181818 3.81818182],0
p8,1,0.096836,2.756892,[12 26] ; [4 2],[13.81818182 24.18181818] ; [2.18181818 3.81818182],0
p10,1,0.127538,2.322222,[19 19] ; [5 1],[20.72727273 17.27272727] ; [3.27272727 2.72727273],0
s8,1,0.128066,2.315789,[ 8 30] ; [3 3],[ 9.5 28.5] ; [1.5 4.5],0
p9,1,0.143385,2.14125,[19 18] ; [5 1],[20.65116279 16.34883721] ; [3.34883721 2.65116279],0
a7,1,0.158261,1.990766,[20 18] ; [5 1],[21.59090909 16.40909091] ; [3.40909091 2.59090909],0
n4,1,0.158261,1.990766,[20 18] ; [5 1],[21.59090909 16.40909091] ; [3.40909091 2.59090909],0
p3,1,0.167327,1.906733,[14 24] ; [4 2],[15.54545455 22.45454545] ; [2.45454545 3.54545455],0
p4,1,0.184245,1.763043,[14 23] ; [4 2],[15.48837209 21.51162791] ; [2.51162791 3.48837209],0
b4,1,0.234333,1.414364,[22 16] ; [5 1],[23.31818182 14.68181818] ; [3.68181818 2.31818182],0
n2,1,0.243498,1.360227,[7 7] ; [4 1],[8.10526316 5.89473684] ; [2.89473684 2.10526316],0
n6,1,0.291874,1.110959,[21 17] ; [4 1],[22.09302326 15.90697674] ; [2.90697674 2.09302326],0
n1,1,0.345099,0.891396,[5 9] ; [3 2],[5.89473684 8.10526316] ; [2.10526316 2.89473684],0
n3,1,0.36308,0.827211,[6 8] ; [1 4],[5.15789474 8.84210526] ; [1.84210526 3.15789474],0
v1,1,0.376354,0.782577,[12 26] ; [3 3],[12.95454545 25.04545455] ; [2.04545455 3.95454545],0
b2,1,0.392558,0.731002,[ 9 17] ; [1 5],[ 8.125 17.875] ; [1.875 4.125],0
b3,1,0.392558,0.731002,[ 9 17] ; [1 5],[ 8.125 17.875] ; [1.875 4.125],0
v3,1,0.400037,0.708215,[ 7 31] ; [2 4],[ 7.77272727 30.22727273] ; [1.22727273 4.77272727],0
s6,1,0.454958,0.558271,[13 25] ; [3 3],[13.81818182 24.18181818] ; [2.18181818 3.81818182],0
a3,1,0.456864,0.553568,[26 12] ; [5 1],[26.77272727 11.22727273] ; [4.22727273 1.77272727],0
s3,1,0.4847,0.48827,[13 24] ; [3 3],[13.76744186 23.23255814] ; [2.23255814 3.76744186],0
s1,1,0.487312,0.482456,[ 3 35] ; [1 5],[ 3.45454545 34.54545455] ; [0.54545455 5.45454545],0
s2,1,0.530201,0.394006,[11 27] ; [1 5],[10.36363636 27.63636364] ; [1.63636364 4.36363636],0
r4,1,0.703064,0.145304,[ 9 29] ; [1 5],[ 8.63636364 29.36363636] ; [1.36363636 4.63636364],0
b5,1,0.716743,0.131634,[22 16] ; [3 3],[21.59090909 16.40909091] ; [3.40909091 2.59090909],0
v2,1,0.719831,0.128655,[10 28] ; [2 4],[10.36363636 27.63636364] ; [1.63636364 4.36363636],0
s5,1,0.749379,0.102054,[10 27] ; [2 4],[10.3255814 26.6744186] ; [1.6744186 4.3255814],0
p7,1,0.768321,0.086772,[12 24] ; [2 3],[12.29268293 23.70731707] ; [1.70731707 3.29268293],0
p2,1,0.809855,0.057895,[17 21] ; [3 3],[17.27272727 20.72727273] ; [2.72727273 3.27272727],0
r2,1,0.857942,0.032039,[22 13] ; [4 2],[22.19512195 12.80487805] ; [3.80487805 2.19512195],0
p6,1,0.917532,0.010721,[ 7 31] ; [1 5],[ 6.90909091 31.09090909] ; [1.09090909 4.90909091],0
v4,1,0.966399,0.001775,[25 13] ; [4 2],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
b1,1,0.966399,0.001775,[25 13] ; [4 2],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
