Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.9e-05,16.931217,[12  2] ; [ 8 28],[5.6 8.4] ; [14.4 21.6],1
p11,1,9.2e-05,15.292307,[9 5] ; [ 4 33],[ 3.56862745 10.43137255] ; [ 9.43137255 27.56862745],1
p4,1,0.000119,14.813715,[9 4] ; [ 5 32],[3.64 9.36] ; [10.36 26.64],1
p7,1,0.000123,14.740898,[9 3] ; [ 6 31],[3.67346939 8.32653061] ; [11.32653061 25.67346939],1
p6,1,0.001236,10.435563,[6 8] ; [ 2 34],[ 2.24 11.76] ; [ 5.76 30.24],0
p2,1,0.003751,8.400486,[10  4] ; [10 27],[5.49019608 8.50980392] ; [14.50980392 22.49019608],0
v4,1,0.003922,8.319498,[12  2] ; [15 22],[7.41176471 6.58823529] ; [19.58823529 17.41176471],0
u3,1,0.011065,6.454861,[4 2] ; [ 2 14],[1.63636364 4.36363636] ; [ 4.36363636 11.63636364],0
p3,1,0.01349,6.103649,[7 7] ; [ 6 31],[ 3.56862745 10.43137255] ; [ 9.43137255 27.56862745],0
n6,1,0.020752,5.347542,[9 4] ; [12 25],[5.46 7.54] ; [15.54 21.46],0
p9,1,0.024724,5.043115,[9 5] ; [10 24],[5.54166667 8.45833333] ; [13.45833333 20.54166667],0
p5,1,0.026433,4.927493,[ 3 11] ; [ 1 36],[ 1.09803922 12.90196078] ; [ 2.90196078 34.09803922],0
u2,1,0.031633,4.618254,[4 2] ; [ 3 13],[1.90909091 4.09090909] ; [ 5.09090909 10.90909091],0
n4,1,0.039142,4.254688,[5 9] ; [25 12],[8.23529412 5.76470588] ; [21.76470588 15.23529412],0
a7,1,0.039142,4.254688,[9 5] ; [12 25],[5.76470588 8.23529412] ; [15.23529412 21.76470588],0
v2,1,0.042033,4.133867,[5 9] ; [ 4 32],[ 2.52 11.48] ; [ 6.48 29.52],0
s7,1,0.042589,4.111622,[5 8] ; [ 4 29],[ 2.54347826 10.45652174] ; [ 6.45652174 26.54347826],0
d3,1,0.048933,3.877636,[10  4] ; [15 22],[6.8627451 7.1372549] ; [18.1372549 18.8627451],0
a4,1,0.066486,3.367711,[ 2 12] ; [15 21],[4.76 9.24] ; [12.24 23.76],0
a6,1,0.072356,3.228738,[ 4 10] ; [21 16],[6.8627451 7.1372549] ; [18.1372549 18.8627451],0
r4,1,0.116675,2.46139,[ 2 12] ; [ 1 36],[ 0.82352941 13.17647059] ; [ 2.17647059 34.82352941],0
