Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.9e-05,17.483901,[41 21] ; [122  13],[51.29949239 10.70050761] ; [111.70050761  23.29949239],1
p6,1,0.00024,13.48495,[18 43] ; [77 56],[29.87113402 31.12886598] ; [65.12886598 67.87113402],1
p5,1,0.000644,11.643741,[ 5 57] ; [41 95],[14.4040404 47.5959596] ; [ 31.5959596 104.4040404],1
p4,1,0.00162,9.936644,[42 20] ; [118  18],[50.1010101 11.8989899] ; [109.8989899  26.1010101],0
p9,1,0.002885,8.879121,[49 13] ; [127   9],[55.11111111  6.88888889] ; [120.88888889  15.11111111],0
p11,1,0.004753,7.971124,[46 16] ; [122  14],[52.60606061  9.39393939] ; [115.39393939  20.60606061],0
s5,1,0.009778,6.674924,[18 42] ; [65 65],[26.21052632 33.78947368] ; [56.78947368 73.21052632],0
u1,1,0.012696,6.210982,[22 40] ; [ 26 110],[15.03030303 46.96969697] ; [ 32.96969697 103.03030303],0
p1,1,0.0153,5.881622,[ 4 58] ; [ 27 108],[ 9.75634518 52.24365482] ; [ 21.24365482 113.75634518],0
p2,1,0.015994,5.803504,[51 11] ; [127   9],[55.73737374  6.26262626] ; [122.26262626  13.73737374],0
p10,1,0.020019,5.410247,[52 10] ; [128   8],[56.36363636  5.63636364] ; [123.63636364  12.36363636],0
d1,1,0.039756,4.228275,[34 28] ; [95 41],[40.39393939 21.60606061] ; [88.60606061 47.39393939],0
b5,1,0.043213,4.087037,[41 21] ; [69 67],[34.44444444 27.55555556] ; [75.55555556 60.44444444],0
v2,1,0.063818,3.435283,[44 17] ; [112  22],[48.8 12.2] ; [107.2  26.8],0
p12,1,0.074784,3.174763,[ 6 56] ; [ 27 109],[10.33333333 51.66666667] ; [ 22.66666667 113.33333333],0
s8,1,0.124728,2.356925,[31 31] ; [82 51],[35.92820513 26.07179487] ; [77.07179487 55.92820513],0
d5,1,0.141687,2.159546,[56  6] ; [111  24],[52.55837563  9.44162437] ; [114.44162437  20.55837563],0
n2,1,0.150224,2.069972,[8 3] ; [14  1],[9.30769231 1.69230769] ; [12.69230769  2.30769231],0
r4,1,0.190994,1.709937,[57  5] ; [131   5],[58.86868687  3.13131313] ; [129.13131313   6.86868687],0
a1,1,0.258393,1.277348,[ 3 59] ; [ 13 123],[ 5.01010101 56.98989899] ; [ 10.98989899 125.01010101],0
a2,1,0.286149,1.137653,[21 41] ; [ 36 100],[17.84848485 44.15151515] ; [39.15151515 96.84848485],0
s1,1,0.295301,1.095294,[ 3 57] ; [  3 133],[ 1.83673469 58.16326531] ; [  4.16326531 131.83673469],0
a7,1,0.300395,1.072439,[41 21] ; [99 36],[44.06091371 17.93908629] ; [95.93908629 39.06091371],0
u3,1,0.306944,1.043778,[10  4] ; [16 13],[8.46511628 5.53488372] ; [17.53488372 11.46511628],0
v4,1,0.320963,0.985018,[59  3] ; [132   3],[60.11167513  1.88832487] ; [130.88832487   4.11167513],0
n5,1,0.32624,0.963767,[51 11] ; [119  17],[53.23232323  8.76767677] ; [116.76767677  19.23232323],0
d2,1,0.337891,0.918416,[36 26] ; [69 67],[32.87878788 29.12121212] ; [72.12121212 63.87878788],0
b1,1,0.342458,0.901208,[30 32] ; [56 80],[26.92929293 35.07070707] ; [59.07070707 76.92929293],0
s3,1,0.351212,0.869074,[34 26] ; [86 49],[36.92307692 23.07692308] ; [83.07692308 51.92307692],0
v1,1,0.391656,0.733795,[41 19] ; [101  35],[43.46938776 16.53061224] ; [98.53061224 37.46938776],0
a4,1,0.392355,0.731632,[33 29] ; [63 72],[30.21319797 31.78680203] ; [65.78680203 69.21319797],0
d3,1,0.397516,0.715827,[41 21] ; [98 38],[43.52525253 18.47474747] ; [95.47474747 40.52525253],0
b2,1,0.424868,0.636811,[21 23] ; [36 53],[18.85714286 25.14285714] ; [38.14285714 50.85714286],0
b3,1,0.424868,0.636811,[21 23] ; [36 53],[18.85714286 25.14285714] ; [38.14285714 50.85714286],0
r3,1,0.427732,0.628973,[61  1] ; [130   5],[60.11167513  1.88832487] ; [130.88832487   4.11167513],0
u4,1,0.432114,0.617136,[ 1 61] ; [  5 131],[ 1.87878788 60.12121212] ; [  4.12121212 131.87878788],0
n4,1,0.432924,0.614966,[57  5] ; [120  16],[55.42424242  6.57575758] ; [121.57575758  14.42424242],0
n1,1,0.462325,0.54026,[6 5] ; [6 9],[5.07692308 5.92307692] ; [6.92307692 8.07692308],0
a6,1,0.4658,0.531922,[45 17] ; [91 44],[42.80203046 19.19796954] ; [93.19796954 41.80203046],0
a5,1,0.578266,0.309046,[49 13] ; [112  24],[50.41414141 11.58585859] ; [110.58585859  25.41414141],0
r1,1,0.587858,0.293702,[52 10] ; [118  18],[53.23232323  8.76767677] ; [116.76767677  19.23232323],0
d4,1,0.600303,0.274538,[51 11] ; [115  20],[52.24365482  9.75634518] ; [113.75634518  21.24365482],0
u2,1,0.615735,0.251908,[7 6] ; [18 11],[7.73809524 5.26190476] ; [17.26190476 11.73809524],0
r2,1,0.687365,0.161953,[60  2] ; [129   6],[59.4822335  2.5177665] ; [129.5177665   5.4822335],0
s6,1,0.690168,0.158903,[45 16] ; [93 38],[43.84375 17.15625] ; [94.15625 36.84375],0
a3,1,0.697128,0.151477,[48 14] ; [107  27],[49.03061224 12.96938776] ; [105.96938776  28.03061224],0
a8,1,0.711398,0.136885,[ 8 45] ; [ 16 107],[ 7.22727273 45.77272727] ; [ 16.77272727 106.22727273],0
n6,1,0.722595,0.12602,[56  6] ; [124  11],[56.64974619  5.35025381] ; [123.35025381  11.64974619],0
s2,1,0.840705,0.040398,[34 26] ; [78 56],[34.63917526 25.36082474] ; [77.36082474 56.63917526],0
