Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000662,11.592404,[33 66] ; [16  6],[40.09090909 58.90909091] ; [ 8.90909091 13.09090909],1
s2,1,0.005896,7.581879,[23 78] ; [11 10],[28.14754098 72.85245902] ; [ 5.85245902 15.14754098],0
s7,1,0.006246,7.478019,[17 77] ; [10 12],[21.87931034 72.12068966] ; [ 5.12068966 16.87931034],0
s3,1,0.022256,5.225673,[39 60] ; [14  7],[43.725 55.275] ; [ 9.275 11.725],0
b5,1,0.032871,4.552481,[58 43] ; [18  4],[62.40650407 38.59349593] ; [13.59349593  8.40650407],0
s5,1,0.039314,4.247238,[15 83] ; [ 7 13],[18.27118644 79.72881356] ; [ 3.72881356 16.27118644],0
a7,1,0.086352,2.941105,[48 52] ; [15  7],[51.63934426 48.36065574] ; [11.36065574 10.63934426],0
n5,1,0.102872,2.660444,[49 51] ; [15  7],[52.45901639 47.54098361] ; [11.54098361 10.45901639],0
n4,1,0.10694,2.59887,[64 36] ; [10 12],[60.6557377 39.3442623] ; [13.3442623  8.6557377],0
p2,1,0.135977,2.222905,[56 45] ; [16  6],[59.12195122 41.87804878] ; [12.87804878  9.12195122],0
p3,1,0.15296,2.042486,[30 71] ; [10 12],[32.84552846 68.15447154] ; [ 7.15447154 14.84552846],0
n1,1,0.154644,2.025838,[17 18] ; [2 7],[15.11363636 19.88636364] ; [3.88636364 5.11363636],0
a8,1,0.168078,1.9,[17 78] ; [ 1 18],[15. 80.] ; [ 3. 16.],0
u3,1,0.168209,1.898829,[21 36] ; [7 5],[23.13043478 33.86956522] ; [4.86956522 7.13043478],0
a5,1,0.184029,1.764782,[43 58] ; [ 6 16],[40.23577236 60.76422764] ; [ 8.76422764 13.23577236],0
d3,1,0.217076,1.523595,[32 69] ; [10 12],[34.48780488 66.51219512] ; [ 7.51219512 14.48780488],0
r1,1,0.298585,1.080503,[62 38] ; [11 11],[59.83606557 40.16393443] ; [13.16393443  8.83606557],0
p4,1,0.306049,1.047649,[30 71] ; [ 9 13],[32.02439024 68.97560976] ; [ 6.97560976 15.02439024],0
v3,1,0.307532,1.041245,[28 69] ; [ 4 18],[26.08403361 70.91596639] ; [ 5.91596639 16.08403361],0
p1,1,0.323626,0.974235,[ 4 95] ; [ 2 20],[ 4.90909091 94.09090909] ; [ 1.09090909 20.90909091],0
v4,1,0.331555,0.942816,[77 23] ; [19  3],[78.68852459 21.31147541] ; [17.31147541  4.68852459],0
d5,1,0.348648,0.878371,[44 57] ; [12 10],[45.98373984 55.01626016] ; [10.01626016 11.98373984],0
s8,1,0.386868,0.748762,[15 84] ; [ 5 17],[16.36363636 82.63636364] ; [ 3.63636364 18.36363636],0
v1,1,0.435385,0.608416,[36 64] ; [ 6 16],[34.42622951 65.57377049] ; [ 7.57377049 14.42622951],0
p7,1,0.546156,0.364249,[48 52] ; [ 9 13],[46.72131148 53.27868852] ; [10.27868852 11.72131148],0
b1,1,0.550521,0.356384,[53 48] ; [10 12],[51.73170732 49.26829268] ; [11.26829268 10.73170732],0
a1,1,0.581706,0.303484,[ 8 93] ; [ 1 21],[ 7.3902439 93.6097561] ; [ 1.6097561 20.3902439],0
b3,1,0.585799,0.296953,[19 43] ; [ 3 10],[18.18666667 43.81333333] ; [3.81333333 9.18666667],0
b2,1,0.585799,0.296953,[19 43] ; [ 3 10],[18.18666667 43.81333333] ; [3.81333333 9.18666667],0
v2,1,0.623951,0.240354,[32 66] ; [ 6 16],[31.03333333 66.96666667] ; [ 6.96666667 15.03333333],0
r4,1,0.671082,0.180339,[69 32] ; [14  8],[68.15447154 32.84552846] ; [14.84552846  7.15447154],0
s1,1,0.673696,0.177309,[ 7 93] ; [ 1 21],[ 6.55737705 93.44262295] ; [ 1.44262295 20.55737705],0
a6,1,0.704125,0.144216,[46 55] ; [11 11],[46.80487805 54.19512195] ; [10.19512195 11.80487805],0
d4,1,0.730537,0.118619,[51 50] ; [12 10],[51.73170732 49.26829268] ; [11.26829268 10.73170732],0
p9,1,0.737092,0.112699,[32 67] ; [ 6 15],[31.35 67.65] ; [ 6.65 14.35],0
u2,1,0.753031,0.099001,[21 34] ; [4 8],[20.52238806 34.47761194] ; [4.47761194 7.52238806],0
