Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.016891,5.707658,[13  5] ; [ 5 11],[9.52941176 8.47058824] ; [8.47058824 7.52941176],0
n5,1,0.027504,4.858873,[ 8 10] ; [13  3],[11.11764706  6.88235294] ; [9.88235294 6.11764706],0
n6,1,0.047852,3.915185,[ 7 11] ; [11  4],[9.81818182 8.18181818] ; [8.18181818 6.81818182],0
s4,1,0.049804,3.848049,[ 1 17] ; [ 5 11],[ 3.17647059 14.82352941] ; [ 2.82352941 13.17647059],0
b1,1,0.183226,1.771266,[13  5] ; [8 8],[11.11764706  6.88235294] ; [9.88235294 6.11764706],0
p8,1,0.188004,1.733193,[8 9] ; [ 4 12],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
s1,1,0.233304,1.420602,[ 1 17] ; [ 3 13],[ 2.11764706 15.88235294] ; [ 1.88235294 14.11764706],0
v2,1,0.248652,1.330864,[ 2 16] ; [ 4 11],[ 3.27272727 14.72727273] ; [ 2.72727273 12.27272727],0
p7,1,0.292428,1.10841,[10  8] ; [ 6 10],[8.47058824 9.52941176] ; [7.52941176 8.47058824],0
s7,1,0.324534,0.970588,[ 2 15] ; [ 4 12],[ 3.09090909 13.90909091] ; [ 2.90909091 13.09090909],0
r1,1,0.33602,0.925556,[ 6 12] ; [ 3 13],[ 4.76470588 13.23529412] ; [ 4.23529412 11.76470588],0
a8,1,0.385284,0.753774,[ 3 14] ; [ 1 13],[ 2.19354839 14.80645161] ; [ 1.80645161 12.19354839],0
a7,1,0.387556,0.746596,[ 7 11] ; [ 4 12],[ 5.82352941 12.17647059] ; [ 5.17647059 10.82352941],0
d3,1,0.387556,0.746596,[ 7 11] ; [ 4 12],[ 5.82352941 12.17647059] ; [ 5.17647059 10.82352941],0
n1,1,0.402388,0.701178,[2 6] ; [4 5],[2.82352941 5.17647059] ; [3.17647059 5.82352941],0
a5,1,0.429402,0.62444,[ 8 10] ; [ 5 11],[ 6.88235294 11.11764706] ; [6.11764706 9.88235294],0
n3,1,0.456605,0.554205,[5 3] ; [4 5],[4.23529412 3.76470588] ; [4.76470588 4.23529412],0
r4,1,0.45794,0.550926,[ 4 14] ; [ 2 14],[ 3.17647059 14.82352941] ; [ 2.82352941 13.17647059],0
a4,1,0.45794,0.550926,[ 4 14] ; [ 2 14],[ 3.17647059 14.82352941] ; [ 2.82352941 13.17647059],0
d4,1,0.463744,0.536842,[9 9] ; [ 6 10],[ 7.94117647 10.05882353] ; [7.05882353 8.94117647],0
p1,1,0.476108,0.507766,[ 1 17] ; [ 2 14],[ 1.58823529 16.41176471] ; [ 1.41176471 14.58823529],0
v3,1,0.476108,0.507766,[ 1 17] ; [ 2 14],[ 1.58823529 16.41176471] ; [ 1.41176471 14.58823529],0
n2,1,0.485845,0.485714,[4 4] ; [6 3],[4.70588235 3.29411765] ; [5.29411765 3.70588235],0
u3,1,0.527089,0.4,[2 7] ; [1 8],[1.5 7.5] ; [1.5 7.5],0
s2,1,0.545285,0.365832,[ 5 13] ; [ 6 10],[ 5.82352941 12.17647059] ; [ 5.17647059 10.82352941],0
b2,1,0.580543,0.305357,[1 6] ; [3 9],[1.47368421 5.52631579] ; [2.52631579 9.47368421],0
b3,1,0.580543,0.305357,[1 6] ; [3 9],[1.47368421 5.52631579] ; [2.52631579 9.47368421],0
p5,1,0.581815,0.303309,[ 2 15] ; [ 1 15],[ 1.54545455 15.45454545] ; [ 1.45454545 14.54545455],0
u2,1,0.628745,0.233766,[4 5] ; [3 6],[3.5 5.5] ; [3.5 5.5],0
p4,1,0.64177,0.216435,[ 7 11] ; [ 5 11],[ 6.35294118 11.64705882] ; [ 5.64705882 10.35294118],0
a6,1,0.64177,0.216435,[ 7 11] ; [ 5 11],[ 6.35294118 11.64705882] ; [ 5.64705882 10.35294118],0
p10,1,0.652605,0.202632,[11  7] ; [8 7],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
v4,1,0.715534,0.132812,[9 9] ; [7 9],[8.47058824 9.52941176] ; [7.52941176 8.47058824],0
b4,1,0.745982,0.104938,[10  8] ; [8 8],[9.52941176 8.47058824] ; [8.47058824 7.52941176],0
p9,1,0.797004,0.066165,[10  8] ; [9 6],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
s6,1,0.799681,0.064394,[ 6 12] ; [ 6 10],[ 6.35294118 11.64705882] ; [ 5.64705882 10.35294118],0
a3,1,0.848698,0.036397,[9 9] ; [7 8],[8.72727273 9.27272727] ; [7.27272727 7.72727273],0
s8,1,0.848846,0.036325,[ 4 14] ; [ 4 12],[ 4.23529412 13.76470588] ; [ 3.76470588 12.23529412],0
s3,1,0.854603,0.03358,[ 5 13] ; [ 4 12],[ 4.76470588 13.23529412] ; [ 4.23529412 11.76470588],0
v1,1,0.854603,0.03358,[ 5 13] ; [ 4 12],[ 4.76470588 13.23529412] ; [ 4.23529412 11.76470588],0
p3,1,0.873628,0.025298,[ 3 15] ; [ 3 13],[ 3.17647059 14.82352941] ; [ 2.82352941 13.17647059],0
d2,1,0.873628,0.025298,[ 3 15] ; [ 3 13],[ 3.17647059 14.82352941] ; [ 2.82352941 13.17647059],0
a1,1,0.900158,0.015741,[ 2 16] ; [ 2 14],[ 2.11764706 15.88235294] ; [ 1.88235294 14.11764706],0
s5,1,0.900158,0.015741,[ 2 16] ; [ 2 14],[ 2.11764706 15.88235294] ; [ 1.88235294 14.11764706],0
p12,1,0.931547,0.007378,[ 1 17] ; [ 1 15],[ 1.05882353 16.94117647] ; [ 0.94117647 15.05882353],0
r3,1,0.948139,0.004231,[11  7] ; [9 6],[10.90909091  7.09090909] ; [9.09090909 5.90909091],0
p2,1,0.967531,0.001657,[10  8] ; [9 7],[10.05882353  7.94117647] ; [8.94117647 7.05882353],0
p11,1,0.967531,0.001657,[10  8] ; [9 7],[10.05882353  7.94117647] ; [8.94117647 7.05882353],0
