Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.022762,5.186609,[ 35 415] ; [2 4],[ 36.51315789 413.48684211] ; [0.48684211 5.51315789],0
v2,1,0.144008,2.134596,[273 164] ; [2 4],[271.27539503 165.72460497] ; [3.72460497 2.27539503],0
v3,1,0.175757,1.833145,[190 239] ; [1 5],[188.36551724 240.63448276] ; [2.63448276 3.36551724],0
p8,1,0.185973,1.749236,[251 194] ; [5 1],[252.59423503 192.40576497] ; [3.40576497 2.59423503],0
a1,1,0.187743,1.735238,[ 22 431] ; [1 5],[ 22.69934641 430.30065359] ; [0.30065359 5.69934641],0
b4,1,0.189171,1.724061,[271 182] ; [2 4],[269.43137255 183.56862745] ; [3.56862745 2.43137255],0
v1,1,0.223492,1.481807,[256 185] ; [2 4],[254.53691275 186.46308725] ; [3.46308725 2.53691275],0
s7,1,0.249148,1.328077,[233 197] ; [4 1],[234.27586207 195.72413793] ; [2.72413793 2.27586207],0
b5,1,0.258945,1.27439,[275 178] ; [5 1],[276.33986928 176.66013072] ; [3.66013072 2.33986928],0
s6,1,0.27105,1.211427,[313 130] ; [3 3],[311.77728285 131.22271715] ; [4.22271715 1.77728285],0
u1,1,0.464971,0.533901,[138 315] ; [1 5],[137.18300654 315.81699346] ; [1.81699346 4.18300654],0
a2,1,0.546662,0.363331,[172 281] ; [3 3],[172.7124183 280.2875817] ; [2.2875817 3.7124183],0
p6,1,0.583917,0.299945,[174 272] ; [3 3],[174.65044248 271.34955752] ; [2.34955752 3.65044248],0
s2,1,0.598566,0.277165,[250 197] ; [4 2],[250.63576159 196.36423841] ; [3.36423841 2.63576159],0
s3,1,0.631137,0.230522,[265 179] ; [3 3],[264.42666667 179.57333333] ; [3.57333333 2.42666667],0
a6,1,0.639076,0.219953,[339 113] ; [5 1],[339.49344978 112.50655022] ; [4.50655022 1.49344978],0
n5,1,0.700942,0.147493,[345 105] ; [5 1],[345.39473684 104.60526316] ; [4.60526316 1.39473684],0
a8,1,0.703373,0.144987,[ 56 343] ; [1 4],[ 56.29455446 342.70544554] ; [0.70544554 4.29455446],0
a4,1,0.722777,0.125848,[269 183] ; [4 2],[269.42358079 182.57641921] ; [3.57641921 2.42358079],0
p5,1,0.732602,0.116736,[ 54 393] ; [1 5],[ 54.27152318 392.72847682] ; [0.72847682 5.27152318],0
n1,1,0.742029,0.108352,[37 59] ; [1 1],[37.2244898 58.7755102] ; [0.7755102 1.2244898],0
p3,1,0.769811,0.085628,[241 210] ; [3 2],[241.3245614 209.6754386] ; [2.6754386 2.3245614],0
a7,1,0.778065,0.079435,[356  97] ; [5 1],[356.28104575  96.71895425] ; [4.71895425 1.28104575],0
s5,1,0.831896,0.045059,[163 271] ; [2 4],[162.75 271.25] ; [2.25 3.75],0
p9,1,0.834395,0.04371,[384  61] ; [5 1],[383.8248337  61.1751663] ; [5.1751663 0.8248337],0
b1,1,0.841487,0.039997,[169 284] ; [2 4],[168.76470588 284.23529412] ; [2.23529412 3.76470588],0
s8,1,0.948015,0.004251,[230 218] ; [3 3],[229.92070485 218.07929515] ; [3.07929515 2.92070485],0
p10,1,0.958442,0.002715,[376  71] ; [5 1],[375.95364238  71.04635762] ; [5.04635762 0.95364238],0
p4,1,0.969595,0.001453,[296 153] ; [4 2],[296.04395604 152.95604396] ; [3.95604396 2.04395604],0
p7,1,0.978101,0.000753,[289 148] ; [4 2],[289.03160271 147.96839729] ; [3.96839729 2.03160271],0
b2,1,0.992497,8.8e-05,[115 174] ; [2 3],[115.01020408 173.98979592] ; [1.98979592 3.01020408],0
b3,1,0.992497,8.8e-05,[115 174] ; [2 3],[115.01020408 173.98979592] ; [1.98979592 3.01020408],0
s4,1,1.0,0.0,[ 74 370] ; [1 5],[ 74. 370.] ; [1. 5.],0
