Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.010075,6.621637,[24 16] ; [24  3],[28.65671642 11.34328358] ; [19.34328358  7.65671642],0
s2,1,0.018218,5.575074,[18 21] ; [21  7],[22.70149254 16.29850746] ; [16.29850746 11.70149254],0
s7,1,0.052079,3.773237,[17 23] ; [18  9],[20.89552239 19.10447761] ; [14.10447761 12.89552239],0
s3,1,0.077428,3.118077,[21 18] ; [21  7],[24.44776119 14.55223881] ; [17.55223881 10.44776119],0
b5,1,0.127515,2.322496,[26 14] ; [13 15],[22.94117647 17.05882353] ; [16.05882353 11.94117647],0
r4,1,0.132716,2.26044,[28 12] ; [24  4],[30.58823529  9.41176471] ; [21.41176471  6.58823529],0
p9,1,0.137005,2.211282,[27 12] ; [23  4],[29.54545455  9.45454545] ; [20.45454545  6.54545455],0
d3,1,0.166715,1.912241,[22 17] ; [11 17],[19.20895522 19.79104478] ; [13.79104478 14.20895522],0
b4,1,0.171376,1.870868,[19 21] ; [18 10],[21.76470588 18.23529412] ; [15.23529412 12.76470588],0
p2,1,0.255085,1.295238,[32  8] ; [19  9],[30. 10.] ; [21.  7.],0
a4,1,0.255085,1.295238,[ 8 32] ; [ 9 19],[10. 30.] ; [ 7. 21.],0
p6,1,0.303567,1.058458,[ 7 32] ; [ 8 20],[ 8.73134328 30.26865672] ; [ 6.26865672 21.73134328],0
r3,1,0.304836,1.05292,[33  6] ; [26  2],[34.34328358  4.65671642] ; [24.65671642  3.34328358],0
r2,1,0.306119,1.047346,[32  8] ; [25  3],[33.52941176  6.47058824] ; [23.47058824  4.52941176],0
v2,1,0.32141,0.983198,[13 27] ; [12 15],[14.92537313 25.07462687] ; [10.07462687 16.92537313],0
a6,1,0.324324,0.971429,[22 18] ; [12 16],[20. 20.] ; [14. 14.],0
s8,1,0.339925,0.910714,[10 30] ; [10 18],[11.76470588 28.23529412] ; [ 8.23529412 19.76470588],0
u1,1,0.358853,0.841905,[ 1 39] ; [ 2 26],[ 1.76470588 38.23529412] ; [ 1.23529412 26.76470588],0
n4,1,0.382629,0.762237,[20 20] ; [17 11],[21.76470588 18.23529412] ; [15.23529412 12.76470588],0
r1,1,0.387065,0.748142,[23 17] ; [19  9],[24.70588235 15.29411765] ; [17.29411765 10.70588235],0
a7,1,0.426616,0.632018,[26 13] ; [16 12],[24.44776119 14.55223881] ; [17.55223881 10.44776119],0
p10,1,0.46222,0.540514,[26 13] ; [21  7],[27.35820896 11.64179104] ; [19.64179104  8.35820896],0
d2,1,0.539295,0.376847,[ 5 35] ; [ 5 23],[ 5.88235294 34.11764706] ; [ 4.11764706 23.88235294],0
d4,1,0.561391,0.337302,[20 20] ; [16 12],[21.17647059 18.82352941] ; [14.82352941 13.17647059],0
d5,1,0.575736,0.313179,[21 18] ; [17 11],[22.11940299 16.88059701] ; [15.88059701 12.11940299],0
n1,1,0.576999,0.311111,[4 8] ; [2 7],[3.42857143 8.57142857] ; [2.57142857 6.42857143],0
a5,1,0.597826,0.278287,[16 24] ; [13 15],[17.05882353 22.94117647] ; [11.94117647 16.05882353],0
n5,1,0.651104,0.204511,[28 12] ; [21  7],[28.82352941 11.17647059] ; [20.17647059  7.82352941],0
p4,1,0.656791,0.197445,[15 25] ; [12 16],[15.88235294 24.11764706] ; [11.11764706 16.88235294],0
n3,1,0.675706,0.175,[9 3] ; [6 3],[8.57142857 3.42857143] ; [6.42857143 2.57142857],0
n6,1,0.689984,0.159103,[29 10] ; [22  6],[29.68656716  9.31343284] ; [21.31343284  6.68656716],0
p1,1,0.711678,0.136607,[ 2 38] ; [ 2 26],[ 2.35294118 37.64705882] ; [ 1.64705882 26.35294118],0
p8,1,0.71751,0.130891,[15 24] ; [12 16],[15.71641791 23.28358209] ; [11.28358209 16.71641791],0
b2,1,0.736692,0.113056,[ 3 22] ; [ 1 11],[ 2.7027027 22.2972973] ; [ 1.2972973 10.7027027],0
b3,1,0.736692,0.113056,[ 3 22] ; [ 1 11],[ 2.7027027 22.2972973] ; [ 1.2972973 10.7027027],0
s1,1,0.761207,0.092353,[ 2 37] ; [ 1 27],[ 1.74626866 37.25373134] ; [ 1.25373134 26.74626866],0
u2,1,0.773753,0.082639,[ 9 11] ; [7 7],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
a8,1,0.792065,0.069501,[ 1 35] ; [ 1 24],[ 1.18032787 34.81967213] ; [ 0.81967213 24.18032787],0
u3,1,0.800205,0.06405,[12  8] ; [9 5],[12.35294118  7.64705882] ; [8.64705882 5.35294118],0
p11,1,0.850693,0.035432,[28 12] ; [19  9],[27.64705882 12.35294118] ; [19.35294118  8.64705882],0
p3,1,0.880525,0.022591,[15 25] ; [10 18],[14.70588235 25.29411765] ; [10.29411765 17.70588235],0
v1,1,0.880832,0.022474,[16 23] ; [12 16],[16.29850746 22.70149254] ; [11.70149254 16.29850746],0
p7,1,0.918157,0.010559,[23 15] ; [16 11],[22.8 15.2] ; [16.2 10.8],0
v3,1,0.927545,0.008269,[ 8 31] ; [ 6 22],[ 8.14925373 30.85074627] ; [ 5.85074627 22.14925373],0
b1,1,0.952756,0.00351,[16 24] ; [11 17],[15.88235294 24.11764706] ; [11.11764706 16.88235294],0
a3,1,1.0,0.0,[20 20] ; [14 14],[20. 20.] ; [14. 14.],0
