Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.631382,[ 20 121] ; [43 58],[ 36.70661157 104.29338843] ; [26.29338843 74.70661157],1
r3,1,9e-06,19.678027,[109  33] ; [100   3],[121.13469388  20.86530612] ; [87.86530612 15.13469388],1
v1,1,2.2e-05,18.012104,[ 37 104] ; [54 48],[52.80246914 88.19753086] ; [38.19753086 63.80246914],1
p11,1,0.000522,12.036297,[81 62] ; [81 23],[93.78947368 49.21052632] ; [68.21052632 35.78947368],1
r1,1,0.00056,11.903156,[79 63] ; [80 24],[91.7804878 50.2195122] ; [67.2195122 36.7804878],1
d4,1,0.000755,11.349481,[95 48] ; [88 15],[106.37804878  36.62195122] ; [76.62195122 26.37804878],1
v4,1,0.001903,9.641099,[114  28] ; [97  6],[122.29387755  19.70612245] ; [88.70612245 14.29387755],0
d3,1,0.002918,8.858214,[68 73] ; [70 34],[79.42040816 61.57959184] ; [58.57959184 45.42040816],0
r4,1,0.003803,8.375431,[98 45] ; [88 16],[107.68421053  35.31578947] ; [78.31578947 25.68421053],0
p10,1,0.009825,6.666355,[76 65] ; [73 31],[85.75102041 55.24897959] ; [63.24897959 40.75102041],0
d1,1,0.014716,5.950169,[52 91] ; [54 50],[61.36842105 81.63157895] ; [44.63157895 59.36842105],0
n6,1,0.015383,5.872117,[94 49] ; [83 21],[102.47368421  40.52631579] ; [74.52631579 29.47368421],0
a7,1,0.017549,5.64065,[84 58] ; [76 27],[92.73469388 49.26530612] ; [67.26530612 35.73469388],0
a3,1,0.0307,4.66966,[75 65] ; [70 34],[83.19672131 56.80327869] ; [61.80327869 42.19672131],0
p7,1,0.037582,4.323841,[49 90] ; [50 53],[56.86363636 82.13636364] ; [42.13636364 60.86363636],0
p3,1,0.04023,4.208162,[ 21 121] ; [26 77],[ 27.24081633 114.75918367] ; [19.75918367 83.24081633],0
d5,1,0.046413,3.966524,[91 51] ; [79 25],[98.1300813 43.8699187] ; [71.8699187 32.1300813],0
p9,1,0.067967,3.331459,[89 50] ; [78 26],[95.52674897 43.47325103] ; [71.47325103 32.52674897],0
r2,1,0.089323,2.886541,[120  21] ; [95  8],[124.24180328  16.75819672] ; [90.75819672 12.24180328],0
a4,1,0.115238,2.480875,[42 99] ; [41 63],[47.76734694 93.23265306] ; [35.23265306 68.76734694],0
a5,1,0.11545,2.477982,[75 68] ; [65 39],[81.05263158 61.94736842] ; [58.94736842 45.05263158],0
b1,1,0.141746,2.158907,[57 86] ; [32 72],[51.52631579 91.47368421] ; [37.47368421 66.52631579],0
n5,1,0.177086,1.821913,[90 53] ; [56 47],[84.8699187 58.1300813] ; [61.1300813 41.8699187],0
s8,1,0.182882,1.774048,[ 15 127] ; [17 87],[ 18.47154472 123.52845528] ; [13.52845528 90.47154472],0
p2,1,0.187823,1.734614,[89 52] ; [74 30],[93.80816327 47.19183673] ; [69.19183673 34.80816327],0
s6,1,0.289226,1.123221,[50 91] ; [43 59],[53.96296296 87.03703704] ; [39.03703704 62.96296296],0
p6,1,0.341473,0.904894,[ 15 126] ; [15 87],[ 17.40740741 123.59259259] ; [12.59259259 89.40740741],0
b4,1,0.365744,0.818074,[84 59] ; [67 37],[87.42105263 55.57894737] ; [63.57894737 40.42105263],0
n3,1,0.380669,0.76854,[32 21] ; [21  9],[33.84337349 19.15662651] ; [19.15662651 10.84337349],0
p1,1,0.381271,0.766599,[  9 132] ; [  4 100],[  7.48163265 133.51836735] ; [ 5.51836735 98.48163265],0
d2,1,0.384536,0.75615,[57 84] ; [36 67],[53.74180328 87.25819672] ; [39.25819672 63.74180328],0
