Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,84.199049,[  9 138] ; [46 27],[ 36.75 110.25] ; [18.25 54.75],1
s6,1,0.0,29.77413,[ 42 107] ; [48 24],[60.67873303 88.32126697] ; [29.32126697 42.67873303],1
s8,1,4.8e-05,16.515356,[ 11 139] ; [20 53],[ 20.85201794 129.14798206] ; [10.14798206 62.85201794],1
p10,1,0.000589,11.80951,[82 65] ; [58 15],[93.54545455 53.45454545] ; [46.45454545 26.54545455],1
p12,1,0.01002,6.631301,[  4 146] ; [ 8 65],[  8.07174888 141.92825112] ; [ 3.92825112 69.07174888],0
p2,1,0.015862,5.818102,[86 64] ; [54 19],[94.17040359 55.82959641] ; [45.82959641 27.17040359],0
r3,1,0.017894,5.606491,[120  28] ; [68  5],[125.90045249  22.09954751] ; [62.09954751 10.90045249],0
p9,1,0.02445,5.062402,[95 52] ; [58 15],[102.23181818  44.76818182] ; [50.76818182 22.23181818],0
r4,1,0.02936,4.74636,[105  45] ; [61 12],[111.65919283  38.34080717] ; [54.34080717 18.65919283],0
r2,1,0.032981,4.546764,[126  23] ; [69  4],[130.87837838  18.12162162] ; [64.12162162  8.87837838],0
n2,1,0.04722,3.937524,[34 22] ; [17  3],[37.57894737 18.42105263] ; [13.42105263  6.57894737],0
d4,1,0.060347,3.527812,[105  44] ; [60 13],[110.74324324  38.25675676] ; [54.25675676 18.74324324],0
s5,1,0.068955,3.30773,[ 20 125] ; [16 51],[ 24.62264151 120.37735849] ; [11.37735849 55.62264151],0
b1,1,0.083753,2.990519,[61 89] ; [21 52],[55.15695067 94.84304933] ; [26.84304933 46.15695067],0
p3,1,0.105682,2.617635,[ 31 119] ; [22 50],[ 35.81081081 114.18918919] ; [17.18918919 54.81081081],0
s4,1,0.121471,2.39825,[ 17 131] ; [14 59],[ 20.760181 127.239819] ; [10.239819 62.760181],0
v1,1,0.141675,2.159673,[51 99] ; [31 39],[55.90909091 94.09090909] ; [26.09090909 43.90909091],0
