Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-05,18.218864,[76 11] ; [18 17],[67.03278689 19.96721311] ; [26.96721311  8.03278689],1
n6,1,0.00219,9.383374,[79  8] ; [24 11],[73.45081967 13.54918033] ; [29.54918033  5.45081967],0
p10,1,0.002535,9.115223,[76 10] ; [22 12],[70.23333333 15.76666667] ; [27.76666667  6.23333333],0
v4,1,0.005956,7.563523,[83  4] ; [27  7],[79.09090909  7.90909091] ; [30.90909091  3.09090909],0
p9,1,0.012575,6.22798,[75 11] ; [23 11],[70.23333333 15.76666667] ; [27.76666667  6.23333333],0
p4,1,0.016538,5.744704,[60 27] ; [16 19],[54.19672131 32.80327869] ; [21.80327869 13.19672131],0
a5,1,0.041133,4.170547,[70 17] ; [22 13],[65.60655738 21.39344262] ; [26.39344262  8.60655738],0
u1,1,0.050424,3.827295,[21 66] ; [ 3 32],[17.1147541 69.8852459] ; [ 6.8852459 28.1147541],0
s8,1,0.053509,3.727947,[51 35] ; [14 21],[46.19834711 39.80165289] ; [18.80165289 16.19834711],0
s4,1,0.060965,3.510941,[ 7 80] ; [ 7 28],[ 9.98360656 77.01639344] ; [ 4.01639344 30.98360656],0
u2,1,0.100993,2.689785,[11  8] ; [8 1],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
a2,1,0.118526,2.436698,[24 63] ; [ 5 30],[20.68032787 66.31967213] ; [ 8.31967213 26.68032787],0
p3,1,0.125395,2.348603,[53 34] ; [16 19],[49.20491803 37.79508197] ; [19.79508197 15.20491803],0
p8,1,0.139917,2.178872,[49 36] ; [15 20],[45.33333333 39.66666667] ; [18.66666667 16.33333333],0
v1,1,0.163955,1.937366,[47 38] ; [14 20],[43.57142857 41.42857143] ; [17.42857143 16.57142857],0
r2,1,0.168107,1.89974,[80  6] ; [28  5],[78.05042017  7.94957983] ; [29.94957983  3.05042017],0
n1,1,0.172773,1.85872,[13 11] ; [4 9],[11.02702703 12.97297297] ; [5.97297297 7.02702703],0
n3,1,0.226765,1.461039,[13 11] ; [9 3],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
a4,1,0.237168,1.397351,[37 49] ; [11 24],[34.11570248 51.88429752] ; [13.88429752 21.11570248],0
p2,1,0.286945,1.1339,[72 15] ; [26  9],[69.8852459 17.1147541] ; [28.1147541  6.8852459],0
u3,1,0.305141,1.051592,[11  8] ; [7 2],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
s5,1,0.306511,1.045648,[18 69] ; [10 24],[20.1322314 66.8677686] ; [ 7.8677686 26.1322314],0
p6,1,0.31436,1.012267,[36 51] ; [10 22],[33.6302521 53.3697479] ; [12.3697479 19.6302521],0
n2,1,0.392416,0.731442,[18  6] ; [8 5],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
b4,1,0.406709,0.688401,[45 42] ; [21 14],[47.06557377 39.93442623] ; [18.93442623 16.06557377],0
b1,1,0.428185,0.627742,[34 53] ; [11 24],[32.09016393 54.90983607] ; [12.90983607 22.09016393],0
s6,1,0.45641,0.554685,[56 31] ; [20 15],[54.19672131 32.80327869] ; [21.80327869 13.19672131],0
s1,1,0.501668,0.451407,[ 1 86] ; [ 1 34],[ 1.42622951 85.57377049] ; [ 0.57377049 34.42622951],0
v2,1,0.512031,0.429915,[48 39] ; [16 17],[46.4 40.6] ; [17.6 15.4],0
r1,1,0.545384,0.365652,[69 18] ; [26  9],[67.74590164 19.25409836] ; [27.25409836  7.74590164],0
a6,1,0.546374,0.363852,[62 25] ; [23 12],[60.6147541 26.3852459] ; [24.3852459 10.6147541],0
a3,1,0.566581,0.328437,[68 18] ; [26  9],[66.80991736 19.19008264] ; [27.19008264  7.80991736],0
v3,1,0.602469,0.271288,[40 47] ; [13 19],[38.74789916 48.25210084] ; [14.25210084 17.74789916],0
r3,1,0.655857,0.198595,[80  7] ; [33  2],[80.58196721  6.41803279] ; [32.41803279  2.58196721],0
p7,1,0.65913,0.194582,[57 28] ; [22 13],[55.95833333 29.04166667] ; [23.04166667 11.95833333],0
b5,1,0.667129,0.184979,[46 41] ; [17 18],[44.92622951 42.07377049] ; [18.07377049 16.92622951],0
p11,1,0.681412,0.16854,[70 17] ; [27  8],[69.17213115 17.82786885] ; [27.82786885  7.17213115],0
a7,1,0.696747,0.151878,[59 28] ; [25 10],[59.90163934 27.09836066] ; [24.09836066 10.90163934],0
d4,1,0.75944,0.093768,[70 17] ; [29  6],[70.59836066 16.40163934] ; [28.40163934  6.59836066],0
r4,1,0.761771,0.091903,[74 13] ; [29  6],[73.45081967 13.54918033] ; [29.54918033  5.45081967],0
d1,1,0.797752,0.065668,[45 42] ; [19 16],[45.63934426 41.36065574] ; [18.36065574 16.63934426],0
d5,1,0.822475,0.050339,[68 19] ; [28  7],[68.45901639 18.54098361] ; [27.54098361  7.45901639],0
s3,1,0.856191,0.032843,[26 60] ; [10 25],[25.58677686 60.41322314] ; [10.41322314 24.58677686],0
d3,1,0.885583,0.020706,[61 26] ; [25 10],[61.32786885 25.67213115] ; [24.67213115 10.32786885],0
b2,1,0.904099,0.014517,[28 37] ; [12 15],[28.26086957 36.73913043] ; [11.73913043 15.26086957],0
b3,1,0.904099,0.014517,[28 37] ; [12 15],[28.26086957 36.73913043] ; [11.73913043 15.26086957],0
a8,1,0.92006,0.010072,[11 63] ; [ 5 27],[11.16981132 62.83018868] ; [ 4.83018868 27.16981132],0
p1,1,0.923761,0.009158,[ 7 80] ; [ 3 32],[ 7.13114754 79.86885246] ; [ 2.86885246 32.13114754],0
d2,1,0.976427,0.000873,[42 45] ; [17 18],[42.07377049 44.92622951] ; [16.92622951 18.07377049],0
p5,1,0.989597,0.00017,[15 72] ; [ 6 29],[14.97540984 72.02459016] ; [ 6.02459016 28.97540984],0
