Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,8e-06,20.014565,[26 38] ; [116  44],[40.57142857 23.42857143] ; [101.42857143  58.57142857],1
p11,1,8.8e-05,15.369304,[30 34] ; [123  43],[42.57391304 21.42608696] ; [110.42608696  55.57391304],1
v4,1,9.4e-05,15.246329,[45 18] ; [151  14],[54.15789474  8.84210526] ; [141.84210526  23.15789474],1
s6,1,0.0001,15.132863,[21 43] ; [99 62],[34.13333333 29.86666667] ; [85.86666667 75.13333333],1
r4,1,0.000154,14.319648,[35 29] ; [132  34],[46.46956522 17.53043478] ; [120.53043478  45.46956522],1
n5,1,0.000223,13.625047,[29 34] ; [119  46],[40.89473684 22.10526316] ; [107.10526316  57.89473684],1
r3,1,0.000424,12.421156,[43 21] ; [144  21],[52.26200873 11.73799127] ; [134.73799127  30.26200873],1
p9,1,0.000605,11.761601,[34 30] ; [123  38],[44.65777778 19.34222222] ; [112.34222222  48.65777778],1
a1,1,0.002344,9.258925,[ 7 57] ; [  3 163],[ 2.7826087 61.2173913] ; [  7.2173913 158.7826087],0
p8,1,0.002499,9.141444,[15 48] ; [75 89],[24.97797357 38.02202643] ; [65.02202643 98.97797357],0
n4,1,0.006999,7.273135,[32 32] ; [114  51],[40.80349345 23.19650655] ; [105.19650655  59.80349345],0
p4,1,0.007911,7.053507,[19 44] ; [82 83],[27.90789474 35.09210526] ; [73.09210526 91.90789474],0
s7,1,0.015955,5.807881,[13 47] ; [62 97],[20.54794521 39.45205479] ; [ 54.45205479 104.54794521],0
s5,1,0.020635,5.357397,[ 8 53] ; [ 45 116],[14.56306306 46.43693694] ; [ 38.43693694 122.56306306],0
s8,1,0.02141,5.293124,[ 9 55] ; [ 47 117],[15.71929825 48.28070175] ; [ 40.28070175 123.71929825],0
p5,1,0.02219,5.230799,[ 1 62] ; [ 18 146],[ 5.27312775 57.72687225] ; [ 13.72687225 150.27312775],0
p2,1,0.047398,3.931191,[41 23] ; [127  38],[46.95196507 17.04803493] ; [121.04803493  43.95196507],0
p7,1,0.052255,3.767588,[25 36] ; [90 72],[31.4573991 29.5426009] ; [83.5426009 78.4573991],0
b1,1,0.0607,3.518146,[35 29] ; [68 98],[28.66086957 35.33913043] ; [74.33913043 91.66086957],0
s2,1,0.06648,3.367853,[18 46] ; [68 97],[24.0349345 39.9650655] ; [ 61.9650655 103.0349345],0
p3,1,0.076245,3.14318,[16 48] ; [ 62 104],[21.70434783 42.29565217] ; [ 56.29565217 109.70434783],0
d5,1,0.100218,2.702072,[26 38] ; [87 78],[31.58078603 32.41921397] ; [81.41921397 83.58078603],0
r2,1,0.108195,2.580385,[49 15] ; [141  24],[53.10043668 10.89956332] ; [136.89956332  28.10043668],0
a5,1,0.128385,2.311919,[26 38] ; [86 80],[31.16521739 32.83478261] ; [80.83478261 85.16521739],0
u2,1,0.14397,2.135004,[20 15] ; [33 45],[16.4159292 18.5840708] ; [36.5840708 41.4159292],0
n3,1,0.157148,2.001462,[12 10] ; [31 12],[14.55384615  7.44615385] ; [28.44615385 14.55384615],0
s1,1,0.208098,1.58461,[ 6 58] ; [  8 155],[ 3.94713656 60.05286344] ; [ 10.05286344 152.94713656],0
b4,1,0.212529,1.554116,[30 34] ; [93 73],[34.22608696 29.77391304] ; [88.77391304 77.22608696],0
u3,1,0.251427,1.315355,[20 15] ; [35 42],[17.1875 17.8125] ; [37.8125 39.1875],0
n1,1,0.272992,1.201649,[ 8 15] ; [21 22],[10.10606061 12.89393939] ; [18.89393939 24.10606061],0
a6,1,0.341914,0.903242,[38 26] ; [87 79],[34.7826087 29.2173913] ; [90.2173913 75.7826087],0
p6,1,0.34249,0.901087,[12 51] ; [ 41 123],[14.7092511 48.2907489] ; [ 38.2907489 125.7092511],0
a3,1,0.343618,0.896884,[29 34] ; [87 77],[32.1938326 30.8061674] ; [83.8061674 80.1938326],0
a7,1,0.344071,0.895204,[34 30] ; [99 66],[37.17030568 26.82969432] ; [95.82969432 69.17030568],0
s3,1,0.345867,0.888562,[33 30] ; [74 89],[29.82743363 33.17256637] ; [77.17256637 85.82743363],0
n2,1,0.398949,0.711492,[15  8] ; [33 11],[16.47761194  6.52238806] ; [31.52238806 12.47761194],0
d2,1,0.454721,0.558859,[14 50] ; [ 29 136],[12.01746725 51.98253275] ; [ 30.98253275 134.01746725],0
a4,1,0.470138,0.521652,[19 45] ; [ 41 123],[16.84210526 47.15789474] ; [ 43.15789474 120.84210526],0
b5,1,0.555286,0.347932,[37 27] ; [103  63],[38.95652174 25.04347826] ; [101.04347826  64.95652174],0
b3,1,0.605088,0.26739,[10 28] ; [29 65],[11.22727273 26.77272727] ; [27.77272727 66.22727273],0
b2,1,0.605088,0.26739,[10 28] ; [29 65],[11.22727273 26.77272727] ; [27.77272727 66.22727273],0
a2,1,0.622524,0.242336,[ 5 59] ; [ 10 156],[ 4.17391304 59.82608696] ; [ 10.82608696 155.17391304],0
p1,1,0.671801,0.179503,[ 5 58] ; [ 16 148],[ 5.82819383 57.17180617] ; [ 15.17180617 148.82819383],0
r1,1,0.692172,0.156745,[35 29] ; [95 70],[36.33187773 27.66812227] ; [93.66812227 71.33187773],0
v3,1,0.754506,0.097784,[10 51] ; [ 30 135],[10.79646018 50.20353982] ; [ 29.20353982 135.79646018],0
d4,1,0.756408,0.096225,[35 29] ; [87 79],[33.94782609 30.05217391] ; [88.05217391 77.94782609],0
s4,1,0.815081,0.054698,[12 52] ; [ 33 131],[12.63157895 51.36842105] ; [ 32.36842105 131.63157895],0
v1,1,0.816566,0.053807,[21 42] ; [ 57 106],[21.74336283 41.25663717] ; [ 56.25663717 106.74336283],0
d3,1,0.820716,0.051358,[22 41] ; [ 55 110],[21.27631579 41.72368421] ; [ 55.72368421 109.27631579],0
u1,1,0.830349,0.045905,[ 1 63] ; [  2 164],[ 0.83478261 63.16521739] ; [  2.16521739 163.83478261],0
a8,1,0.951723,0.003666,[ 9 53] ; [ 23 132],[ 9.14285714 52.85714286] ; [ 22.85714286 132.14285714],0
