Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,42.120905,[58  9] ; [ 8 28],[42.93203883 24.06796117] ; [23.06796117 12.93203883],1
p2,1,4.2e-05,16.790949,[62  5] ; [22 15],[54.11538462 12.88461538] ; [29.88461538  7.11538462],1
n6,1,0.000552,11.931098,[59  8] ; [21 15],[52.03883495 14.96116505] ; [27.96116505  8.03883495],1
s7,1,0.002363,9.244002,[40 19] ; [12 22],[32.98924731 26.01075269] ; [19.01075269 14.98924731],0
r4,1,0.006552,7.39195,[62  5] ; [27 10],[57.33653846  9.66346154] ; [31.66346154  5.33653846],0
p9,1,0.009407,6.743809,[52 15] ; [19 17],[46.18446602 20.81553398] ; [24.81553398 11.18446602],0
p6,1,0.010958,6.472134,[33 33] ; [ 9 28],[26.91262136 39.08737864] ; [15.08737864 21.91262136],0
r1,1,0.024651,5.048272,[55 12] ; [23 14],[50.25 16.75] ; [27.75  9.25],0
s6,1,0.027114,4.883507,[53 10] ; [24 13],[48.51 14.49] ; [28.49  8.51],0
n1,1,0.032509,4.571429,[10  6] ; [ 4 12],[7. 9.] ; [7. 9.],0
p10,1,0.053537,3.727084,[43 24] ; [16 20],[38.37864078 28.62135922] ; [20.62135922 15.37864078],0
s8,1,0.061619,3.493258,[34 32] ; [12 25],[29.47572816 36.52427184] ; [16.52427184 20.47572816],0
u1,1,0.076548,3.136706,[17 50] ; [ 4 33],[13.52884615 53.47115385] ; [ 7.47115385 29.52884615],0
d1,1,0.078243,3.101017,[41 26] ; [16 21],[36.72115385 30.27884615] ; [20.27884615 16.72115385],0
a1,1,0.093045,2.820879,[ 1 66] ; [ 3 34],[ 2.57692308 64.42307692] ; [ 1.42307692 35.57692308],0
r2,1,0.094889,2.789408,[62  4] ; [31  6],[59.59223301  6.40776699] ; [33.40776699  3.59223301],0
d5,1,0.111524,2.532492,[56 11] ; [26 11],[52.82692308 14.17307692] ; [29.17307692  7.82692308],0
