Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000998,10.831731,[29 83] ; [31 30],[38.84393064 73.15606936] ; [21.15606936 39.84393064],1
u1,1,0.006474,7.413476,[  3 111] ; [ 8 53],[  7.16571429 106.83428571] ; [ 3.83428571 57.16571429],0
d5,1,0.006885,7.302722,[68 45] ; [49 12],[75.98275862 37.01724138] ; [41.01724138 19.98275862],0
r3,1,0.010283,6.585247,[95 19] ; [58  2],[100.24137931  13.75862069] ; [52.75862069  7.24137931],0
r1,1,0.011057,6.456158,[61 53] ; [44 16],[68.79310345 45.20689655] ; [36.20689655 23.79310345],0
a5,1,0.011744,6.349162,[52 62] ; [40 21],[59.93142857 54.06857143] ; [32.06857143 28.93142857],0
s6,1,0.029186,4.75662,[50 63] ; [37 23],[56.8265896 56.1734104] ; [30.1734104 29.8265896],0
r2,1,0.043323,4.082745,[91 23] ; [55  5],[95.65517241 18.34482759] ; [50.34482759  9.65517241],0
a3,1,0.055181,3.676606,[57 56] ; [40 21],[62.99425287 50.00574713] ; [34.00574713 26.99425287],0
d1,1,0.089778,2.878344,[41 73] ; [30 31],[46.25142857 67.74857143] ; [24.74857143 36.25142857],0
a6,1,0.123676,2.370141,[61 53] ; [40 21],[65.79428571 48.20571429] ; [35.20571429 25.79428571],0
v4,1,0.147493,2.09799,[98 16] ; [56  4],[100.89655172  13.10344828] ; [53.10344828  6.89655172],0
u2,1,0.148373,2.088895,[29 27] ; [ 7 14],[26.18181818 29.81818182] ; [ 9.81818182 11.18181818],0
a2,1,0.154614,2.026133,[  9 105] ; [ 9 52],[ 11.72571429 102.27428571] ; [ 6.27428571 54.72571429],0
p4,1,0.155841,2.01413,[43 70] ; [30 31],[47.40804598 65.59195402] ; [25.59195402 35.40804598],0
a7,1,0.177469,1.818692,[70 43] ; [44 17],[74.03448276 38.96551724] ; [39.96551724 21.03448276],0
r4,1,0.184588,1.760292,[79 35] ; [48 13],[82.73142857 31.26857143] ; [44.26857143 16.73142857],0
p3,1,0.207799,1.586694,[33 81] ; [23 37],[36.68965517 77.31034483] ; [19.31034483 40.68965517],0
s5,1,0.215857,1.531701,[27 86] ; [19 39],[30.39766082 82.60233918] ; [15.60233918 42.39766082],0
p11,1,0.229874,1.441641,[68 46] ; [42 19],[71.65714286 42.34285714] ; [38.34285714 22.65714286],0
a1,1,0.243723,1.35893,[  6 108] ; [ 1 60],[  4.56 109.44] ; [ 2.44 58.56],0
s2,1,0.262293,1.256616,[42 71] ; [28 33],[45.45977011 67.54022989] ; [24.54022989 36.45977011],0
d4,1,0.276509,1.184171,[79 35] ; [47 14],[82.08 31.92] ; [43.92 17.08],0
s7,1,0.303201,1.060062,[26 81] ; [19 41],[28.83233533 78.16766467] ; [16.16766467 43.83233533],0
p6,1,0.315417,1.007856,[27 86] ; [18 40],[29.73684211 83.26315789] ; [15.26315789 42.73684211],0
s1,1,0.350102,0.873089,[  5 109] ; [ 1 59],[  3.93103448 110.06896552] ; [ 2.06896552 57.93103448],0
p7,1,0.374933,0.787251,[54 55] ; [34 26],[56.75739645 52.24260355] ; [31.24260355 28.75739645],0
a4,1,0.38322,0.760348,[32 82] ; [21 40],[34.52571429 79.47428571] ; [18.47428571 42.52571429],0
d3,1,0.384541,0.756134,[64 48] ; [39 22],[66.68208092 45.31791908] ; [36.31791908 24.68208092],0
n3,1,0.384814,0.755266,[30 18] ; [14  5],[31.52238806 16.47761194] ; [12.47761194  6.52238806],0
p5,1,0.434999,0.609438,[  3 110] ; [ 3 58],[  3.89655172 109.10344828] ; [ 2.10344828 58.89655172],0
a8,1,0.467092,0.528846,[  7 103] ; [ 2 53],[  6. 104.] ; [ 3. 52.],0
p8,1,0.515632,0.422622,[44 69] ; [26 33],[45.98837209 67.01162791] ; [24.01162791 34.98837209],0
n6,1,0.5864,0.296001,[70 44] ; [40 21],[71.65714286 42.34285714] ; [38.34285714 22.65714286],0
b5,1,0.591207,0.288463,[72 42] ; [36 25],[70.35428571 43.64571429] ; [37.64571429 23.35428571],0
s4,1,0.628607,0.233955,[28 86] ; [13 48],[26.70857143 87.29142857] ; [14.29142857 46.70857143],0
p12,1,0.642385,0.215636,[  1 113] ; [ 1 59],[  1.31034483 112.68965517] ; [ 0.68965517 59.31034483],0
n1,1,0.690762,0.158262,[15 33] ; [ 5 14],[14.32835821 33.67164179] ; [ 5.67164179 13.32835821],0
s3,1,0.713999,0.134316,[48 66] ; [27 33],[49.13793103 64.86206897] ; [25.86206897 34.13793103],0
b2,1,0.728687,0.120321,[14 46] ; [ 8 22],[14.66666667 45.33333333] ; [ 7.33333333 22.66666667],0
b3,1,0.728687,0.120321,[14 46] ; [ 8 22],[14.66666667 45.33333333] ; [ 7.33333333 22.66666667],0
p1,1,0.739924,0.110194,[  7 107] ; [ 3 58],[  6.51428571 107.48571429] ; [ 3.48571429 57.51428571],0
n5,1,0.777889,0.079564,[42 71] ; [21 39],[41.15028902 71.84971098] ; [21.84971098 38.15028902],0
b4,1,0.807531,0.059347,[62 52] ; [32 29],[61.23428571 52.76571429] ; [32.76571429 28.23428571],0
d2,1,0.839298,0.041125,[41 73] ; [21 40],[40.38857143 73.61142857] ; [21.61142857 39.38857143],0
s8,1,0.851553,0.03502,[30 83] ; [17 44],[30.52298851 82.47701149] ; [16.47701149 44.52298851],0
b1,1,0.864043,0.02932,[52 62] ; [27 34],[51.46285714 62.53714286] ; [27.53714286 33.46285714],0
p2,1,0.880374,0.022649,[81 33] ; [44 17],[81.42857143 32.57142857] ; [43.57142857 17.42857143],0
n2,1,0.890375,0.018997,[32 16] ; [13  6],[32.23880597 15.76119403] ; [12.76119403  6.23880597],0
p9,1,0.920603,0.009935,[77 35] ; [41 18],[77.28654971 34.71345029] ; [40.71345029 18.28654971],0
p10,1,0.987669,0.000239,[71 42] ; [37 22],[70.95348837 42.04651163] ; [37.04651163 21.95348837],0
u3,1,1.0,0.0,[32 24] ; [12  9],[32. 24.] ; [12.  9.],0
