Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.005036,7.866497,[10 32] ; [14 10],[15.27272727 26.72727273] ; [ 8.72727273 15.27272727],0
p4,1,0.010502,6.547619,[16 26] ; [17  7],[21. 21.] ; [12. 12.],0
d2,1,0.012527,6.234643,[ 6 36] ; [10 14],[10.18181818 31.81818182] ; [ 5.81818182 18.18181818],0
b3,1,0.022962,5.171396,[ 2 24] ; [ 6 11],[ 4.8372093 21.1627907] ; [ 3.1627907 13.8372093],0
b2,1,0.022962,5.171396,[ 2 24] ; [ 6 11],[ 4.8372093 21.1627907] ; [ 3.1627907 13.8372093],0
p7,1,0.077266,3.121501,[23 17] ; [19  5],[26.25 13.75] ; [15.75  8.25],0
u1,1,0.097447,2.746832,[ 1 41] ; [ 3 21],[ 2.54545455 39.45454545] ; [ 1.45454545 22.54545455],0
d1,1,0.097447,2.746832,[ 1 41] ; [ 3 21],[ 2.54545455 39.45454545] ; [ 1.45454545 22.54545455],0
a5,1,0.099483,2.713816,[21 21] ; [17  7],[24.18181818 17.81818182] ; [13.81818182 10.18181818],0
n5,1,0.108998,2.568694,[29 13] ; [20  3],[31.66153846 10.33846154] ; [17.33846154  5.66153846],0
v4,1,0.121098,2.403065,[38  2] ; [20  4],[36.25  3.75] ; [21.75  2.25],0
a3,1,0.134924,2.234921,[20 22] ; [16  8],[22.90909091 19.09090909] ; [13.09090909 10.90909091],0
s4,1,0.184207,1.763353,[15 26] ; [ 5 19],[12.61538462 28.38461538] ; [ 7.38461538 16.61538462],0
a4,1,0.192662,1.697143,[ 8 34] ; [ 8 16],[10.18181818 31.81818182] ; [ 5.81818182 18.18181818],0
p5,1,0.240594,1.377108,[ 3 38] ; [ 4 20],[ 4.41538462 36.58461538] ; [ 2.58461538 21.41538462],0
a2,1,0.253104,1.306089,[ 2 40] ; [ 3 21],[ 3.18181818 38.81818182] ; [ 1.81818182 22.18181818],0
b1,1,0.256163,1.289377,[15 27] ; [12 12],[17.18181818 24.81818182] ; [ 9.81818182 14.18181818],0
p8,1,0.256163,1.289377,[15 27] ; [12 12],[17.18181818 24.81818182] ; [ 9.81818182 14.18181818],0
a6,1,0.258635,1.276047,[22 20] ; [16  8],[24.18181818 17.81818182] ; [13.81818182 10.18181818],0
r2,1,0.274382,1.194707,[40  1] ; [22  2],[39.10769231  1.89230769] ; [22.89230769  1.10769231],0
s1,1,0.280518,1.16458,[ 5 36] ; [ 1 23],[ 3.78461538 37.21538462] ; [ 2.21538462 21.78461538],0
n4,1,0.3351,0.929086,[26 15] ; [18  6],[27.75384615 13.24615385] ; [16.24615385  7.75384615],0
a7,1,0.40124,0.704607,[23 18] ; [16  8],[24.6 16.4] ; [14.4  9.6],0
p2,1,0.455197,0.557679,[29 12] ; [19  5],[30.27692308 10.72307692] ; [17.72307692  6.27692308],0
