Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.093892,2.806339,[ 4 35] ; [1 1],[ 4.75609756 34.24390244] ; [0.24390244 1.75609756],0
p6,1,0.099923,2.706767,[ 4 34] ; [1 1],[ 4.75 33.25] ; [0.25 1.75],0
s5,1,0.204485,1.610052,[ 6 33] ; [1 1],[ 6.65853659 32.34146341] ; [0.34146341 1.65853659],0
v2,1,0.225267,1.4705,[ 6 31] ; [1 1],[ 6.64102564 30.35897436] ; [0.35897436 1.64102564],0
d1,1,0.325805,0.9655,[ 8 31] ; [1 1],[ 8.56097561 30.43902439] ; [0.43902439 1.56097561],0
p8,1,0.325805,0.9655,[ 8 31] ; [1 1],[ 8.56097561 30.43902439] ; [0.43902439 1.56097561],0
v1,1,0.387184,0.747767,[ 9 30] ; [1 1],[ 9.51219512 29.48780488] ; [0.48780488 1.51219512],0
p3,1,0.387184,0.747767,[ 9 30] ; [1 1],[ 9.51219512 29.48780488] ; [0.48780488 1.51219512],0
a4,1,0.402195,0.701754,[ 9 29] ; [1 1],[ 9.5 28.5] ; [0.5 1.5],0
s6,1,0.448271,0.575019,[10 29] ; [1 1],[10.46341463 28.53658537] ; [0.53658537 1.46341463],0
d3,1,0.568668,0.324915,[12 27] ; [1 1],[12.36585366 26.63414634] ; [0.63414634 1.36585366],0
p7,1,0.587734,0.293897,[12 26] ; [1 1],[12.35 25.65] ; [0.65 1.35],0
n4,1,0.627834,0.235009,[26 13] ; [1 1],[25.68292683 13.31707317] ; [1.31707317 0.68292683],0
r1,1,0.627834,0.235009,[13 26] ; [1 1],[13.31707317 25.68292683] ; [0.68292683 1.31707317],0
a6,1,0.686333,0.163083,[14 25] ; [1 1],[14.26829268 24.73170732] ; [0.73170732 1.26829268],0
d2,1,0.707932,0.140351,[14 24] ; [1 1],[14.25 23.75] ; [0.75 1.25],0
r2,1,0.730579,0.118581,[23 14] ; [1 1],[22.76923077 14.23076923] ; [1.23076923 0.76923077],0
b5,1,0.744231,0.106442,[15 24] ; [1 1],[15.2195122 23.7804878] ; [0.7804878 1.2195122],0
b3,1,0.74748,0.103661,[10 16] ; [1 1],[10.21428571 15.78571429] ; [0.78571429 1.21428571],0
b2,1,0.74748,0.103661,[10 16] ; [1 1],[10.21428571 15.78571429] ; [0.78571429 1.21428571],0
a5,1,0.801618,0.063128,[16 23] ; [1 1],[16.17073171 22.82926829] ; [0.82926829 1.17073171],0
n6,1,0.858596,0.031742,[22 17] ; [1 1],[21.87804878 17.12195122] ; [1.12195122 0.87804878],0
a3,1,0.915277,0.011318,[21 18] ; [1 1],[20.92682927 18.07317073] ; [1.07317073 0.92682927],0
d4,1,0.915277,0.011318,[18 21] ; [1 1],[18.07317073 20.92682927] ; [0.92682927 1.07317073],0
v4,1,0.971779,0.001252,[20 19] ; [1 1],[19.97560976 19.02439024] ; [1.02439024 0.97560976],0
