Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.8e-05,18.416385,[45 66] ; [34  9],[56.94155844 54.05844156] ; [22.05844156 20.94155844],1
d4,1,0.001213,10.471127,[65 46] ; [37  6],[73.51948052 37.48051948] ; [28.48051948 14.51948052],0
d1,1,0.003364,8.598574,[34 78] ; [24 19],[41.90967742 70.09032258] ; [16.09032258 26.90967742],0
p3,1,0.005108,7.84096,[24 87] ; [19 24],[30.99350649 80.00649351] ; [12.00649351 30.99350649],0
s2,1,0.006793,7.326872,[38 73] ; [25 18],[45.40909091 65.59090909] ; [17.59090909 25.40909091],0
p12,1,0.008244,6.979787,[  2 110] ; [ 5 38],[  5.05806452 106.94193548] ; [ 1.94193548 41.05806452],0
r4,1,0.011241,6.426881,[67 45] ; [35  8],[73.70322581 38.29677419] ; [28.29677419 14.70322581],0
d2,1,0.013041,6.163565,[45 66] ; [27 16],[51.8961039 59.1038961] ; [20.1038961 22.8961039],0
b4,1,0.017058,5.690353,[57 55] ; [31 12],[63.58709677 48.41290323] ; [24.41290323 18.58709677],0
d5,1,0.018953,5.505871,[66 46] ; [34  9],[72.25806452 39.74193548] ; [27.74193548 15.25806452],0
a2,1,0.019842,5.425751,[  7 105] ; [ 8 35],[ 10.83870968 101.16129032] ; [ 4.16129032 38.83870968],0
a5,1,0.023181,5.154866,[61 51] ; [32 11],[67.2 44.8] ; [25.8 17.2],0
v4,1,0.034981,4.446101,[83 27] ; [39  4],[87.7124183 22.2875817] ; [34.2875817  8.7124183],0
s8,1,0.039662,4.232266,[28 84] ; [18 25],[33.23870968 78.76129032] ; [12.76129032 30.23870968],0
r2,1,0.052511,3.759417,[89 22] ; [40  3],[92.98051948 18.01948052] ; [36.01948052  6.98051948],0
s7,1,0.053868,3.71677,[38 67] ; [22 19],[43.15068493 61.84931507] ; [16.84931507 24.15068493],0
s4,1,0.058481,3.579959,[13 99] ; [10 32],[16.72727273 95.27272727] ; [ 6.27272727 35.72727273],0
r1,1,0.059144,3.561226,[65 47] ; [32 11],[70.09032258 41.90967742] ; [26.90967742 16.09032258],0
r3,1,0.068631,3.315455,[84 28] ; [38  5],[88.15483871 23.84516129] ; [33.84516129  9.15483871],0
n6,1,0.08351,2.995238,[74 37] ; [34  8],[78.35294118 32.64705882] ; [29.64705882 12.35294118],0
p1,1,0.104079,2.641894,[  5 107] ; [ 5 38],[  7.22580645 104.77419355] ; [ 2.77419355 40.22580645],0
v2,1,0.104955,2.628595,[34 71] ; [20 23],[38.31081081 66.68918919] ; [15.68918919 27.31081081],0
s3,1,0.105961,2.613451,[51 60] ; [26 17],[55.5 55.5] ; [21.5 21.5],0
a3,1,0.110029,2.553803,[73 39] ; [33  9],[77.09090909 34.90909091] ; [28.90909091 13.09090909],0
p5,1,0.114785,2.487071,[  5 104] ; [ 5 38],[  7.17105263 101.82894737] ; [ 2.82894737 40.17105263],0
u3,1,0.122576,2.384094,[13 26] ; [6 4],[15.12244898 23.87755102] ; [3.87755102 6.12244898],0
n2,1,0.145339,2.120503,[33 16] ; [13  2],[35.21875 13.78125] ; [10.78125  4.21875],0
p10,1,0.19747,1.660989,[59 51] ; [28 15],[62.54901961 47.45098039] ; [24.45098039 18.54901961],0
v3,1,0.198379,1.654267,[34 72] ; [ 9 33],[30.7972973 75.2027027] ; [12.2027027 29.7972973],0
p9,1,0.217649,1.519804,[67 42] ; [31 12],[70.27631579 38.72368421] ; [27.72368421 15.27631579],0
p7,1,0.245398,1.349312,[42 67] ; [21 22],[45.17763158 63.82236842] ; [17.82236842 25.17763158],0
d3,1,0.280723,1.163586,[39 73] ; [19 24],[41.90967742 70.09032258] ; [16.09032258 26.90967742],0
p2,1,0.291626,1.112101,[64 46] ; [29 14],[66.8627451 43.1372549] ; [26.1372549 16.8627451],0
a8,1,0.310482,1.028625,[10 93] ; [ 2 41],[ 8.46575342 94.53424658] ; [ 3.53424658 39.46575342],0
b1,1,0.313704,1.015015,[57 55] ; [18 25],[54.19354839 57.80645161] ; [20.80645161 22.19354839],0
p6,1,0.349058,0.87688,[16 93] ; [ 9 34],[17.92763158 91.07236842] ; [ 7.07236842 35.92763158],0
b5,1,0.396856,0.717831,[58 54] ; [19 24],[55.63870968 56.36129032] ; [21.36129032 21.63870968],0
p4,1,0.434124,0.611766,[34 77] ; [16 27],[36.03896104 74.96103896] ; [13.96103896 29.03896104],0
a4,1,0.462964,0.538718,[44 66] ; [20 23],[46.0130719 63.9869281] ; [17.9869281 25.0130719],0
p11,1,0.519477,0.414932,[72 40] ; [30 13],[73.70322581 38.29677419] ; [28.29677419 14.70322581],0
u2,1,0.529846,0.394687,[13 26] ; [4 5],[13.8125 25.1875] ; [3.1875 5.8125],0
a6,1,0.608884,0.261804,[47 65] ; [20 23],[48.41290323 63.58709677] ; [18.58709677 24.41290323],0
n4,1,0.669999,0.181604,[76 36] ; [30 12],[77.09090909 34.90909091] ; [28.90909091 13.09090909],0
n3,1,0.674584,0.176286,[31 16] ; [9 6],[30.32258065 16.67741935] ; [9.67741935 5.32258065],0
v1,1,0.690479,0.158567,[47 63] ; [19 22],[48.0794702 61.9205298] ; [17.9205298 23.0794702],0
a1,1,0.694692,0.154053,[ 10 102] ; [ 3 40],[  9.39354839 102.60645161] ; [ 3.60645161 39.39354839],0
s1,1,0.719069,0.129387,[  6 104] ; [ 3 40],[  6.47058824 103.52941176] ; [ 2.52941176 40.47058824],0
n1,1,0.861837,0.030288,[18 30] ; [6 9],[18.28571429 29.71428571] ; [5.71428571 9.28571429],0
