Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.3e-05,17.24606,[ 54 102] ; [34 16],[66.6407767 89.3592233] ; [21.3592233 28.6407767],1
s6,1,0.000264,13.311839,[81 74] ; [40  9],[91.93627451 63.06372549] ; [29.06372549 19.93627451],1
s7,1,0.003138,8.725601,[ 46 105] ; [25 21],[54.4213198 96.5786802] ; [16.5786802 29.4213198],0
s3,1,0.016106,5.79121,[71 82] ; [33 17],[78.38423645 74.61576355] ; [25.61576355 24.38423645],0
p5,1,0.01987,5.423301,[ 11 145] ; [ 9 40],[ 15.2195122 140.7804878] ; [ 4.7804878 44.2195122],0
s4,1,0.026522,4.921637,[ 18 137] ; [12 37],[ 22.79411765 132.20588235] ; [ 7.20588235 41.79411765],0
p1,1,0.027382,4.866562,[ 10 147] ; [ 8 40],[ 13.78536585 143.21463415] ; [ 4.21463415 43.78536585],0
b5,1,0.039758,4.228174,[101  56] ; [24 26],[94.80676329 62.19323671] ; [30.19323671 19.80676329],0
u1,1,0.058003,3.593578,[  2 155] ; [ 3 47],[  3.79227053 153.20772947] ; [ 1.20772947 48.79227053],0
b2,1,0.059345,3.555588,[24 61] ; [ 3 25],[20.30973451 64.69026549] ; [ 6.69026549 21.30973451],0
b3,1,0.059345,3.555588,[24 61] ; [ 3 25],[20.30973451 64.69026549] ; [ 6.69026549 21.30973451],0
r1,1,0.062002,3.483,[96 60] ; [38 12],[101.47572816  54.52427184] ; [32.52427184 17.47572816],0
p9,1,0.084297,2.980048,[109  45] ; [40  8],[113.59405941  40.40594059] ; [35.40594059 12.59405941],0
n1,1,0.092389,2.832244,[11 28] ; [7 6],[13.5 25.5] ; [4.5 8.5],0
v4,1,0.105823,2.615521,[143  14] ; [48  1],[145.56796117  11.43203883] ; [45.43203883  3.56796117],0
n2,1,0.111746,2.529352,[23 15] ; [11  2],[25.33333333 12.66666667] ; [8.66666667 4.33333333],0
p10,1,0.125499,2.347313,[105  49] ; [39 10],[109.24137931  44.75862069] ; [34.75862069 14.24137931],0
u3,1,0.136367,2.218487,[40 45] ; [16  9],[43.27272727 41.72727273] ; [12.72727273 12.27272727],0
s1,1,0.13947,2.183801,[  5 151] ; [ 4 45],[  6.84878049 149.15121951] ; [ 2.15121951 46.84878049],0
r4,1,0.159125,1.982526,[128  29] ; [45  5],[131.21256039  25.78743961] ; [41.78743961  8.21256039],0
p8,1,0.173363,1.853615,[64 92] ; [26 24],[68.15533981 87.84466019] ; [21.84466019 28.15533981],0
r2,1,0.182654,1.775894,[136  20] ; [47  3],[138.58252427  17.41747573] ; [44.41747573  5.58252427],0
p2,1,0.185887,1.749921,[117  40] ; [41  8],[120.41747573  36.58252427] ; [37.58252427 11.41747573],0
p6,1,0.206129,1.598411,[ 42 112] ; [18 31],[ 45.51724138 108.48275862] ; [14.48275862 34.51724138],0
b4,1,0.235521,1.407207,[92 65] ; [34 16],[95.56521739 61.43478261] ; [30.43478261 19.56521739],0
p4,1,0.240184,1.379515,[72 83] ; [28 22],[75.6097561 79.3902439] ; [24.3902439 25.6097561],0
p11,1,0.260374,1.266767,[113  44] ; [40 10],[116.04347826  40.95652174] ; [36.95652174 13.04347826],0
a4,1,0.293188,1.104924,[ 27 129] ; [12 38],[ 29.53398058 126.46601942] ; [ 9.46601942 40.53398058],0
a8,1,0.29396,1.101396,[ 17 128] ; [ 8 37],[ 19.07894737 125.92105263] ; [ 5.92105263 39.07894737],0
p12,1,0.33633,0.924371,[  7 149] ; [ 4 46],[  8.33009709 147.66990291] ; [ 2.66990291 47.33009709],0
d5,1,0.355691,0.853049,[98 58] ; [35 15],[100.7184466  55.2815534] ; [32.2815534 17.7184466],0
n3,1,0.393438,0.728291,[25 14] ; [10  3],[26.25 12.75] ; [8.75 4.25],0
d4,1,0.402883,0.699704,[102  55] ; [35 14],[104.41262136  52.58737864] ; [32.58737864 16.41262136],0
r3,1,0.403349,0.698319,[145  12] ; [46  2],[146.27804878  10.72195122] ; [44.72195122  3.27804878],0
p3,1,0.417867,0.656306,[59 98] ; [22 28],[61.43478261 95.56521739] ; [19.56521739 30.43478261],0
s8,1,0.421076,0.647311,[ 47 110] ; [18 32],[ 49.29951691 107.70048309] ; [15.70048309 34.29951691],0
a3,1,0.523877,0.406254,[71 84] ; [25 24],[72.94117647 82.05882353] ; [23.05882353 25.94117647],0
p7,1,0.526935,0.400298,[87 67] ; [29 18],[88.87562189 65.12437811] ; [27.12437811 19.87562189],0
u2,1,0.598251,0.277642,[42 42] ; [11 14],[40.8440367 43.1559633] ; [12.1559633 12.8440367],0
v3,1,0.627123,0.235982,[55 99] ; [19 29],[56.41584158 97.58415842] ; [17.58415842 30.41584158],0
b1,1,0.64602,0.210955,[ 51 106] ; [18 32],[ 52.33333333 104.66666667] ; [16.66666667 33.33333333],0
n4,1,0.668811,0.182996,[108  48] ; [33 17],[106.77669903  49.22330097] ; [34.22330097 15.77669903],0
v2,1,0.673807,0.177181,[69 80] ; [21 28],[67.72727273 81.27272727] ; [22.27272727 26.72727273],0
a1,1,0.70829,0.139991,[  2 155] ; [ 1 49],[  2.27536232 154.72463768] ; [ 0.72463768 49.27536232],0
d2,1,0.711353,0.13693,[ 36 121] ; [10 39],[ 35.05825243 121.94174757] ; [10.94174757 38.05825243],0
d1,1,0.80639,0.060067,[ 50 107] ; [15 35],[ 49.29951691 107.70048309] ; [15.70048309 34.29951691],0
a7,1,0.816713,0.05372,[104  51] ; [32 17],[103.33333333  51.66666667] ; [32.66666667 16.33333333],0
v1,1,0.835431,0.043156,[63 90] ; [21 28],[63.62376238 89.37623762] ; [20.37623762 28.62376238],0
n5,1,0.840374,0.040568,[110  46] ; [36 14],[110.5631068  45.4368932] ; [35.4368932 14.5631068],0
d3,1,0.91407,0.011644,[86 70] ; [28 22],[86.33009709 69.66990291] ; [27.66990291 22.33009709],0
a6,1,0.977448,0.000799,[75 82] ; [24 26],[75.08695652 81.91304348] ; [23.91304348 26.08695652],0
