Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,33.554273,[63 27] ; [235  16],[78.65102639 11.34897361] ; [219.34897361  31.65102639],1
p9,1,0.0,31.173115,[41 43] ; [203  50],[60.8189911 23.1810089] ; [183.1810089  69.8189911],1
r3,1,0.0,29.756378,[64 26] ; [236  17],[78.71720117 11.28279883] ; [221.28279883  31.71720117],1
p10,1,0.0,27.572829,[40 47] ; [193  60],[59.62058824 27.37941176] ; [173.37941176  79.62058824],1
p11,1,0.0,25.828607,[43 47] ; [196  60],[62.16763006 27.83236994] ; [176.83236994  79.16763006],1
p7,1,0.0,25.640495,[21 66] ; [138 110],[41.29253731 45.70746269] ; [117.70746269 130.29253731],1
r4,1,4e-06,21.255981,[53 37] ; [212  44],[68.93063584 21.06936416] ; [196.06936416  59.93063584],1
n6,1,3.8e-05,16.990115,[52 38] ; [203  51],[66.71511628 23.28488372] ; [188.28488372  65.71511628],1
p8,1,4.5e-05,16.648336,[14 75] ; [ 99 152],[29.57941176 59.42058824] ; [ 83.42058824 167.57941176],1
s6,1,0.000103,15.081085,[32 55] ; [155 100],[47.57017544 39.42982456] ; [139.42982456 115.57017544],1
p6,1,0.000148,14.39852,[ 7 81] ; [ 70 184],[19.8128655 68.1871345] ; [ 57.1871345 196.8128655],1
a7,1,0.000722,11.432353,[47 43] ; [183  72],[60. 30.] ; [170.  85.],1
p4,1,0.001084,10.678946,[17 72] ; [ 97 158],[29.49418605 59.50581395] ; [ 84.50581395 170.49418605],0
r2,1,0.00134,10.286122,[67 20] ; [227  24],[75.67455621 11.32544379] ; [218.32544379  32.67455621],0
r1,1,0.002375,9.234478,[52 38] ; [190  64],[63.31395349 26.68604651] ; [178.68604651  75.31395349],0
b1,1,0.003253,8.659807,[46 44] ; [ 86 170],[34.33526012 55.66473988] ; [ 97.66473988 158.33526012],0
a1,1,0.009386,6.747936,[ 7 83] ; [  5 251],[ 3.12138728 86.87861272] ; [  8.87861272 247.12138728],0
s7,1,0.016674,5.730344,[21 65] ; [ 96 152],[30.1257485 55.8742515] ; [ 86.8742515 161.1257485],0
n4,1,0.022515,5.205573,[49 41] ; [173  82],[57.91304348 32.08695652] ; [164.08695652  90.91304348],0
v1,1,0.026638,4.91413,[24 65] ; [100 149],[32.65088757 56.34911243] ; [ 91.34911243 157.65088757],0
d3,1,0.029207,4.755342,[46 44] ; [163  91],[54.68023256 35.31976744] ; [154.31976744  99.68023256],0
a6,1,0.034237,4.482819,[47 43] ; [166  90],[55.40462428 34.59537572] ; [157.59537572  98.40462428],0
s3,1,0.060456,3.524831,[35 53] ; [131 124],[42.58892128 45.41107872] ; [123.41107872 131.58892128],0
n5,1,0.065307,3.39721,[51 38] ; [173  81],[58.12244898 30.87755102] ; [165.87755102  88.12244898],0
s2,1,0.066453,3.368536,[28 61] ; [108 146],[35.28862974 53.71137026] ; [100.71137026 153.28862974],0
d2,1,0.081597,3.032807,[42 47] ; [ 94 162],[35.08405797 53.91594203] ; [100.91594203 155.08405797],0
s8,1,0.086542,2.937541,[19 70] ; [ 79 177],[25.28115942 63.71884058] ; [ 72.71884058 183.28115942],0
n2,1,0.088516,2.901152,[26 17] ; [58 19],[30.1 12.9] ; [53.9 23.1],0
d5,1,0.110052,2.553469,[58 32] ; [187  68],[63.91304348 26.08695652] ; [181.08695652  73.91304348],0
a4,1,0.127668,2.320634,[38 50] ; [ 87 168],[32.06997085 55.93002915] ; [ 92.93002915 162.06997085],0
a8,1,0.153287,2.039236,[ 8 80] ; [ 36 201],[11.91384615 76.08615385] ; [ 32.08615385 204.91384615],0
n1,1,0.163943,1.937474,[20 22] ; [27 51],[16.45 25.55] ; [30.55 47.45],0
s5,1,0.187621,1.736201,[16 69] ; [ 65 186],[20.49107143 64.50892857] ; [ 60.50892857 190.49107143],0
a5,1,0.21979,1.505743,[50 40] ; [161  95],[54.88439306 35.11560694] ; [156.11560694  99.88439306],0
u4,1,0.271333,1.209995,[ 2 88] ; [  2 254],[ 1.04046243 88.95953757] ; [  2.95953757 253.04046243],0
u2,1,0.272708,1.203076,[16 22] ; [50 45],[18.85714286 19.14285714] ; [47.14285714 47.85714286],0
s1,1,0.304207,1.055659,[ 5 84] ; [  8 243],[ 3.40294118 85.59705882] ; [  9.59705882 241.40294118],0
u3,1,0.315221,1.008674,[17 22] ; [51 45],[19.64444444 19.35555556] ; [48.35555556 47.64444444],0
