Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,42.003194,[ 8 89] ; [22 14],[21.87969925 75.12030075] ; [ 8.12030075 27.87969925],1
s6,1,0.00024,13.485584,[38 59] ; [27  9],[47.40601504 49.59398496] ; [17.59398496 18.40601504],1
p3,1,0.001316,10.319558,[15 82] ; [15 21],[21.87969925 75.12030075] ; [ 8.12030075 27.87969925],0
s2,1,0.001527,10.04547,[30 67] ; [22 14],[37.92481203 59.07518797] ; [14.07518797 21.92481203],0
d5,1,0.002703,8.998077,[60 37] ; [32  4],[67.09774436 29.90225564] ; [24.90225564 11.09774436],0
b3,1,0.002817,8.922361,[ 7 38] ; [11 11],[12.08955224 32.91044776] ; [ 5.91044776 16.08955224],0
b2,1,0.002817,8.922361,[ 7 38] ; [11 11],[12.08955224 32.91044776] ; [ 5.91044776 16.08955224],0
d2,1,0.005672,7.651598,[29 69] ; [20 16],[35.8358209 62.1641791] ; [13.1641791 22.8358209],0
s3,1,0.005752,7.626353,[36 61] ; [23 13],[43.03007519 53.96992481] ; [15.96992481 20.03007519],0
a3,1,0.006311,7.459171,[53 44] ; [29  7],[59.80451128 37.19548872] ; [22.19548872 13.80451128],0
p4,1,0.008614,6.901139,[23 74] ; [17 19],[29.17293233 67.82706767] ; [10.82706767 25.17293233],0
n1,1,0.009084,6.80625,[ 8 41] ; [7 7],[11.66666667 37.33333333] ; [ 3.33333333 10.66666667],0
a2,1,0.011389,6.403608,[10 88] ; [10 26],[14.62686567 83.37313433] ; [ 5.37313433 30.62686567],0
a8,1,0.01736,5.659651,[ 3 94] ; [ 5 30],[ 5.87878788 91.12121212] ; [ 2.12121212 32.87878788],0
p10,1,0.019818,5.427852,[54 43] ; [28  8],[59.80451128 37.19548872] ; [22.19548872 13.80451128],0
r4,1,0.021475,5.28779,[68 30] ; [32  4],[73.13432836 24.86567164] ; [26.86567164  9.13432836],0
a4,1,0.022945,5.172638,[26 72] ; [17 19],[31.44776119 66.55223881] ; [11.55223881 24.44776119],0
s5,1,0.057076,3.620371,[20 76] ; [13 22],[24.18320611 71.81679389] ; [ 8.81679389 26.18320611],0
a5,1,0.060773,3.516171,[42 56] ; [22 14],[46.80597015 51.19402985] ; [17.19402985 18.80597015],0
p1,1,0.063406,3.445967,[ 3 95] ; [ 4 32],[ 5.11940299 92.88059701] ; [ 1.88059701 34.11940299],0
v1,1,0.063564,3.441857,[34 63] ; [19 17],[38.65413534 58.34586466] ; [14.34586466 21.65413534],0
u2,1,0.081723,3.030303,[20 24] ; [5 1],[22. 22.] ; [3. 3.],0
p6,1,0.096132,2.768571,[11 86] ; [ 8 27],[13.96212121 83.03787879] ; [ 5.03787879 29.96212121],0
u1,1,0.098726,2.726001,[ 7 91] ; [ 6 30],[ 9.50746269 88.49253731] ; [ 3.49253731 32.50746269],0
p7,1,0.110737,2.543677,[32 64] ; [17 18],[35.90839695 60.09160305] ; [13.09160305 21.90839695],0
a6,1,0.137345,2.207452,[57 41] ; [26 10],[60.70149254 37.29850746] ; [22.29850746 13.70149254],0
a7,1,0.156776,2.005052,[60 37] ; [27  9],[63.45112782 33.54887218] ; [23.54887218 12.45112782],0
r2,1,0.162026,1.955217,[83 14] ; [34  2],[85.33082707 11.66917293] ; [31.66917293  4.33082707],0
b1,1,0.201513,1.631375,[37 61] ; [18 18],[40.2238806 57.7761194] ; [14.7761194 21.2238806],0
b4,1,0.228932,1.447484,[54 44] ; [24 12],[57.04477612 40.95522388] ; [20.95522388 15.04477612],0
v4,1,0.232739,1.424041,[90  7] ; [31  5],[88.2481203  8.7518797] ; [32.7518797  3.2481203],0
p9,1,0.263501,1.250268,[65 32] ; [27  8],[67.60606061 29.39393939] ; [24.39393939 10.60606061],0
s4,1,0.272021,1.206529,[21 77] ; [11 25],[23.40298507 74.59701493] ; [ 8.59701493 27.40298507],0
p5,1,0.274721,1.193023,[ 2 96] ; [ 2 33],[ 2.94736842 95.05263158] ; [ 1.05263158 33.94736842],0
v2,1,0.303282,1.059705,[39 56] ; [16 15],[41.46825397 53.53174603] ; [13.53174603 17.46825397],0
v3,1,0.329964,0.94904,[20 77] ; [ 9 22],[21.9765625 75.0234375] ; [ 7.0234375 23.9765625],0
b5,1,0.378281,0.776281,[60 38] ; [19 17],[57.7761194 40.2238806] ; [21.2238806 14.7761194],0
d1,1,0.378281,0.776281,[38 60] ; [17 19],[40.2238806 57.7761194] ; [14.7761194 21.2238806],0
n2,1,0.530335,0.39375,[33 15] ; [9 6],[32. 16.] ; [10.  5.],0
r3,1,0.627683,0.235216,[87 11] ; [33  3],[87.76119403 10.23880597] ; [32.23880597  3.76119403],0
p2,1,0.653481,0.201539,[64 34] ; [22 14],[62.89552239 35.10447761] ; [23.10447761 12.89552239],0
r1,1,0.686725,0.162654,[61 36] ; [24 12],[61.9924812 35.0075188] ; [23.0075188 12.9924812],0
p11,1,0.818899,0.052423,[55 43] ; [21 15],[55.58208955 42.41791045] ; [20.41791045 15.58208955],0
n3,1,0.830324,0.045918,[33 16] ; [9 5],[32.66666667 16.33333333] ; [9.33333333 4.66666667],0
n5,1,0.86585,0.028538,[32 65] ; [11 24],[31.59848485 65.40151515] ; [11.40151515 23.59848485],0
n6,1,0.878881,0.023222,[64 34] ; [23 13],[63.62686567 34.37313433] ; [23.37313433 12.62686567],0
d3,1,0.914118,0.011631,[55 41] ; [21 15],[55.27272727 40.72727273] ; [20.72727273 15.27272727],0
d4,1,0.952027,0.003619,[73 25] ; [27  9],[73.13432836 24.86567164] ; [26.86567164  9.13432836],0
