Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.5e-05,17.758234,[197  58] ; [17 21],[186.24573379  68.75426621] ; [27.75426621 10.24573379],1
r1,1,0.000523,12.031221,[226  36] ; [25 14],[218.47840532  43.52159468] ; [32.52159468  6.47840532],1
s6,1,0.002786,8.942857,[230  28] ; [28 11],[224.12121212  33.87878788] ; [33.87878788  5.12121212],0
s8,1,0.00417,8.208308,[176  86] ; [17 22],[167.99335548  94.00664452] ; [25.00664452 13.99335548],0
p9,1,0.012727,6.206615,[237  25] ; [30  9],[232.40531561  29.59468439] ; [34.59468439  4.40531561],0
n3,1,0.02626,4.938841,[37 10] ; [5 6],[34.03448276 12.96551724] ; [7.96551724 3.03448276],0
r3,1,0.036746,4.362123,[256   5] ; [36  3],[254.04   6.96] ; [37.96  1.04],0
s5,1,0.042296,4.12331,[135 118] ; [14 25],[129.09931507 123.90068493] ; [19.90068493 19.09931507],0
r2,1,0.053241,3.736327,[250   9] ; [35  4],[247.70134228  11.29865772] ; [37.29865772  1.70134228],0
n2,1,0.067727,3.337263,[40  6] ; [7 4],[37.92982456  8.07017544] ; [9.07017544 1.92982456],0
p12,1,0.07283,3.21805,[ 32 231] ; [ 1 38],[ 28.7384106 234.2615894] ; [ 4.2615894 34.7384106],0
v3,1,0.073237,3.208936,[117 137] ; [12 27],[111.82935154 142.17064846] ; [17.17064846 21.82935154],0
p11,1,0.083137,3.002478,[219  44] ; [28 11],[215.10264901  47.89735099] ; [31.89735099  7.10264901],0
b5,1,0.126099,2.339886,[148 115] ; [27 12],[152.40066225 110.59933775] ; [22.59933775 16.40066225],0
d1,1,0.129939,2.293237,[168  95] ; [20 19],[163.7218543  99.2781457] ; [24.2781457 14.7218543],0
n4,1,0.132549,2.26239,[214  47] ; [28 11],[210.54  50.46] ; [31.46  7.54],0
d2,1,0.158111,1.992203,[132 129] ; [15 24],[127.89 133.11] ; [19.11 19.89],0
n1,1,0.175806,1.832727,[18 27] ; [2 9],[16.07142857 28.92857143] ; [3.92857143 7.07142857],0
n6,1,0.18354,1.768722,[226  32] ; [37  2],[228.46464646  29.53535354] ; [34.53535354  4.46464646],0
p6,1,0.203187,1.619317,[140 123] ; [25 14],[143.69205298 119.30794702] ; [21.30794702 17.69205298],0
d4,1,0.212681,1.553079,[226  34] ; [31  8],[223.47826087  36.52173913] ; [33.52173913  5.47826087],0
b4,1,0.235857,1.405188,[148 115] ; [18 21],[144.56291391 118.43708609] ; [21.43708609 17.56291391],0
r4,1,0.269959,1.216955,[243  20] ; [34  5],[241.22847682  21.77152318] ; [35.77152318  3.22847682],0
b1,1,0.273623,1.198494,[112 151] ; [13 26],[108.85761589 154.14238411] ; [16.14238411 22.85761589],0
d5,1,0.278325,1.17525,[217  43] ; [29  9],[214.63087248  45.36912752] ; [31.36912752  6.63087248],0
p5,1,0.345473,0.890015,[ 42 219] ; [ 4 35],[ 40.02 220.98] ; [ 5.98 33.02],0
a4,1,0.349292,0.876029,[129 134] ; [16 23],[126.27483444 136.72516556] ; [18.72516556 20.27483444],0
p4,1,0.359798,0.8386,[193  69] ; [26 13],[190.62458472  71.37541528] ; [28.37541528 10.62458472],0
p1,1,0.36503,0.820514,[ 25 236] ; [ 2 37],[ 23.49 237.51] ; [ 3.51 35.49],0
