Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.002011,9.53958,[24  9] ; [ 8 17],[18.20689655 14.79310345] ; [13.79310345 11.20689655],0
p4,1,0.004009,8.27956,[19 14] ; [ 5 20],[13.65517241 19.34482759] ; [10.34482759 14.65517241],0
p9,1,0.007597,7.126067,[22 11] ; [ 7 16],[17.08928571 15.91071429] ; [11.91071429 11.08928571],0
v4,1,0.012206,6.280749,[24  9] ; [10 15],[19.34482759 13.65517241] ; [14.65517241 10.34482759],0
p7,1,0.024902,5.030723,[19 14] ; [ 7 18],[14.79310345 18.20689655] ; [11.20689655 13.79310345],0
n6,1,0.029963,4.711406,[22 10] ; [10 15],[17.96491228 14.03508772] ; [14.03508772 10.96491228],0
p6,1,0.046125,3.977038,[ 8 25] ; [ 1 22],[ 5.30357143 27.69642857] ; [ 3.69642857 19.30357143],0
d3,1,0.05314,3.7395,[19 14] ; [ 8 17],[15.36206897 17.63793103] ; [11.63793103 13.36206897],0
s5,1,0.059762,3.543976,[ 7 26] ; [ 1 24],[ 4.55172414 28.44827586] ; [ 3.44827586 21.55172414],0
p8,1,0.064055,3.429144,[13 20] ; [ 4 20],[ 9.84210526 23.15789474] ; [ 7.15789474 16.84210526],0
p3,1,0.064055,3.429144,[13 20] ; [ 4 20],[ 9.84210526 23.15789474] ; [ 7.15789474 16.84210526],0
r3,1,0.066165,3.375677,[23  9] ; [12 13],[19.64912281 12.35087719] ; [15.35087719  9.64912281],0
p10,1,0.091551,2.846892,[17 16] ; [ 7 17],[13.89473684 19.10526316] ; [10.10526316 13.89473684],0
s4,1,0.104867,2.629919,[ 8 25] ; [ 2 23],[ 5.68965517 27.31034483] ; [ 4.31034483 20.68965517],0
a8,1,0.12355,2.371733,[ 2 28] ; [ 5 19],[ 3.88888889 26.11111111] ; [ 3.11111111 20.88888889],0
n1,1,0.180802,1.791019,[ 2 13] ; [3 5],[ 3.26086957 11.73913043] ; [1.73913043 6.26086957],0
s1,1,0.181866,1.782312,[ 1 32] ; [ 3 22],[ 2.27586207 30.72413793] ; [ 1.72413793 23.27586207],0
a2,1,0.181866,1.782312,[ 1 32] ; [ 3 22],[ 2.27586207 30.72413793] ; [ 1.72413793 23.27586207],0
s3,1,0.189496,1.721534,[ 6 27] ; [ 8 16],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
s7,1,0.281397,1.160331,[ 6 24] ; [ 2 20],[ 4.61538462 25.38461538] ; [ 3.38461538 18.61538462],0
p5,1,0.290566,1.116999,[ 6 27] ; [ 2 22],[ 4.63157895 28.36842105] ; [ 3.36842105 20.63157895],0
n2,1,0.303552,1.058523,[9 6] ; [3 5],[7.82608696 7.17391304] ; [4.17391304 3.82608696],0
n3,1,0.303552,1.058523,[9 6] ; [3 5],[7.82608696 7.17391304] ; [4.17391304 3.82608696],0
n4,1,0.30554,1.049859,[19 14] ; [11 14],[17.06896552 15.93103448] ; [12.93103448 12.06896552],0
r4,1,0.30796,1.039403,[ 9 24] ; [ 4 21],[ 7.39655172 25.60344828] ; [ 5.60344828 19.39655172],0
v1,1,0.313499,1.015879,[12 21] ; [ 6 19],[10.24137931 22.75862069] ; [ 7.75862069 17.24137931],0
b4,1,0.383941,0.758046,[16 17] ; [15 10],[17.63793103 15.36206897] ; [13.36206897 11.63793103],0
v3,1,0.423777,0.639817,[ 3 30] ; [ 4 21],[ 3.98275862 29.01724138] ; [ 3.01724138 21.98275862],0
p1,1,0.424809,0.636972,[ 2 31] ; [ 3 22],[ 2.84482759 30.15517241] ; [ 2.15517241 22.84482759],0
p12,1,0.448618,0.574141,[ 3 30] ; [ 1 24],[ 2.27586207 30.72413793] ; [ 1.72413793 23.27586207],0
a5,1,0.469053,0.524207,[14 19] ; [13 12],[15.36206897 17.63793103] ; [11.63793103 13.36206897],0
v2,1,0.491226,0.47384,[13 20] ; [ 7 16],[11.78571429 21.21428571] ; [ 8.21428571 14.78571429],0
b5,1,0.519924,0.414044,[17 16] ; [15 10],[18.20689655 14.79310345] ; [13.79310345 11.20689655],0
b1,1,0.561754,0.336676,[20 13] ; [17  8],[21.05172414 11.94827586] ; [15.94827586  9.05172414],0
d1,1,0.594816,0.282886,[10 23] ; [ 6 19],[ 9.10344828 23.89655172] ; [ 6.89655172 18.10344828],0
a7,1,0.621295,0.244052,[15 18] ; [13 12],[15.93103448 17.06896552] ; [12.06896552 12.93103448],0
