Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,23.012446,[15 55] ; [17  5],[24.34782609 45.65217391] ; [ 7.65217391 14.34782609],1
p8,1,0.003355,8.603686,[15 54] ; [12 10],[20.47252747 48.52747253] ; [ 6.52747253 15.47252747],0
p2,1,0.008142,7.002013,[31 38] ; [17  5],[36.3956044 32.6043956] ; [11.6043956 10.3956044],0
s3,1,0.009611,6.705665,[20 50] ; [12  8],[24.88888889 45.11111111] ; [ 7.11111111 12.88888889],0
p9,1,0.010073,6.621927,[28 40] ; [16  6],[33.24444444 34.75555556] ; [10.75555556 11.24444444],0
p7,1,0.014084,6.027597,[19 49] ; [12  9],[23.68539326 44.31460674] ; [ 7.31460674 13.68539326],0
p6,1,0.014538,5.971666,[ 9 60] ; [ 8 14],[12.89010989 56.10989011] ; [ 4.10989011 17.89010989],0
p10,1,0.024897,5.031056,[30 39] ; [15  6],[34.5 34.5] ; [10.5 10.5],0
s2,1,0.024917,5.029631,[16 55] ; [10 11],[20.06521739 50.93478261] ; [ 5.93478261 15.06521739],0
p11,1,0.033476,4.521247,[30 41] ; [15  7],[34.35483871 36.64516129] ; [10.64516129 11.35483871],0
s6,1,0.03634,4.381093,[17 54] ; [10 11],[20.83695652 50.16304348] ; [ 6.16304348 14.83695652],0
p1,1,0.04051,4.196389,[ 5 65] ; [ 5 17],[ 7.60869565 62.39130435] ; [ 2.39130435 19.60869565],0
a6,1,0.044443,4.03965,[31 40] ; [15  7],[35.11827957 35.88172043] ; [10.88172043 11.11827957],0
n4,1,0.047685,3.92106,[38 33] ; [17  5],[41.98924731 29.01075269] ; [13.01075269  8.98924731],0
p5,1,0.054281,3.704046,[ 2 67] ; [ 3 19],[ 3.79120879 65.20879121] ; [ 1.20879121 20.79120879],0
n6,1,0.057219,3.616203,[37 33] ; [16  5],[40.76923077 29.23076923] ; [12.23076923  8.76923077],0
a5,1,0.10141,2.683227,[31 40] ; [14  8],[34.35483871 36.64516129] ; [10.64516129 11.35483871],0
r3,1,0.103386,2.652518,[32 37] ; [14  7],[35.26666667 33.73333333] ; [10.73333333 10.26666667],0
b3,1,0.153753,2.034614,[17 25] ; [ 3 12],[14.73684211 27.26315789] ; [5.26315789 9.73684211],0
b2,1,0.153753,2.034614,[17 25] ; [ 3 12],[14.73684211 27.26315789] ; [5.26315789 9.73684211],0
s7,1,0.156946,2.003412,[16 51] ; [ 8 12],[18.48275862 48.51724138] ; [ 5.51724138 14.48275862],0
d5,1,0.207504,1.588753,[41 30] ; [16  6],[43.51612903 27.48387097] ; [13.48387097  8.51612903],0
s8,1,0.212097,1.557054,[ 9 62] ; [ 5 16],[10.80434783 60.19565217] ; [ 3.19565217 17.80434783],0
d3,1,0.225279,1.470425,[31 39] ; [13  9],[33.47826087 36.52173913] ; [10.52173913 11.47826087],0
d4,1,0.232893,1.423106,[41 29] ; [16  6],[43.36956522 26.63043478] ; [13.63043478  8.36956522],0
n3,1,0.247621,1.336678,[14 21] ; [5 3],[15.46511628 19.53488372] ; [3.53488372 4.46511628],0
