Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,69.92361,[276  33] ; [24 32],[253.97260274  55.02739726] ; [46.02739726  9.97260274],1
n6,1,0.0,30.27716,[286  22] ; [38 18],[274.15384615  33.84615385] ; [49.84615385  6.15384615],1
s4,1,1.2e-05,19.134499,[ 55 254] ; [25 32],[ 67.54098361 241.45901639] ; [12.45901639 44.54098361],1
a4,1,0.00012,14.798286,[162 148] ; [14 43],[148.66485014 161.33514986] ; [27.33514986 29.66485014],1
a5,1,0.000211,13.732503,[254  57] ; [34 23],[243.39130435  67.60869565] ; [44.60869565 12.39130435],1
d1,1,0.000257,13.357633,[205 106] ; [23 34],[192.68478261 118.31521739] ; [35.31521739 21.68478261],1
a3,1,0.000363,12.71411,[262  47] ; [37 20],[252.43442623  56.56557377] ; [46.56557377 10.43442623],1
d5,1,0.002204,9.371374,[264  46] ; [39 18],[255.9400545  54.0599455] ; [47.0599455  9.9400545],0
r3,1,0.003494,8.529627,[302   8] ; [50  6],[298.1420765  11.8579235] ; [53.8579235  2.1420765],0
p11,1,0.00557,7.684504,[261  50] ; [39 18],[253.5326087  57.4673913] ; [46.4673913 10.5326087],0
a7,1,0.006525,7.399238,[212  99] ; [49  8],[220.57336957  90.42663043] ; [40.42663043 16.57336957],0
d2,1,0.006881,7.303892,[175 136] ; [21 36],[165.64130435 145.35869565] ; [30.35869565 26.64130435],0
r4,1,0.013692,6.077377,[288  23] ; [47 10],[283.11141304  27.88858696] ; [51.88858696  5.11141304],0
p6,1,0.026187,4.943621,[156 151] ; [19 36],[148.41160221 158.58839779] ; [26.58839779 28.41160221],0
r1,1,0.026829,4.90176,[265  45] ; [42 15],[259.31880109  50.68119891] ; [47.68119891  9.31880109],0
s3,1,0.033289,4.530858,[235  72] ; [36 21],[228.56318681  78.43681319] ; [42.43681319 14.56318681],0
v3,1,0.045833,3.987721,[146 158] ; [18 36],[139.26256983 164.73743017] ; [24.73743017 29.26256983],0
p4,1,0.047583,3.924645,[230  80] ; [35 22],[223.84196185  86.15803815] ; [41.15803815 15.84196185],0
r2,1,0.056118,3.648546,[295  10] ; [52  5],[292.36187845  12.63812155] ; [54.63812155  2.36187845],0
s2,1,0.05975,3.544316,[233  77] ; [36 21],[227.22070845  82.77929155] ; [41.77929155 15.22070845],0
p5,1,0.067451,3.343986,[ 58 252] ; [ 5 52],[ 53.21525886 256.78474114] ; [ 9.78474114 47.21525886],0
p3,1,0.069624,3.291867,[192 118] ; [28 29],[185.83106267 124.16893733] ; [34.16893733 22.83106267],0
d4,1,0.071882,3.239506,[268  42] ; [44 13],[263.54223433  46.45776567] ; [48.45776567  8.54223433],0
a8,1,0.08738,2.921986,[ 53 223] ; [ 5 48],[ 48.65653495 227.34346505] ; [ 9.34346505 43.65653495],0
v2,1,0.099894,2.707236,[190 117] ; [27 27],[184.5401662 122.4598338] ; [32.4598338 21.5401662],0
a2,1,0.122409,2.386229,[ 91 220] ; [11 46],[ 86.20108696 224.79891304] ; [15.79891304 41.20108696],0
v4,1,0.139578,2.182601,[301   6] ; [54  3],[299.40934066   7.59065934] ; [55.59065934  1.40934066],0
u2,1,0.149892,2.073351,[29 19] ; [15  4],[31.52238806 16.47761194] ; [12.47761194  6.52238806],0
a1,1,0.161747,1.95782,[ 20 291] ; [ 1 56],[ 17.74728261 293.25271739] ; [ 3.25271739 53.74728261],0
n1,1,0.163393,1.942536,[28 28] ; [ 6 13],[25.38666667 30.61333333] ; [ 8.61333333 10.38666667],0
p12,1,0.207048,1.591945,[ 33 276] ; [ 3 54],[ 30.39344262 278.60655738] ; [ 5.60655738 51.39344262],0
u1,1,0.22009,1.503782,[ 78 233] ; [10 47],[ 74.36956522 236.63043478] ; [13.63043478 43.36956522],0
p9,1,0.326595,0.96235,[283  26] ; [49  7],[281.0630137  27.9369863] ; [50.9369863  5.0630137],0
s5,1,0.329258,0.951814,[140 157] ; [22 33],[136.6875 160.3125] ; [25.3125 29.6875],0
a6,1,0.359533,0.839524,[198 112] ; [40 17],[201.03542234 108.96457766] ; [36.96457766 20.03542234],0
v1,1,0.404699,0.69432,[181 123] ; [30 26],[178.17777778 125.82222222] ; [32.82222222 23.17777778],0
u3,1,0.433084,0.614539,[32 17] ; [15  5],[33.37681159 15.62318841] ; [13.62318841  6.37681159],0
s6,1,0.510901,0.432222,[256  48] ; [46 11],[254.31578947  49.68421053] ; [47.68421053  9.31578947],0
s8,1,0.54896,0.359183,[213  96] ; [37 20],[211.06557377  97.93442623] ; [38.93442623 18.06557377],0
u4,1,0.551515,0.35461,[ 10 301] ; [ 1 56],[  9.29619565 301.70380435] ; [ 1.70380435 55.29619565],0
b4,1,0.589014,0.291886,[168 143] ; [33 24],[169.86684783 141.13315217] ; [31.13315217 25.86684783],0
p7,1,0.676433,0.174169,[227  77] ; [41 12],[228.21288515  75.78711485] ; [39.78711485 13.21288515],0
p8,1,0.6989,0.149619,[192 114] ; [33 22],[190.72022161 115.27977839] ; [34.27977839 20.72022161],0
b5,1,0.842501,0.03948,[179 132] ; [32 25],[178.31793478 132.68206522] ; [32.68206522 24.31793478],0
n2,1,0.845809,0.037818,[43 13] ; [15  4],[43.30666667 12.69333333] ; [14.69333333  4.30666667],0
d3,1,0.874125,0.025097,[226  85] ; [42 15],[226.48913043  84.51086957] ; [41.51086957 15.48913043],0
b3,1,0.886593,0.020339,[ 94 130] ; [13 17],[ 94.36220472 129.63779528] ; [12.63779528 17.36220472],0
b2,1,0.886593,0.020339,[ 94 130] ; [13 17],[ 94.36220472 129.63779528] ; [12.63779528 17.36220472],0
b1,1,0.888889,0.019519,[117 194] ; [22 35],[117.4701087 193.5298913] ; [21.5298913 35.4701087],0
p10,1,0.911451,0.012367,[272  37] ; [49  7],[271.75068493  37.24931507] ; [49.24931507  6.75068493],0
n3,1,0.920502,0.00996,[39 17] ; [13  6],[38.82666667 17.17333333] ; [13.17333333  5.82666667],0
p1,1,0.981568,0.000534,[ 33 278] ; [ 6 50],[ 33.04904632 277.95095368] ; [ 5.95095368 50.04904632],0
