Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,29.32779,[  7 127] ; [13 20],[ 16.04790419 117.95209581] ; [ 3.95209581 29.04790419],1
s2,1,0.001523,10.051027,[ 17 115] ; [12 21],[ 23.2 108.8] ; [ 5.8 27.2],0
n1,1,0.002042,9.51131,[12 33] ; [9 3],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
p6,1,0.002851,8.900146,[ 21 111] ; [13 20],[ 27.2 104.8] ; [ 6.8 26.2],0
p4,1,0.013967,6.042358,[42 91] ; [18 15],[48.07228916 84.92771084] ; [11.92771084 21.07228916],0
s3,1,0.017879,5.607948,[ 29 102] ; [14 19],[34.34756098 96.65243902] ; [ 8.65243902 24.34756098],0
s4,1,0.019293,5.474755,[ 10 124] ; [ 7 26],[ 13.64071856 120.35928144] ; [ 3.35928144 29.64071856],0
n6,1,0.021646,5.274012,[84 49] ; [27  5],[89.47272727 43.52727273] ; [21.52727273 10.47272727],0
p10,1,0.022109,5.237206,[71 61] ; [25  8],[76.8 55.2] ; [19.2 13.8],0
n4,1,0.024001,5.094528,[77 57] ; [26  7],[82.64670659 51.35329341] ; [20.35329341 12.64670659],0
b4,1,0.035411,4.425229,[80 54] ; [13 20],[74.62275449 59.37724551] ; [18.37724551 14.62275449],0
n2,1,0.067556,3.341435,[25 21] ; [10  2],[27.75862069 18.24137931] ; [7.24137931 4.75862069],0
p8,1,0.081491,3.03491,[39 93] ; [15 18],[43.2 88.8] ; [10.8 22.2],0
d4,1,0.109704,2.55848,[86 48] ; [26  7],[89.86826347 44.13173653] ; [22.13173653 10.86826347],0
p2,1,0.14224,2.153561,[82 50] ; [25  8],[85.6 46.4] ; [21.4 11.6],0
b1,1,0.173979,1.848321,[58 76] ; [10 23],[54.56287425 79.43712575] ; [13.43712575 19.56287425],0
n3,1,0.201717,1.629896,[24 20] ; [9 3],[25.92857143 18.07142857] ; [7.07142857 4.92857143],0
a6,1,0.208473,1.581996,[85 49] ; [17 16],[81.84431138 52.15568862] ; [20.15568862 12.84431138],0
p5,1,0.224652,1.474406,[  3 129] ; [ 2 29],[  4.04907975 127.95092025] ; [ 0.95092025 30.04907975],0
a3,1,0.226082,1.465344,[71 61] ; [21 11],[74.04878049 57.95121951] ; [17.95121951 14.04878049],0
b2,1,0.240392,1.378295,[27 53] ; [10 11],[29.30693069 50.69306931] ; [ 7.69306931 13.30693069],0
b3,1,0.240392,1.378295,[27 53] ; [10 11],[29.30693069 50.69306931] ; [ 7.69306931 13.30693069],0
p3,1,0.27055,1.213956,[37 97] ; [12 20],[39.55421687 94.44578313] ; [ 9.44578313 22.55421687],0
u3,1,0.323635,0.974201,[27 36] ; [7 5],[28.56 34.44] ; [5.44 6.56],0
p9,1,0.35938,0.840058,[80 51] ; [23 10],[82.27439024 48.72560976] ; [20.72560976 12.27439024],0
a1,1,0.424035,0.639107,[  9 125] ; [ 1 32],[  8.0239521 125.9760479] ; [ 1.9760479 31.0239521],0
n5,1,0.435181,0.608955,[83 50] ; [23 10],[84.92771084 48.07228916] ; [21.07228916 11.92771084],0
v4,1,0.437791,0.602065,[104  29] ; [27  5],[105.59393939  27.40606061] ; [25.40606061  6.59393939],0
r4,1,0.481868,0.494632,[86 48] ; [19 14],[84.25149701 49.74850299] ; [20.74850299 12.25149701],0
s1,1,0.492948,0.470085,[  8 124] ; [ 1 32],[  7.2 124.8] ; [ 1.8 31.2],0
a4,1,0.494329,0.46709,[44 89] ; [13 20],[45.6686747 87.3313253] ; [11.3313253 21.6686747],0
r2,1,0.500389,0.454111,[109  23] ; [28  4],[110.26829268  21.73170732] ; [26.73170732  5.26829268],0
a7,1,0.500761,0.453322,[85 48] ; [19 14],[83.3253012 49.6746988] ; [20.6746988 12.3253012],0
r1,1,0.506772,0.440726,[68 65] ; [19 14],[69.70481928 63.29518072] ; [17.29518072 15.70481928],0
p11,1,0.518817,0.416244,[77 57] ; [21 12],[78.63473054 55.36526946] ; [19.36526946 13.63473054],0
v1,1,0.529273,0.395787,[34 98] ; [10 22],[35.41463415 96.58536585] ; [ 8.58536585 23.41463415],0
d3,1,0.532806,0.389036,[68 64] ; [19 14],[69.6 62.4] ; [17.4 15.6],0
a5,1,0.58201,0.302996,[70 64] ; [19 14],[71.41317365 62.58682635] ; [17.58682635 15.41317365],0
s5,1,0.587322,0.294545,[ 13 119] ; [ 2 28],[ 12.22222222 119.77777778] ; [ 2.77777778 27.22222222],0
d1,1,0.703326,0.145035,[52 82] ; [14 19],[52.95808383 81.04191617] ; [13.04191617 19.95808383],0
p7,1,0.710251,0.138026,[53 79] ; [14 18],[53.92682927 78.07317073] ; [13.07317073 18.92682927],0
b5,1,0.736479,0.113246,[81 53] ; [21 12],[81.84431138 52.15568862] ; [20.15568862 12.84431138],0
a8,1,0.743271,0.107272,[ 14 111] ; [ 4 26],[ 14.51612903 110.48387097] ; [ 3.48387097 26.51612903],0
d2,1,0.752265,0.099638,[56 76] ; [13 20],[55.2 76.8] ; [13.8 19.2],0
u1,1,0.754497,0.097791,[ 10 124] ; [ 3 30],[ 10.43113772 123.56886228] ; [ 2.56886228 30.43113772],0
r3,1,0.797531,0.065815,[102  31] ; [26  7],[102.55421687  30.44578313] ; [25.44578313  7.55421687],0
p1,1,0.879368,0.023034,[ 11 122] ; [ 3 30],[ 11.21686747 121.78313253] ; [ 2.78313253 30.21686747],0
u2,1,0.879734,0.022894,[30 33] ; [6 6],[30.24 32.76] ; [5.76 6.24],0
a2,1,0.886574,0.020346,[ 19 115] ; [ 5 28],[ 19.25748503 114.74251497] ; [ 4.74251497 28.25748503],0
v3,1,0.976367,0.000878,[ 16 114] ; [ 4 28],[ 16.04938272 113.95061728] ; [ 3.95061728 28.04938272],0
d5,1,0.976655,0.000856,[85 48] ; [21 12],[84.92771084 48.07228916] ; [21.07228916 11.92771084],0
