Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,77.381107,[106 160] ; [135  27],[149.78037383 116.21962617] ; [91.21962617 70.78037383],1
v1,1,0.0,30.117416,[100 165] ; [106  57],[127.54672897 137.45327103] ; [78.45327103 84.54672897],1
s8,1,8e-06,20.017818,[ 79 196] ; [82 82],[100.85421412 174.14578588] ; [ 60.14578588 103.85421412],1
d1,1,2.1e-05,18.137125,[127 149] ; [111  55],[148.61538462 127.38461538] ; [89.38461538 76.61538462],1
r1,1,6e-05,16.111531,[200  74] ; [147  18],[216.5785877  57.4214123] ; [130.4214123  34.5785877],1
s7,1,0.000412,12.477981,[ 92 173] ; [82 75],[109.26540284 155.73459716] ; [64.73459716 92.26540284],1
p3,1,0.001521,10.052956,[ 97 178] ; [84 82],[112.86848073 162.13151927] ; [68.13151927 97.86848073],0
s2,1,0.001676,9.874357,[104 170] ; [87 76],[119.75743707 154.24256293] ; [71.24256293 91.75743707],0
a3,1,0.002738,8.974387,[177  99] ; [129  37],[191.07692308  84.92307692] ; [114.92307692  51.07692308],0
r4,1,0.002746,8.968734,[233  43] ; [156  10],[242.90497738  33.09502262] ; [146.09502262  19.90497738],0
a2,1,0.002925,8.853596,[ 44 232] ; [ 46 120],[ 56.19909502 219.80090498] ; [ 33.80090498 132.19909502],0
a4,1,0.003348,8.60729,[ 98 178] ; [82 83],[112.65306122 163.34693878] ; [67.34693878 97.65306122],0
n5,1,0.004028,8.271217,[189  84] ; [134  30],[201.7826087  71.2173913] ; [121.2173913  42.7826087],0
r3,1,0.00417,8.208423,[257  17] ; [164   1],[262.76537585  11.23462415] ; [158.23462415   6.76537585],0
d2,1,0.005628,7.665778,[111 164] ; [89 76],[125. 150.] ; [75. 90.],0
p7,1,0.010679,6.518046,[132 137] ; [100  62],[144.79814385 124.20185615] ; [87.20185615 74.79814385],0
v4,1,0.011123,6.445513,[249  23] ; [161   4],[255.19450801  16.80549199] ; [154.80549199  10.19450801],0
n4,1,0.013903,6.050371,[197  79] ; [135  30],[207.78231293  68.21768707] ; [124.21768707  40.78231293],0
d4,1,0.014555,5.969523,[209  67] ; [141  24],[219.04761905  56.95238095] ; [130.95238095  34.04761905],0
d5,1,0.020424,5.375247,[205  71] ; [139  27],[214.80542986  61.19457014] ; [129.19457014  36.80542986],0
s3,1,0.02105,5.322665,[133 141] ; [96 64],[144.57603687 129.42396313] ; [84.42396313 75.57603687],0
p10,1,0.029576,4.733761,[222  54] ; [145  19],[230.20909091  45.79090909] ; [136.79090909  27.20909091],0
n6,1,0.03171,4.614091,[223  51] ; [147  18],[230.93394077  43.06605923] ; [139.06605923  25.93394077],0
d3,1,0.035543,4.418904,[169 107] ; [118  48],[179.21266968  96.78733032] ; [107.78733032  58.21266968],0
a5,1,0.037505,4.327326,[191  85] ; [130  36],[200.44343891  75.55656109] ; [120.55656109  45.44343891],0
s5,1,0.043201,4.087508,[ 65 204] ; [ 54 109],[ 74.09953704 194.90046296] ; [ 44.90046296 118.09953704],0
p12,1,0.050284,3.831972,[ 11 263] ; [ 14 151],[ 15.60364465 258.39635535] ; [  9.39635535 155.60364465],0
p1,1,0.052273,3.767021,[ 11 263] ; [ 14 152],[ 15.56818182 258.43181818] ; [  9.43181818 156.56818182],0
