Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.028872,[130  29] ; [11 20],[117.99473684  41.00526316] ; [23.00526316  7.99473684],1
n4,1,3e-06,21.872379,[129  29] ; [13 18],[118.70899471  39.29100529] ; [23.29100529  7.70899471],1
s6,1,8.6e-05,15.426275,[140  17] ; [19 12],[132.78191489  24.21808511] ; [26.21808511  4.78191489],1
r4,1,0.000483,12.180937,[147  12] ; [22  9],[141.42631579  17.57368421] ; [27.57368421  3.42631579],1
d5,1,0.007048,7.260579,[125  32] ; [17 13],[119.21925134  37.78074866] ; [22.78074866  7.21925134],0
p10,1,0.008288,6.970181,[133  24] ; [20 11],[127.7712766  29.2287234] ; [25.2287234  5.7712766],0
p4,1,0.010181,6.602867,[110  49] ; [14 17],[103.76842105  55.23157895] ; [20.23157895 10.76842105],0
a3,1,0.044046,4.054816,[116  43] ; [17 14],[111.3  47.7] ; [21.7  9.3],0
p5,1,0.050602,3.821384,[ 26 129] ; [ 1 30],[ 22.5 132.5] ; [ 4.5 26.5],0
d2,1,0.05476,3.689366,[78 81] ; [ 9 21],[73.19047619 85.80952381] ; [13.80952381 16.19047619],0
s7,1,0.055982,3.652596,[101  50] ; [14 15],[96.47222222 54.52777778] ; [18.52777778 10.47222222],0
a5,1,0.081002,3.044677,[108  51] ; [16 15],[103.76842105  55.23157895] ; [20.23157895 10.76842105],0
a4,1,0.098327,2.732467,[77 82] ; [10 21],[72.80526316 86.19473684] ; [14.19473684 16.80526316],0
v4,1,0.099609,2.711789,[153   5] ; [28  3],[151.31216931   6.68783069] ; [29.68783069  1.31216931],0
r1,1,0.113748,2.501356,[123  35] ; [20 11],[119.54497354  38.45502646] ; [23.45502646  7.54497354],0
d1,1,0.117508,2.450223,[91 68] ; [13 18],[87.03157895 71.96842105] ; [16.96842105 14.03157895],0
b3,1,0.1234,2.373626,[38 62] ; [ 4 16],[35. 65.] ; [ 7. 13.],0
b2,1,0.1234,2.373626,[38 62] ; [ 4 16],[35. 65.] ; [ 7. 13.],0
p9,1,0.126081,2.340102,[134  23] ; [23  8],[131.11170213  25.88829787] ; [25.88829787  5.11170213],0
p11,1,0.129533,2.298097,[123  36] ; [20 11],[119.66842105  39.33157895] ; [23.33157895  7.66842105],0
s5,1,0.138696,2.192373,[74 80] ; [10 20],[70.30434783 83.69565217] ; [13.69565217 16.30434783],0
p2,1,0.149551,2.076826,[134  24] ; [23  8],[131.24867725  26.75132275] ; [25.75132275  5.24867725],0
a2,1,0.157066,2.00225,[ 39 120] ; [ 4 27],[ 35.98421053 123.01578947] ; [ 7.01578947 23.98421053],0
u1,1,0.216596,1.526784,[ 30 129] ; [ 3 28],[ 27.61578947 131.38421053] ; [ 5.38421053 25.61578947],0
r2,1,0.236715,1.400051,[150   7] ; [28  3],[148.64893617   8.35106383] ; [29.35106383  1.64893617],0
s3,1,0.253248,1.305299,[136  22] ; [29  2],[137.93650794  20.06349206] ; [27.06349206  3.93650794],0
b1,1,0.268957,1.222061,[70 89] ; [17 14],[72.80526316 86.19473684] ; [14.19473684 16.80526316],0
p8,1,0.295654,1.093696,[83 76] ; [13 18],[80.33684211 78.66315789] ; [15.66315789 15.33684211],0
s8,1,0.298199,1.08223,[88 71] ; [14 17],[85.35789474 73.64210526] ; [16.64210526 14.35789474],0
s4,1,0.321678,0.982112,[ 46 109] ; [12 19],[ 48.33333333 106.66666667] ; [ 9.66666667 21.33333333],0
