Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.8e-05,17.582017,[25 65] ; [19  7],[34.13793103 55.86206897] ; [ 9.86206897 16.13793103],1
p6,1,0.000477,12.202897,[12 77] ; [11 13],[18.11504425 70.88495575] ; [ 4.88495575 19.11504425],1
v2,1,0.012886,6.184632,[24 63] ; [14 12],[29.25663717 57.74336283] ; [ 8.74336283 17.25663717],0
r3,1,0.01518,5.895487,[61 28] ; [24  2],[65.7826087 23.2173913] ; [19.2173913  6.7826087],0
p2,1,0.016769,5.720397,[46 45] ; [20  6],[51.33333333 39.66666667] ; [14.66666667 11.33333333],0
b5,1,0.016769,5.720397,[46 45] ; [20  6],[51.33333333 39.66666667] ; [14.66666667 11.33333333],0
n6,1,0.062905,3.459082,[46 44] ; [18  7],[50.08695652 39.91304348] ; [13.91304348 11.08695652],0
p4,1,0.067069,3.353336,[19 72] ; [10 16],[22.55555556 68.44444444] ; [ 6.44444444 19.55555556],0
r4,1,0.067497,3.342857,[52 39] ; [20  6],[56. 35.] ; [16. 10.],0
d3,1,0.074377,3.183673,[45 46] ; [18  8],[49. 42.] ; [14. 12.],0
d1,1,0.085453,2.958009,[32 59] ; [14 12],[35.77777778 55.22222222] ; [10.22222222 15.77777778],0
s8,1,0.087217,2.925,[ 7 84] ; [ 5 21],[ 9.33333333 81.66666667] ; [ 2.66666667 23.33333333],0
a4,1,0.108936,2.569584,[40 50] ; [ 7 19],[36.46551724 53.53448276] ; [10.53448276 15.46551724],0
p3,1,0.120339,2.412907,[18 72] ; [ 9 17],[20.94827586 69.05172414] ; [ 6.05172414 19.94827586],0
a7,1,0.182232,1.779325,[45 44] ; [17  9],[47.9826087 41.0173913] ; [14.0173913 11.9826087],0
v4,1,0.189385,1.722395,[64 25] ; [22  4],[66.55652174 22.44347826] ; [19.44347826  6.55652174],0
v1,1,0.210799,1.56593,[23 66] ; [10 16],[25.53913043 63.46086957] ; [ 7.46086957 18.53913043],0
p11,1,0.215852,1.531734,[40 51] ; [15 11],[42.77777778 48.22222222] ; [12.22222222 13.77777778],0
b2,1,0.232851,1.423359,[23 37] ; [ 3 11],[21.08108108 38.91891892] ; [4.91891892 9.08108108],0
b3,1,0.232851,1.423359,[23 37] ; [ 3 11],[21.08108108 38.91891892] ; [4.91891892 9.08108108],0
r2,1,0.244463,1.35467,[68 19] ; [23  3],[70.0619469 16.9380531] ; [20.9380531  5.0619469],0
s7,1,0.285429,1.141055,[ 9 72] ; [ 5 21],[10.59813084 70.40186916] ; [ 3.40186916 22.59813084],0
p1,1,0.288938,1.124565,[ 5 85] ; [ 3 23],[ 6.20689655 83.79310345] ; [ 1.79310345 24.20689655],0
v3,1,0.294521,1.098838,[16 71] ; [ 7 18],[17.86607143 69.13392857] ; [ 5.13392857 19.86607143],0
n2,1,0.318689,0.994318,[21 19] ; [7 3],[22.4 17.6] ; [5.6 4.4],0
a8,1,0.329089,0.952478,[ 9 75] ; [ 1 23],[ 7.77777778 76.22222222] ; [ 2.22222222 21.77777778],0
a6,1,0.360625,0.835714,[54 37] ; [18  8],[56. 35.] ; [16. 10.],0
p9,1,0.378858,0.774405,[24 65] ; [ 9 16],[25.76315789 63.23684211] ; [ 7.23684211 17.76315789],0
s5,1,0.463792,0.536727,[ 7 80] ; [ 1 25],[ 6.15929204 80.84070796] ; [ 1.84070796 24.15929204],0
a3,1,0.466562,0.530107,[55 34] ; [14 12],[53.4 35.6] ; [15.6 10.4],0
u3,1,0.4795,0.5,[13 23] ; [3 9],[12. 24.] ; [4. 8.],0
b4,1,0.486339,0.484615,[49 42] ; [16 10],[50.55555556 40.44444444] ; [14.44444444 11.55555556],0
r1,1,0.510677,0.43268,[51 39] ; [16  9],[52.43478261 37.56521739] ; [14.56521739 10.43478261],0
n5,1,0.553874,0.350422,[44 46] ; [11 15],[42.67241379 47.32758621] ; [12.32758621 13.67241379],0
d2,1,0.577548,0.310215,[39 50] ; [13 13],[40.24347826 48.75652174] ; [11.75652174 14.24347826],0
s3,1,0.579497,0.307049,[22 68] ; [ 5 21],[20.94827586 69.05172414] ; [ 6.05172414 19.94827586],0
a5,1,0.586057,0.296544,[47 44] ; [15 11],[48.22222222 42.77777778] ; [13.77777778 12.22222222],0
s1,1,0.661132,0.192152,[ 5 84] ; [ 2 23],[ 5.46491228 83.53508772] ; [ 1.53508772 23.46491228],0
d4,1,0.73388,0.115579,[58 31] ; [16 10],[57.26956522 31.73043478] ; [16.73043478  9.26956522],0
n3,1,0.788188,0.07218,[21 17] ; [6 4],[21.375 16.625] ; [5.625 4.375],0
s2,1,0.820509,0.051479,[ 9 81] ; [ 3 23],[ 9.31034483 80.68965517] ; [ 2.68965517 23.31034483],0
d5,1,0.840229,0.040643,[54 37] ; [16 10],[54.44444444 36.55555556] ; [15.55555556 10.44444444],0
n1,1,0.844579,0.038431,[12 28] ; [3 6],[12.24489796 27.75510204] ; [2.75510204 6.24489796],0
u1,1,0.859702,0.031242,[ 8 83] ; [ 2 24],[ 7.77777778 83.22222222] ; [ 2.22222222 23.77777778],0
n4,1,0.887671,0.019952,[54 36] ; [16 10],[54.31034483 35.68965517] ; [15.68965517 10.31034483],0
a2,1,0.88848,0.019664,[13 78] ; [ 4 22],[13.22222222 77.77777778] ; [ 3.77777778 22.22222222],0
u2,1,0.919135,0.010307,[14 21] ; [5 7],[14.14893617 20.85106383] ; [4.85106383 7.14893617],0
b1,1,1.0,0.0,[42 49] ; [12 14],[42. 49.] ; [12. 14.],0
