Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.571746,[ 8 28] ; [21  3],[17.4 18.6] ; [11.6 12.4],1
d5,1,2e-06,23.142857,[12 24] ; [23  1],[21. 15.] ; [14. 10.],1
d4,1,2.9e-05,17.490906,[15 21] ; [22  1],[22.57627119 13.42372881] ; [14.42372881  8.57627119],1
d2,1,0.000838,11.155254,[10 26] ; [16  6],[16.13793103 19.86206897] ; [ 9.86206897 12.13793103],1
a5,1,0.014435,5.984163,[11 25] ; [15  9],[15.6 20.4] ; [10.4 13.6],0
p7,1,0.016358,5.763975,[15 20] ; [ 3 20],[10.86206897 24.13793103] ; [ 7.13793103 15.86206897],0
a4,1,0.017771,5.61863,[ 8 28] ; [12 11],[12.20338983 23.79661017] ; [ 7.79661017 15.20338983],0
a3,1,0.019815,5.428159,[14 21] ; [17  7],[18.38983051 16.61016949] ; [12.61016949 11.38983051],0
v2,1,0.030496,4.681099,[ 8 27] ; [12 12],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
a2,1,0.070926,3.261456,[ 2 34] ; [ 5 19],[ 4.2 31.8] ; [ 2.8 21.2],0
a7,1,0.076379,3.140316,[13 22] ; [14  9],[16.29310345 18.70689655] ; [10.70689655 12.29310345],0
r2,1,0.097328,2.748788,[16 19] ; [15  7],[19.03508772 15.96491228] ; [11.96491228 10.03508772],0
p2,1,0.125726,2.344498,[16 20] ; [ 6 18],[13.2 22.8] ; [ 8.8 15.2],0
v1,1,0.134827,2.236025,[ 6 30] ; [ 8 16],[ 8.4 27.6] ; [ 5.6 18.4],0
p6,1,0.143398,2.141107,[ 6 29] ; [ 1 22],[ 4.22413793 30.77586207] ; [ 2.77586207 20.22413793],0
n2,1,0.158313,1.99027,[12  9] ; [ 5 10],[ 9.91666667 11.08333333] ; [7.08333333 7.91666667],0
p1,1,0.159886,1.975309,[ 2 34] ; [ 4 20],[ 3.6 32.4] ; [ 2.4 21.6],0
n3,1,0.163187,1.944444,[11 10] ; [ 4 10],[ 9. 12.] ; [6. 8.],0
r3,1,0.17602,1.83091,[12 23] ; [12 11],[14.48275862 20.51724138] ; [ 9.51724138 13.48275862],0
s3,1,0.222483,1.48828,[ 8 27] ; [ 9 15],[10.08474576 24.91525424] ; [ 6.91525424 17.08474576],0
n5,1,0.283297,1.151206,[21 14] ; [11 13],[18.98305085 16.01694915] ; [13.01694915 10.98305085],0
p8,1,0.291021,1.11489,[10 25] ; [ 4 20],[ 8.30508475 26.69491525] ; [ 5.69491525 18.30508475],0
v3,1,0.299254,1.077516,[ 5 30] ; [ 6 18],[ 6.52542373 28.47457627] ; [ 4.47457627 19.52542373],0
s5,1,0.323654,0.974124,[ 4 31] ; [ 5 19],[ 5.33898305 29.66101695] ; [ 3.66101695 20.33898305],0
u1,1,0.333393,0.935673,[ 1 35] ; [ 2 22],[ 1.8 34.2] ; [ 1.2 22.8],0
a6,1,0.341707,0.904018,[15 21] ; [13 11],[16.8 19.2] ; [11.2 12.8],0
b3,1,0.361535,0.832555,[ 8 11] ; [ 5 13],[ 6.67567568 12.32432432] ; [ 6.32432432 11.67567568],0
b2,1,0.361535,0.832555,[ 8 11] ; [ 5 13],[ 6.67567568 12.32432432] ; [ 6.32432432 11.67567568],0
p10,1,0.429195,0.625,[ 6 30] ; [ 6 18],[ 7.2 28.8] ; [ 4.8 19.2],0
u3,1,0.437589,0.602597,[ 6 16] ; [3 4],[ 6.82758621 15.17241379] ; [2.17241379 4.82758621],0
s4,1,0.442729,0.589198,[ 9 27] ; [ 4 20],[ 7.8 28.2] ; [ 5.2 18.8],0
n1,1,0.473289,0.514286,[ 8 13] ; [ 4 11],[ 7. 14.] ; [ 5. 10.],0
b4,1,0.526168,0.401786,[18 18] ; [14 10],[19.2 16.8] ; [12.8 11.2],0
n4,1,0.601011,0.273473,[18 17] ; [14 10],[18.98305085 16.01694915] ; [13.01694915 10.98305085],0
p3,1,0.625611,0.23806,[ 6 30] ; [ 5 18],[ 6.71186441 29.28813559] ; [ 4.28813559 18.71186441],0
r1,1,0.628414,0.234217,[11 24] ; [ 9 15],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
s6,1,0.639896,0.218878,[11 25] ; [ 6 18],[10.2 25.8] ; [ 6.8 17.2],0
s8,1,0.672604,0.178571,[ 2 34] ; [ 2 22],[ 2.4 33.6] ; [ 1.6 22.4],0
s2,1,0.708528,0.139752,[ 9 27] ; [ 5 19],[ 8.4 27.6] ; [ 5.6 18.4],0
a1,1,0.725315,0.123457,[ 4 32] ; [ 2 22],[ 3.6 32.4] ; [ 2.4 21.6],0
p4,1,0.733614,0.115819,[ 8 28] ; [ 6 17],[ 8.54237288 27.45762712] ; [ 5.45762712 17.54237288],0
s7,1,0.736607,0.113131,[ 7 28] ; [ 5 16],[ 7.5 27.5] ; [ 4.5 16.5],0
b1,1,0.751696,0.100111,[18 18] ; [13 11],[18.6 17.4] ; [12.4 11.6],0
s1,1,0.900508,0.01563,[ 4 31] ; [ 3 21],[ 4.15254237 30.84745763] ; [ 2.84745763 21.15254237],0
p11,1,0.906891,0.01368,[10 26] ; [ 7 17],[10.2 25.8] ; [ 6.8 17.2],0
v4,1,0.914137,0.011626,[18 17] ; [12 12],[17.79661017 17.20338983] ; [12.20338983 11.79661017],0
n6,1,0.955686,0.003088,[17 18] ; [11 12],[16.89655172 18.10344828] ; [11.10344828 11.89655172],0
u2,1,1.0,0.0,[ 9 12] ; [3 4],[ 9. 12.] ; [3. 4.],0
b5,1,1.0,0.0,[18 18] ; [12 12],[18. 18.] ; [12. 12.],0
