Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.627117,[ 7 17] ; [94 21],[17.43884892  6.56115108] ; [83.56115108 31.43884892],1
v4,1,3.6e-05,17.055357,[15  9] ; [106   8],[21.04347826  2.95652174] ; [99.95652174 14.04347826],1
b1,1,0.001477,10.107207,[17  7] ; [41 74],[10.01438849 13.98561151] ; [47.98561151 67.01438849],0
r1,1,0.004957,7.895226,[ 8 16] ; [74 41],[14.15827338  9.84172662] ; [67.84172662 47.15827338],0
r3,1,0.006558,7.390271,[16  8] ; [101  13],[20.34782609  3.65217391] ; [96.65217391 17.34782609],0
v2,1,0.006629,7.370797,[ 3 20] ; [48 63],[ 8.75373134 14.24626866] ; [42.24626866 68.75373134],0
d5,1,0.01109,6.450881,[ 6 18] ; [61 53],[11.65217391 12.34782609] ; [55.34782609 58.65217391],0
n6,1,0.021611,5.276834,[10 14] ; [76 38],[14.95652174  9.04347826] ; [71.04347826 42.95652174],0
n2,1,0.052903,3.746984,[6 5] ; [33  7],[8.41176471 2.58823529] ; [30.58823529  9.41176471],0
u3,1,0.055729,3.660131,[ 4 10] ; [32 24],[7.2 6.8] ; [28.8 27.2],0
a7,1,0.096787,2.75771,[11 13] ; [73 41],[14.60869565  9.39130435] ; [69.39130435 44.60869565],0
s6,1,0.109097,2.56725,[ 8 16] ; [58 55],[11.5620438 12.4379562] ; [54.4379562 58.5620438],0
s3,1,0.127951,2.317187,[ 7 17] ; [53 62],[10.35971223 13.64028777] ; [49.64028777 65.35971223],0
s2,1,0.167183,1.908024,[ 6 18] ; [46 69],[ 8.97841727 15.02158273] ; [43.02158273 71.97841727],0
s4,1,0.178255,1.812117,[ 3 21] ; [29 86],[ 5.52517986 18.47482014] ; [26.47482014 88.52517986],0
n3,1,0.187312,1.738636,[6 5] ; [30 10],[7.76470588 3.23529412] ; [28.23529412 11.76470588],0
v3,1,0.199623,1.645131,[ 3 21] ; [27 83],[ 5.37313433 18.62686567] ; [24.62686567 85.37313433],0
a6,1,0.21166,1.560038,[10 14] ; [64 51],[12.77697842 11.22302158] ; [61.22302158 53.77697842],0
u2,1,0.231998,1.428571,[9 5] ; [26 30],[7. 7.] ; [28. 28.],0
s7,1,0.234509,1.4133,[ 4 18] ; [35 79],[ 6.30882353 15.69117647] ; [32.69117647 81.30882353],0
p9,1,0.250137,1.322541,[15  9] ; [83 29],[17.29411765  6.70588235] ; [80.70588235 31.29411765],0
p8,1,0.259653,1.270608,[12 11] ; [45 69],[ 9.56934307 13.43065693] ; [47.43065693 66.56934307],0
a8,1,0.288435,1.126913,[ 3 20] ; [  7 100],[ 1.76923077 21.23076923] ; [ 8.23076923 98.76923077],0
p3,1,0.30623,1.046867,[ 5 19] ; [36 79],[ 7.07913669 16.92086331] ; [33.92086331 81.07913669],0
n5,1,0.358287,0.843887,[12 12] ; [45 68],[ 9.98540146 14.01459854] ; [47.01459854 65.98540146],0
b3,1,0.364911,0.82092,[1 9] ; [12 41],[2.06349206 7.93650794] ; [10.93650794 42.06349206],0
b2,1,0.364911,0.82092,[1 9] ; [12 41],[2.06349206 7.93650794] ; [10.93650794 42.06349206],0
v1,1,0.368468,0.808824,[ 7 17] ; [44 69],[ 8.93430657 15.06569343] ; [42.06569343 70.93430657],0
a4,1,0.384599,0.755949,[ 6 18] ; [20 95],[ 4.48920863 19.51079137] ; [21.51079137 93.48920863],0
p5,1,0.391858,0.733168,[ 2 21] ; [  5 109],[ 1.17518248 21.82481752] ; [  5.82481752 108.17518248],0
b5,1,0.397285,0.716527,[15  9] ; [61 54],[13.12230216 10.87769784] ; [62.87769784 52.12230216],0
a1,1,0.416734,0.659507,[ 2 22] ; [  5 110],[ 1.20863309 22.79136691] ; [  5.79136691 109.20863309],0
a3,1,0.457833,0.551188,[10 14] ; [57 57],[11.65217391 12.34782609] ; [55.34782609 58.65217391],0
p2,1,0.460568,0.544515,[15  9] ; [80 34],[16.52173913  7.47826087] ; [78.47826087 35.52173913],0
s8,1,0.519004,0.415871,[ 5 19] ; [31 83],[ 6.26086957 17.73913043] ; [29.73913043 84.26086957],0
s5,1,0.539366,0.376717,[ 4 20] ; [25 87],[ 5.11764706 18.88235294] ; [23.88235294 88.11764706],0
p4,1,0.56416,0.332552,[11 13] ; [45 69],[ 9.73913043 14.26086957] ; [46.26086957 67.73913043],0
d3,1,0.643619,0.21404,[11 13] ; [46 67],[ 9.98540146 14.01459854] ; [47.01459854 65.98540146],0
b4,1,0.668965,0.182815,[12 12] ; [63 52],[12.94964029 11.05035971] ; [62.05035971 52.94964029],0
p12,1,0.677949,0.172444,[ 1 23] ; [  3 112],[ 0.69064748 23.30935252] ; [  3.30935252 111.69064748],0
p1,1,0.706871,0.141422,[ 1 23] ; [  7 107],[ 1.39130435 22.60869565] ; [  6.60869565 107.39130435],0
d4,1,0.712043,0.136245,[13 11] ; [67 48],[13.81294964 10.18705036] ; [66.18705036 48.81294964],0
n1,1,0.773522,0.082812,[3 8] ; [ 9 30],[2.64 8.36] ; [ 9.36 29.64],0
p6,1,0.80079,0.063668,[ 5 19] ; [26 86],[ 5.47058824 18.52941176] ; [25.52941176 86.47058824],0
p10,1,0.803216,0.062094,[15  9] ; [73 39],[15.52941176  8.47058824] ; [72.47058824 39.52941176],0
s1,1,0.823929,0.049504,[ 1 23] ; [  6 108],[ 1.2173913 22.7826087] ; [  5.7826087 108.2173913],0
p11,1,0.863775,0.029436,[15  9] ; [74 41],[15.36690647  8.63309353] ; [73.63309353 41.36690647],0
p7,1,0.896424,0.016947,[14 10] ; [62 47],[13.71428571 10.28571429] ; [62.28571429 46.71428571],0
d2,1,0.901432,0.01534,[ 4 20] ; [18 97],[ 3.79856115 20.20143885] ; [18.20143885 96.79856115],0
a5,1,0.994775,4.3e-05,[10 14] ; [48 67],[10.01438849 13.98561151] ; [47.98561151 67.01438849],0
