Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,40.470665,[111   6] ; [19 18],[98.76623377 18.23376623] ; [31.23376623  5.76623377],1
p11,1,1e-06,24.057227,[100  17] ; [17 20],[88.88961039 28.11038961] ; [28.11038961  8.88961039],1
d5,1,8.1e-05,15.546154,[90 26] ; [16 21],[80.36601307 35.63398693] ; [25.63398693 11.36601307],1
r2,1,0.000591,11.802835,[100  15] ; [22 14],[92.91390728 22.08609272] ; [29.08609272  6.91390728],1
r4,1,0.001178,10.525134,[82 35] ; [15 22],[73.69480519 43.30519481] ; [23.30519481 13.69480519],0
s6,1,0.002656,9.029998,[71 41] ; [13 24],[63.1409396 48.8590604] ; [20.8590604 16.1409396],0
a5,1,0.0035,8.526631,[67 50] ; [11 26],[59.25974026 57.74025974] ; [18.74025974 18.25974026],0
p8,1,0.004286,8.158658,[60 55] ; [ 9 27],[52.54966887 62.45033113] ; [16.45033113 19.54966887],0
d4,1,0.008448,6.93593,[87 30] ; [19 18],[80.53246753 36.46753247] ; [25.46753247 11.53246753],0
n6,1,0.009013,6.820223,[99 18] ; [24 13],[93.44805195 23.55194805] ; [29.55194805  7.44805195],0
n5,1,0.011679,6.358944,[86 31] ; [19 18],[79.77272727 37.22727273] ; [25.22727273 11.77272727],0
a7,1,0.012078,6.299354,[77 39] ; [16 21],[70.50980392 45.49019608] ; [22.49019608 14.50980392],0
v1,1,0.018502,5.547967,[55 59] ; [ 9 26],[48.96644295 65.03355705] ; [15.03355705 19.96644295],0
s2,1,0.027534,4.857042,[59 58] ; [11 26],[53.18181818 63.81818182] ; [16.81818182 20.18181818],0
u3,1,0.04256,4.112808,[24 24] ; [ 5 16],[20.17391304 27.82608696] ; [ 8.82608696 12.17391304],0
d1,1,0.044656,4.03157,[50 67] ; [ 9 28],[44.82467532 72.17532468] ; [14.17532468 22.82467532],0
n4,1,0.072286,3.230342,[82 35] ; [20 17],[77.49350649 39.50649351] ; [24.50649351 12.49350649],0
d3,1,0.074144,3.188815,[69 46] ; [16 21],[64.30921053 50.69078947] ; [20.69078947 16.30921053],0
r3,1,0.076424,3.139358,[104  12] ; [29  8],[100.83660131  15.16339869] ; [32.16339869  4.83660131],0
p5,1,0.078732,3.090881,[ 15 102] ; [ 1 36],[ 12.15584416 104.84415584] ; [ 3.84415584 33.15584416],0
s7,1,0.081713,3.030489,[49 62] ; [10 26],[44.55102041 66.44897959] ; [14.44897959 21.55102041],0
v3,1,0.107675,2.588024,[38 78] ; [ 7 30],[34.11764706 81.88235294] ; [10.88235294 26.11764706],0
b2,1,0.107803,2.586142,[23 42] ; [ 4 19],[19.94318182 45.05681818] ; [ 7.05681818 15.94318182],0
b3,1,0.107803,2.586142,[23 42] ; [ 4 19],[19.94318182 45.05681818] ; [ 7.05681818 15.94318182],0
b1,1,0.114493,2.491081,[43 74] ; [19 18],[47.1038961 69.8961039] ; [14.8961039 22.1038961],0
a3,1,0.124974,2.353846,[69 48] ; [16 20],[65. 52.] ; [20. 16.],0
s8,1,0.192312,1.699813,[42 75] ; [ 9 28],[38.74675325 78.25324675] ; [12.25324675 24.74675325],0
a6,1,0.19432,1.684559,[68 49] ; [17 20],[64.57792208 52.42207792] ; [20.42207792 16.57792208],0
s5,1,0.194557,1.682766,[32 79] ; [ 6 28],[29.08965517 81.91034483] ; [ 8.91034483 25.08965517],0
u2,1,0.221834,1.492468,[27 21] ; [ 8 12],[24.70588235 23.29411765] ; [10.29411765  9.70588235],0
n3,1,0.259132,1.273389,[22 10] ; [15  3],[23.68  8.32] ; [13.32  4.68],0
b4,1,0.362779,0.828251,[70 47] ; [19 18],[67.61688312 49.38311688] ; [21.38311688 15.61688312],0
a2,1,0.370969,0.800416,[ 12 105] ; [ 2 35],[ 10.63636364 106.36363636] ; [ 3.36363636 33.63636364],0
a4,1,0.397778,0.715032,[37 80] ; [ 9 28],[34.94805195 82.05194805] ; [11.05194805 25.94805195],0
p12,1,0.427938,0.628414,[  7 109] ; [ 1 36],[  6.06535948 109.93464052] ; [ 1.93464052 35.06535948],0
p3,1,0.436064,0.606618,[56 61] ; [15 22],[53.94155844 63.05844156] ; [17.05844156 19.94155844],0
