Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.175049,[ 30 143] ; [23 24],[ 41.67727273 131.32272727] ; [11.32272727 35.67727273],1
v3,1,1.2e-05,19.171042,[ 57 121] ; [31 15],[ 69.92857143 108.07142857] ; [18.07142857 27.92857143],1
p5,1,0.000686,11.527914,[  5 182] ; [ 7 40],[  9.58974359 177.41025641] ; [ 2.41025641 44.58974359],1
p9,1,0.001514,10.060893,[124  63] ; [43  5],[132.8893617  54.1106383] ; [34.1106383 13.8893617],0
n5,1,0.002438,9.1866,[112  75] ; [40  8],[120.95319149  66.04680851] ; [31.04680851 16.95319149],0
b3,1,0.003352,8.605232,[31 73] ; [22 17],[38.54545455 65.45454545] ; [14.45454545 24.54545455],0
b2,1,0.003352,8.605232,[31 73] ; [22 17],[38.54545455 65.45454545] ; [14.45454545 24.54545455],0
v1,1,0.003757,8.397528,[ 82 104] ; [33 16],[91.0212766 94.9787234] ; [23.9787234 25.0212766],0
p3,1,0.004212,8.190027,[ 68 118] ; [29 20],[ 76.77446809 109.22553191] ; [20.22553191 28.77446809],0
n6,1,0.004956,7.895571,[131  56] ; [44  5],[138.66525424  48.33474576] ; [36.33474576 12.66525424],0
p4,1,0.006887,7.302167,[ 77 108] ; [31 18],[85.38461538 99.61538462] ; [22.61538462 26.38461538],0
d2,1,0.008652,6.893244,[ 79 108] ; [31 18],[87.16101695 99.83898305] ; [22.83898305 26.16101695],0
d1,1,0.008785,6.866014,[99 89] ; [36 13],[107.08860759  80.91139241] ; [27.91139241 21.08860759],0
p8,1,0.012572,6.228353,[ 80 105] ; [31 18],[87.75641026 97.24358974] ; [23.24358974 25.75641026],0
s2,1,0.013581,6.091868,[ 30 157] ; [15 32],[ 35.96153846 151.03846154] ; [ 9.03846154 37.96153846],0
p10,1,0.016578,5.740547,[127  60] ; [41  7],[133.68510638  53.31489362] ; [34.31489362 13.68510638],0
n4,1,0.017408,5.654777,[129  59] ; [42  7],[135.64556962  52.35443038] ; [35.35443038 13.64556962],0
s5,1,0.026215,4.941795,[ 21 165] ; [11 35],[ 25.65517241 160.34482759] ; [ 6.34482759 39.65517241],0
p6,1,0.036732,4.362783,[ 41 144] ; [18 31],[ 46.64529915 138.35470085] ; [12.35470085 36.64529915],0
p12,1,0.038931,4.263872,[  4 182] ; [ 4 45],[  6.33191489 179.66808511] ; [ 1.66808511 47.33191489],0
a5,1,0.043368,4.081,[130  58] ; [41  8],[135.64556962  52.35443038] ; [35.35443038 13.64556962],0
v2,1,0.049048,3.873693,[98 80] ; [34 14],[103.96460177  74.03539823] ; [28.03539823 19.96460177],0
a3,1,0.057502,3.608021,[126  60] ; [40  9],[131.38723404  54.61276596] ; [34.61276596 14.38723404],0
a8,1,0.067021,3.354516,[ 15 154] ; [ 8 35],[ 18.33490566 150.66509434] ; [ 4.66509434 38.33490566],0
p11,1,0.076119,3.145884,[143  45] ; [43  6],[147.5443038  40.4556962] ; [38.4556962 10.5443038],0
a6,1,0.088217,2.906613,[135  53] ; [29 20],[130.092827  57.907173] ; [33.907173 15.092827],0
s3,1,0.088716,2.897515,[ 45 143] ; [17 30],[ 49.6 138.4] ; [12.4 34.6],0
p7,1,0.11702,2.456753,[101  83] ; [33 16],[105.81974249  78.18025751] ; [28.18025751 20.81974249],0
v4,1,0.13642,2.217887,[171  15] ; [48  1],[173.33617021  12.66382979] ; [45.66382979  3.33617021],0
p2,1,0.161686,1.95839,[143  44] ; [42  7],[146.58898305  40.41101695] ; [38.41101695 10.58898305],0
p1,1,0.195177,1.678102,[ 13 174] ; [ 1 48],[ 11.09322034 175.90677966] ; [ 2.90677966 46.09322034],0
n1,1,0.256958,1.285072,[16 35] ; [5 5],[17.55737705 33.44262295] ; [3.44262295 6.55737705],0
u1,1,0.271902,1.207126,[ 20 168] ; [ 8 41],[ 22.21097046 165.78902954] ; [ 5.78902954 43.21097046],0
d3,1,0.282586,1.154611,[127  61] ; [37 12],[130.092827  57.907173] ; [33.907173 15.092827],0
u4,1,0.303761,1.057611,[  1 187] ; [ 1 48],[  1.58649789 186.41350211] ; [ 0.41350211 48.58649789],0
a1,1,0.339056,0.913997,[  6 182] ; [ 3 46],[  7.13924051 180.86075949] ; [ 1.86075949 47.13924051],0
b5,1,0.467822,0.527115,[103  85] ; [24 25],[100.74261603  87.25738397] ; [26.25738397 22.74261603],0
d4,1,0.512228,0.429513,[152  34] ; [42  7],[153.54893617  32.45106383] ; [40.45106383  8.54893617],0
b4,1,0.541609,0.372567,[106  82] ; [30 19],[107.88185654  80.11814346] ; [28.11814346 20.88185654],0
r4,1,0.541667,0.372459,[167  21] ; [45  4],[168.16877637  19.83122363] ; [43.83122363  5.16877637],0
s4,1,0.542804,0.370368,[ 12 176] ; [ 2 47],[ 11.10548523 176.89451477] ; [ 2.89451477 46.10548523],0
u3,1,0.559059,0.341336,[34 28] ; [4 5],[33.18309859 28.81690141] ; [4.81690141 4.18309859],0
n2,1,0.662216,0.190843,[32 19] ; [7 3],[32.60655738 18.39344262] ; [6.39344262 3.60655738],0
a4,1,0.676748,0.17381,[ 82 106] ; [23 26],[ 83.29113924 104.70886076] ; [21.70886076 27.29113924],0
b1,1,0.747311,0.103804,[ 72 116] ; [20 29],[ 72.97890295 115.02109705] ; [19.02109705 29.97890295],0
d5,1,0.768349,0.086751,[142  46] ; [38 11],[142.78481013  45.21518987] ; [37.21518987 11.78481013],0
r3,1,0.873794,0.025231,[173  14] ; [45  4],[172.73728814  14.26271186] ; [45.26271186  3.73728814],0
a7,1,0.915537,0.011248,[135  52] ; [35 14],[134.70338983  52.29661017] ; [35.29661017 13.70338983],0
r2,1,0.933169,0.007032,[174  12] ; [46  3],[174.12765957  11.87234043] ; [45.87234043  3.12765957],0
u2,1,0.934711,0.006711,[33 28] ; [5 4],[33.11428571 27.88571429] ; [4.88571429 4.11428571],0
n3,1,0.968974,0.001513,[33 17] ; [6 3],[33.05084746 16.94915254] ; [5.94915254 3.05084746],0
a2,1,0.975818,0.000919,[ 38 150] ; [10 39],[ 38.07594937 149.92405063] ; [ 9.92405063 39.07594937],0
