Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.107664,[69 25] ; [20 40],[54.32467532 39.67532468] ; [34.67532468 25.32467532],1
d3,1,2e-06,22.589328,[65 29] ; [18 42],[50.66233766 43.33766234] ; [32.33766234 27.66233766],1
d4,1,0.002694,9.003601,[77 17] ; [36 24],[68.97402597 25.02597403] ; [44.02597403 15.97402597],0
b1,1,0.004946,7.898936,[26 68] ; [30 30],[34.18181818 59.81818182] ; [21.81818182 38.18181818],0
r4,1,0.011586,6.37312,[66 28] ; [30 30],[58.5974026 35.4025974] ; [37.4025974 22.5974026],0
a4,1,0.024635,5.049379,[23 71] ; [25 35],[29.2987013 64.7012987] ; [18.7012987 41.2987013],0
d2,1,0.027208,4.877575,[28 66] ; [28 31],[34.40522876 59.59477124] ; [21.59477124 37.40522876],0
n5,1,0.030797,4.664241,[61 32] ; [49 11],[66.8627451 26.1372549] ; [43.1372549 16.8627451],0
d5,1,0.036505,4.373345,[74 20] ; [38 22],[68.36363636 25.63636364] ; [43.63636364 16.36363636],0
b5,1,0.040971,4.177226,[64 30] ; [31 29],[57.98701299 36.01298701] ; [37.01298701 22.98701299],0
r3,1,0.043804,4.064119,[87  6] ; [50 10],[83.2745098  9.7254902] ; [53.7254902  6.2745098],0
b4,1,0.047449,3.929386,[65 29] ; [32 28],[59.20779221 34.79220779] ; [37.79220779 22.20779221],0
p1,1,0.082555,3.013864,[ 6 87] ; [ 9 51],[ 9.11764706 83.88235294] ; [ 5.88235294 54.11764706],0
p10,1,0.087233,2.924707,[78 13] ; [44 15],[74.01333333 16.98666667] ; [47.98666667 11.01333333],0
v4,1,0.110994,2.540007,[84  9] ; [48 11],[80.76315789 12.23684211] ; [51.23684211  7.76315789],0
r2,1,0.124256,2.362838,[75 15] ; [43 16],[71.27516779 18.72483221] ; [46.72483221 12.27516779],0
p2,1,0.128926,2.305394,[77 16] ; [42 16],[73.29139073 19.70860927] ; [45.70860927 12.29139073],0
b2,1,0.129829,2.294544,[21 35] ; [10 33],[17.53535354 38.46464646] ; [13.46464646 29.53535354],0
b3,1,0.129829,2.294544,[21 35] ; [10 33],[17.53535354 38.46464646] ; [13.46464646 29.53535354],0
a2,1,0.158285,1.990532,[11 83] ; [ 3 57],[ 8.54545455 85.45454545] ; [ 5.45454545 54.54545455],0
u1,1,0.170614,1.877541,[ 6 88] ; [ 1 59],[ 4.27272727 89.72727273] ; [ 2.72727273 57.27272727],0
p8,1,0.176199,1.829398,[49 44] ; [24 34],[44.9602649 48.0397351] ; [28.0397351 29.9602649],0
d1,1,0.214889,1.53818,[44 50] ; [22 38],[40.28571429 53.71428571] ; [25.71428571 34.28571429],0
p3,1,0.247137,1.339418,[44 50] ; [22 37],[40.54901961 53.45098039] ; [25.45098039 33.54901961],0
p12,1,0.292272,1.109128,[ 7 86] ; [ 2 57],[ 5.50657895 87.49342105] ; [ 3.49342105 55.50657895],0
a8,1,0.325645,0.966139,[11 79] ; [ 4 52],[ 9.24657534 80.75342466] ; [ 5.75342466 50.24657534],0
s5,1,0.333719,0.934411,[24 66] ; [11 45],[21.57534247 68.42465753] ; [13.42465753 42.57534247],0
n1,1,0.382078,0.764007,[ 8 17] ; [11 14],[ 9.5 15.5] ; [ 9.5 15.5],0
n6,1,0.387108,0.748008,[78 15] ; [47 13],[75.98039216 17.01960784] ; [49.01960784 10.98039216],0
u3,1,0.417792,0.656517,[17 19] ; [ 8 14],[15.51724138 20.48275862] ; [ 9.48275862 12.51724138],0
s6,1,0.420003,0.650308,[56 36] ; [32 27],[53.61589404 38.38410596] ; [34.38410596 24.61589404],0
v1,1,0.472706,0.515643,[40 49] ; [23 36],[37.88513514 51.11486486] ; [25.11486486 33.88513514],0
p9,1,0.517153,0.419568,[81 12] ; [50 10],[79.62745098 13.37254902] ; [51.37254902  8.62745098],0
a1,1,0.547891,0.361108,[ 7 87] ; [ 3 57],[ 6.1038961 87.8961039] ; [ 3.8961039 56.1038961],0
s3,1,0.557047,0.344843,[46 48] ; [26 33],[44.23529412 49.76470588] ; [27.76470588 31.23529412],0
s8,1,0.587872,0.29368,[32 62] ; [23 37],[33.57142857 60.42857143] ; [21.42857143 38.57142857],0
a5,1,0.616154,0.25131,[54 40] ; [32 28],[52.49350649 41.50649351] ; [33.50649351 26.49350649],0
v3,1,0.631436,0.230118,[28 63] ; [16 43],[26.69333333 64.30666667] ; [17.30666667 41.69333333],0
s2,1,0.712921,0.135377,[42 52] ; [25 35],[40.8961039 53.1038961] ; [26.1038961 33.8961039],0
a3,1,0.737257,0.112552,[57 37] ; [38 22],[57.98701299 36.01298701] ; [37.01298701 22.98701299],0
n3,1,0.748774,0.102564,[20  6] ; [19  7],[19.5  6.5] ; [19.5  6.5],0
s1,1,0.76335,0.090652,[ 4 89] ; [ 2 58],[ 3.64705882 89.35294118] ; [ 2.35294118 57.64705882],0
u2,1,0.812199,0.056449,[19 18] ; [12 10],[19.44067797 17.55932203] ; [11.55932203 10.44067797],0
p6,1,0.817597,0.053193,[34 58] ; [20 37],[33.34228188 58.65771812] ; [20.65771812 36.34228188],0
p4,1,0.85862,0.031731,[48 46] ; [31 28],[48.53594771 45.46405229] ; [30.46405229 28.53594771],0
s4,1,0.899536,0.015939,[18 76] ; [11 49],[17.7012987 76.2987013] ; [11.2987013 48.7012987],0
v2,1,0.932845,0.007101,[41 51] ; [25 32],[40.75167785 51.24832215] ; [25.24832215 31.75167785],0
p5,1,0.956887,0.002923,[11 81] ; [ 7 53],[10.89473684 81.10526316] ; [ 7.10526316 52.89473684],0
n4,1,0.974271,0.00104,[64 30] ; [41 19],[64.09090909 29.90909091] ; [40.90909091 19.09090909],0
s7,1,0.977881,0.000769,[36 53] ; [24 35],[36.08108108 52.91891892] ; [23.91891892 35.08108108],0
p7,1,0.980192,0.000616,[49 41] ; [32 27],[48.9261745 41.0738255] ; [32.0738255 26.9261745],0
n2,1,1.0,0.0,[20  6] ; [20  6],[20.  6.] ; [20.  6.],0
