Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,50.507817,[305   9] ; [43 17],[292.17112299  21.82887701] ; [55.82887701  4.17112299],1
r2,1,3e-06,22.14745,[303   8] ; [49 10],[295.87027027  15.12972973] ; [56.12972973  2.87027027],1
a3,1,4.6e-05,16.61592,[240  71] ; [31 29],[227.17250674  83.82749326] ; [43.82749326 16.17250674],1
d2,1,6e-05,16.113868,[172 141] ; [16 44],[157.75871314 155.24128686] ; [30.24128686 29.75871314],1
d1,1,0.000213,13.711825,[210 104] ; [25 35],[197.29946524 116.70053476] ; [37.70053476 22.29946524],1
a5,1,0.000493,12.140637,[253  61] ; [36 24],[242.63636364  71.36363636] ; [46.36363636 13.63636364],1
u1,1,0.000986,10.853091,[ 67 247] ; [ 2 58],[ 57.93048128 256.06951872] ; [11.06951872 48.93048128],1
a4,1,0.001436,10.159392,[153 159] ; [16 44],[141.74193548 170.25806452] ; [27.25806452 32.74193548],0
d5,1,0.002166,9.403001,[261  51] ; [40 20],[252.4516129  59.5483871] ; [48.5483871 11.4516129],0
a2,1,0.005414,7.735775,[ 84 230] ; [ 6 54],[ 75.56149733 238.43850267] ; [14.43850267 45.56149733],0
p2,1,0.007131,7.239598,[294  20] ; [50 10],[288.81283422  25.18716578] ; [55.18716578  4.81283422],0
d3,1,0.00805,7.022351,[226  87] ; [33 27],[217.33780161  95.66219839] ; [41.66219839 18.33780161],0
a7,1,0.016369,5.762757,[235  78] ; [36 24],[227.4075067  85.5924933] ; [43.5924933 16.4075067],0
v4,1,0.017485,5.647046,[308   5] ; [55  4],[305.42741935   7.57258065] ; [57.57258065  1.42741935],0
d4,1,0.018987,5.502703,[267  45] ; [44 16],[260.83870968  51.16129032] ; [50.16129032  9.83870968],0
s5,1,0.023922,5.100311,[130 173] ; [15 41],[122.3816156 180.6183844] ; [22.6183844 33.3816156],0
u3,1,0.026095,4.94973,[46 28] ; [11 18],[40.95145631 33.04854369] ; [16.04854369 12.95145631],0
s1,1,0.037476,4.32867,[  6 306] ; [ 4 56],[  8.38709677 303.61290323] ; [ 1.61290323 58.38709677],0
r3,1,0.041913,4.138722,[300  12] ; [54  6],[296.90322581  15.09677419] ; [57.09677419  2.90322581],0
s8,1,0.04672,3.955457,[172 137] ; [25 35],[164.96747967 144.03252033] ; [32.03252033 27.96747967],0
v1,1,0.068206,3.325677,[201 108] ; [31 28],[194.80434783 114.19565217] ; [37.19565217 21.80434783],0
n4,1,0.084399,2.978087,[285  29] ; [50 10],[281.25668449  32.74331551] ; [53.74331551  6.25668449],0
p7,1,0.084814,2.970158,[261  49] ; [45 15],[256.37837838  53.62162162] ; [49.62162162 10.37837838],0
v2,1,0.103729,2.647246,[189 115] ; [30 29],[183.40495868 120.59504132] ; [35.59504132 23.40495868],0
p4,1,0.10448,2.635792,[248  64] ; [42 18],[243.22580645  68.77419355] ; [46.77419355 13.22580645],0
a6,1,0.109996,2.554275,[215  97] ; [35 25],[209.67741935 102.32258065] ; [40.32258065 19.67741935],0
s6,1,0.113117,2.510125,[224  81] ; [36 21],[219.06077348  85.93922652] ; [40.93922652 16.06077348],0
v3,1,0.127457,2.323213,[145 161] ; [22 38],[139.62295082 166.37704918] ; [27.37704918 32.62295082],0
s7,1,0.142791,2.147623,[174 122] ; [27 29],[169.02272727 126.97727273] ; [31.97727273 24.02272727],0
b2,1,0.154109,2.031101,[ 82 112] ; [11 26],[ 78.1038961 115.8961039] ; [14.8961039 22.1038961],0
b3,1,0.154109,2.031101,[ 82 112] ; [11 26],[ 78.1038961 115.8961039] ; [14.8961039 22.1038961],0
s2,1,0.163272,1.943654,[175 135] ; [28 32],[170.08108108 139.91891892] ; [32.91891892 27.08108108],0
b1,1,0.208433,1.582275,[132 182] ; [20 40],[127.61497326 186.38502674] ; [24.38502674 35.61497326],0
a1,1,0.210441,1.568391,[ 14 300] ; [ 5 55],[ 15.95187166 298.04812834] ; [ 3.04812834 56.95187166],0
n1,1,0.231998,1.428571,[23 22] ; [ 5 10],[21. 24.] ; [7. 8.],0
p3,1,0.233203,1.421219,[207 105] ; [35 25],[202.96774194 109.03225806] ; [39.03225806 20.96774194],0
s4,1,0.233479,1.41954,[ 52 256] ; [14 46],[ 55.23913043 252.76086957] ; [10.76086957 49.23913043],0
b4,1,0.238357,1.390286,[173 141] ; [38 22],[177.14973262 136.85026738] ; [33.85026738 26.14973262],0
a8,1,0.26291,1.253367,[ 51 230] ; [ 7 51],[ 48.07669617 232.92330383] ; [ 9.92330383 48.07669617],0
s3,1,0.299829,1.074954,[187 122] ; [32 28],[183.3902439 125.6097561] ; [35.6097561 24.3902439],0
u4,1,0.459512,0.547083,[ 11 303] ; [ 1 59],[ 10.07486631 303.92513369] ; [ 1.92513369 58.07486631],0
p6,1,0.518072,0.417729,[165 147] ; [29 31],[162.70967742 149.29032258] ; [31.29032258 28.70967742],0
n6,1,0.528002,0.398235,[289  23] ; [56  3],[290.13477089  21.86522911] ; [54.86522911  4.13477089],0
p1,1,0.548623,0.35979,[ 40 273] ; [ 6 54],[ 38.60053619 274.39946381] ; [ 7.39946381 52.60053619],0
b5,1,0.611648,0.257783,[172 142] ; [35 25],[173.79144385 140.20855615] ; [33.20855615 26.79144385],0
n3,1,0.639207,0.21978,[30 15] ; [9 6],[29.25 15.75] ; [9.75 5.25],0
u2,1,0.644029,0.213512,[42 32] ; [15 14],[40.95145631 33.04854369] ; [16.04854369 12.95145631],0
p9,1,0.673276,0.177794,[286  26] ; [54  6],[285.16129032  26.83870968] ; [54.83870968  5.16129032],0
p12,1,0.766795,0.087954,[ 36 277] ; [ 6 53],[ 35.33870968 277.66129032] ; [ 6.66129032 52.33870968],0
p5,1,0.777376,0.079942,[ 63 251] ; [13 47],[ 63.80748663 250.19251337] ; [12.19251337 47.80748663],0
p11,1,0.790152,0.070817,[276  38] ; [52  8],[275.37967914  38.62032086] ; [52.62032086  7.37967914],0
n2,1,0.819484,0.052079,[38  8] ; [12  3],[37.70491803  8.29508197] ; [12.29508197  2.70491803],0
p10,1,0.858086,0.031973,[284  29] ; [54  6],[283.63002681  29.36997319] ; [54.36997319  5.63002681],0
