Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,23.886728,[ 18 276] ; [11 25],[ 25.83636364 268.16363636] ; [ 3.16363636 32.83636364],1
p12,1,2e-06,22.89158,[ 10 284] ; [ 8 27],[ 16.08510638 277.91489362] ; [ 1.91489362 33.08510638],1
p3,1,1.2e-05,19.153626,[124 171] ; [29  7],[136.35951662 158.64048338] ; [16.64048338 19.35951662],1
a1,1,0.000174,14.097442,[  6 290] ; [ 5 31],[  9.80722892 286.19277108] ; [ 1.19277108 34.80722892],1
p8,1,0.000326,12.916261,[150 145] ; [29  6],[160.01515152 134.98484848] ; [18.98484848 16.01515152],1
s7,1,0.000505,12.098297,[120 165] ; [25  9],[129.54545455 155.45454545] ; [15.45454545 18.54545455],1
p6,1,0.000553,11.927602,[101 193] ; [23 13],[110.47272727 183.52727273] ; [13.52727273 22.47272727],1
s6,1,0.00056,11.90394,[184 110] ; [29  2],[192.68307692 101.31692308] ; [20.31692308 10.68307692],1
s5,1,0.000798,11.246223,[ 88 205] ; [19 13],[ 96.46461538 196.53538462] ; [10.53538462 21.46461538],1
p4,1,0.002417,9.202662,[169 127] ; [30  6],[177.42168675 118.57831325] ; [21.57831325 14.42168675],0
n4,1,0.002483,9.153278,[209  86] ; [34  2],[216.57099698  78.42900302] ; [26.42900302  9.57099698],0
n6,1,0.011334,6.412249,[236  59] ; [35  1],[241.52567976  53.47432024] ; [29.47432024  6.52567976],0
v3,1,0.012474,6.242245,[ 42 251] ; [11 25],[ 47.2006079 245.7993921] ; [ 5.7993921 30.2006079],0
p9,1,0.016736,5.72383,[238  56] ; [34  1],[243.06382979  50.93617021] ; [28.93617021  6.06382979],0
s2,1,0.016814,5.715667,[134 160] ; [24 12],[140.76363636 153.23636364] ; [17.23636364 18.76363636],0
s8,1,0.017645,5.631055,[108 188] ; [20 15],[114.4652568 181.5347432] ; [13.5347432 21.4652568],0
n5,1,0.040848,4.18232,[206  89] ; [31  5],[211.22356495  83.77643505] ; [25.77643505 10.22356495],0
b5,1,0.04908,3.872626,[182 114] ; [16 20],[176.53012048 119.46987952] ; [21.46987952 14.53012048],0
v1,1,0.062137,3.479417,[107 186] ; [18 16],[112.0030581 180.9969419] ; [12.9969419 21.0030581],0
s3,1,0.101185,2.686767,[162 132] ; [25 11],[166.6 127.4] ; [20.4 15.6],0
n1,1,0.101774,2.677517,[26 52] ; [5 3],[28.11627907 49.88372093] ; [2.88372093 5.11627907],0
s1,1,0.114653,2.488887,[  9 282] ; [ 3 33],[ 10.67889908 280.32110092] ; [ 1.32110092 34.67889908],0
d1,1,0.126717,2.332268,[141 155] ; [22 14],[145.3253012 150.6746988] ; [17.6746988 18.3253012],0
