Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000419,12.443581,[13  4] ; [15 38],[ 6.8 10.2] ; [21.2 31.8],1
p7,1,0.001259,10.402306,[12  5] ; [14 38],[ 6.4057971 10.5942029] ; [19.5942029 32.4057971],0
u2,1,0.004228,8.183235,[7 3] ; [ 4 18],[3.4375 6.5625] ; [ 7.5625 14.4375],0
p3,1,0.011402,6.401524,[9 9] ; [10 42],[ 4.88571429 13.11428571] ; [14.11428571 37.88571429],0
u3,1,0.02767,4.848485,[5 5] ; [ 3 19],[2.5 7.5] ; [ 5.5 16.5],0
s8,1,0.032623,4.565438,[ 7 11] ; [ 8 45],[ 3.8028169 14.1971831] ; [11.1971831 41.8028169],0
v4,1,0.047701,3.920495,[13  4] ; [26 27],[9.47142857 7.52857143] ; [29.52857143 23.47142857],0
r3,1,0.064896,3.407625,[12  6] ; [22 31],[8.61971831 9.38028169] ; [25.38028169 27.61971831],0
p6,1,0.067402,3.345184,[ 6 12] ; [ 7 44],[ 3.39130435 14.60869565] ; [ 9.60869565 41.39130435],0
p10,1,0.074717,3.176219,[12  6] ; [22 30],[8.74285714 9.25714286] ; [25.25714286 26.74285714],0
b2,1,0.09702,2.753867,[ 2 10] ; [16 21],[4.40816327 7.59183673] ; [13.59183673 23.40816327],0
b3,1,0.09702,2.753867,[ 2 10] ; [16 21],[4.40816327 7.59183673] ; [13.59183673 23.40816327],0
n2,1,0.100657,2.69511,[7 2] ; [13 15],[4.86486486 4.13513514] ; [15.13513514 12.86486486],0
p11,1,0.11692,2.458101,[12  6] ; [24 29],[9.12676056 8.87323944] ; [26.87323944 26.12676056],0
p2,1,0.154221,2.029995,[13  5] ; [27 24],[10.43478261  7.56521739] ; [29.56521739 21.43478261],0
d1,1,0.209239,1.576683,[ 3 15] ; [17 36],[ 5.07042254 12.92957746] ; [14.92957746 38.07042254],0
d4,1,0.238967,1.386677,[ 8 10] ; [32 21],[10.14084507  7.85915493] ; [29.85915493 23.14084507],0
p5,1,0.252414,1.309894,[ 2 16] ; [ 2 50],[ 1.02857143 16.97142857] ; [ 2.97142857 49.02857143],0
a3,1,0.264068,1.247305,[ 8 10] ; [31 21],[10.02857143  7.97142857] ; [28.97142857 23.02857143],0
s2,1,0.269295,1.220334,[ 8 10] ; [16 37],[ 6.08450704 11.91549296] ; [17.91549296 35.08450704],0
b4,1,0.300767,1.070792,[ 8 10] ; [31 22],[9.88732394 8.11267606] ; [29.11267606 23.88732394],0
v2,1,0.303435,1.059037,[ 7 11] ; [13 37],[ 5.29411765 12.70588235] ; [14.70588235 35.29411765],0
s7,1,0.316395,1.003792,[ 8 10] ; [15 33],[ 6.27272727 11.72727273] ; [16.72727273 31.27272727],0
r2,1,0.327484,0.958822,[7 9] ; [30 22],[8.70588235 7.29411765] ; [28.29411765 23.70588235],0
a4,1,0.328967,0.952959,[ 4 14] ; [18 34],[ 5.65714286 12.34285714] ; [16.34285714 35.65714286],0
s6,1,0.342485,0.901107,[ 8 10] ; [17 36],[ 6.33802817 11.66197183] ; [18.66197183 34.33802817],0
d2,1,0.34347,0.897436,[ 6 12] ; [24 28],[ 7.71428571 10.28571429] ; [22.28571429 29.71428571],0
a8,1,0.370363,0.802448,[ 1 15] ; [ 1 51],[ 0.47058824 15.52941176] ; [ 1.52941176 50.47058824],0
p12,1,0.416333,0.660643,[ 1 17] ; [ 1 52],[ 0.50704225 17.49295775] ; [ 1.49295775 51.50704225],0
a6,1,0.425127,0.636098,[ 8 10] ; [18 35],[ 6.5915493 11.4084507] ; [19.4084507 33.5915493],0
s4,1,0.485688,0.486065,[ 4 14] ; [ 8 45],[ 3.04225352 14.95774648] ; [ 8.95774648 44.04225352],0
p9,1,0.505714,0.442926,[11  7] ; [26 24],[9.79411765 8.20588235] ; [27.20588235 22.79411765],0
b5,1,0.538663,0.378024,[10  8] ; [25 28],[8.87323944 9.12676056] ; [26.12676056 26.87323944],0
a5,1,0.54182,0.372177,[ 7 11] ; [25 28],[8.11267606 9.88732394] ; [23.88732394 29.11267606],0
n5,1,0.572913,0.317832,[12  6] ; [39 14],[12.92957746  5.07042254] ; [38.07042254 14.92957746],0
n6,1,0.596312,0.280594,[12  6] ; [31 21],[11.05714286  6.94285714] ; [31.94285714 20.05714286],0
n4,1,0.597516,0.278758,[11  7] ; [36 17],[11.91549296  6.08450704] ; [35.08450704 17.91549296],0
p1,1,0.609266,0.261245,[ 1 17] ; [ 5 48],[ 1.52112676 16.47887324] ; [ 4.47887324 48.52112676],0
d3,1,0.628088,0.234663,[ 5 13] ; [18 35],[ 5.83098592 12.16901408] ; [17.16901408 35.83098592],0
n1,1,0.638512,0.220694,[4 5] ; [10 18],[3.40540541 5.59459459] ; [10.59459459 17.40540541],0
v1,1,0.670499,0.181019,[ 7 11] ; [17 34],[ 6.26086957 11.73913043] ; [17.73913043 33.26086957],0
n3,1,0.700311,0.148148,[4 5] ; [14 13],[4.5 4.5] ; [13.5 13.5],0
r1,1,0.723865,0.124819,[ 4 14] ; [14 39],[ 4.56338028 13.43661972] ; [13.43661972 39.56338028],0
s3,1,0.731915,0.117361,[ 7 10] ; [19 33],[ 6.4057971 10.5942029] ; [19.5942029 32.4057971],0
a2,1,0.745404,0.105433,[ 1 17] ; [ 2 51],[ 0.76056338 17.23943662] ; [ 2.23943662 50.76056338],0
s1,1,0.775389,0.081415,[ 1 17] ; [ 4 49],[ 1.26760563 16.73239437] ; [ 3.73239437 49.26760563],0
v3,1,0.834733,0.043529,[ 3 15] ; [10 43],[ 3.29577465 14.70422535] ; [ 9.70422535 43.29577465],0
s5,1,0.873445,0.025372,[ 3 15] ; [ 8 45],[ 2.78873239 15.21126761] ; [ 8.21126761 44.78873239],0
b1,1,0.930621,0.00758,[11  7] ; [33 20],[11.15492958  6.84507042] ; [32.84507042 20.15492958],0
d5,1,0.944855,0.004784,[9 9] ; [26 27],[8.87323944 9.12676056] ; [26.12676056 26.87323944],0
