Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.004465,8.084211,[9 1] ; [15 23],[5. 5.] ; [19. 19.],0
p7,1,0.004465,8.084211,[9 1] ; [15 23],[5. 5.] ; [19. 19.],0
p2,1,0.015607,5.846617,[9 1] ; [18 20],[5.625 4.375] ; [21.375 16.625],0
p4,1,0.017036,5.692632,[7 3] ; [11 27],[3.75 6.25] ; [14.25 23.75],0
b1,1,0.022439,5.211429,[9 1] ; [19 19],[5.83333333 4.16666667] ; [22.16666667 15.83333333],0
p3,1,0.040174,4.210526,[5 5] ; [ 7 31],[2.5 7.5] ; [ 9.5 28.5],0
a3,1,0.05551,3.666693,[2 8] ; [20 17],[4.68085106 5.31914894] ; [17.31914894 19.68085106],0
u2,1,0.089192,2.888889,[6 2] ; [ 7 11],[4. 4.] ; [9. 9.],0
s5,1,0.101118,2.687814,[2 7] ; [ 2 36],[0.76595745 8.23404255] ; [ 3.23404255 34.76595745],0
u3,1,0.149173,2.080688,[2 6] ; [10  8],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
p8,1,0.15514,2.020971,[6 4] ; [13 24],[4.04255319 5.95744681] ; [14.95744681 22.04255319],0
v2,1,0.160237,1.971989,[5 5] ; [ 9 25],[3.18181818 6.81818182] ; [10.81818182 23.18181818],0
d5,1,0.186284,1.746767,[6 4] ; [14 24],[4.16666667 5.83333333] ; [15.83333333 22.16666667],0
a5,1,0.202431,1.624751,[3 7] ; [20 18],[4.79166667 5.20833333] ; [18.20833333 19.79166667],0
a8,1,0.222446,1.488523,[2 7] ; [ 3 34],[0.97826087 8.02173913] ; [ 4.02173913 32.97826087],0
p9,1,0.229911,1.44141,[7 3] ; [18 19],[5.31914894 4.68085106] ; [19.68085106 17.31914894],0
b4,1,0.244338,1.355388,[6 4] ; [15 23],[4.375 5.625] ; [16.625 21.375],0
r3,1,0.251936,1.312534,[8 2] ; [23 15],[6.45833333 3.54166667] ; [24.54166667 13.45833333],0
p11,1,0.258733,1.275524,[7 3] ; [19 19],[5.41666667 4.58333333] ; [20.58333333 17.41666667],0
v1,1,0.304971,1.052332,[5 5] ; [12 25],[3.61702128 6.38297872] ; [13.38297872 23.61702128],0
p10,1,0.346073,0.887803,[6 4] ; [16 21],[4.68085106 5.31914894] ; [17.31914894 19.68085106],0
s3,1,0.388346,0.744115,[2 8] ; [13 25],[3.125 6.875] ; [11.875 26.125],0
n3,1,0.393921,0.726803,[5 1] ; [11  6],[4.17391304 1.82608696] ; [11.82608696  5.17391304],0
s2,1,0.42243,0.643546,[3 7] ; [ 7 31],[2.08333333 7.91666667] ; [ 7.91666667 30.08333333],0
n2,1,0.465209,0.533333,[3 3] ; [12  6],[3.75 2.25] ; [11.25  6.75],0
d2,1,0.473518,0.513755,[2 8] ; [12 26],[2.91666667 7.08333333] ; [11.08333333 26.91666667],0
r4,1,0.477197,0.505263,[4 6] ; [20 18],[5. 5.] ; [19. 19.],0
v4,1,0.511942,0.430096,[8 2] ; [25 11],[7.17391304 2.82608696] ; [25.82608696 10.17391304],0
n1,1,0.559847,0.33997,[2 4] ; [8 9],[2.60869565 3.39130435] ; [7.39130435 9.60869565],0
r2,1,0.578747,0.308265,[7 3] ; [29  8],[7.65957447 2.34042553] ; [28.34042553  8.65957447],0
b2,1,0.726095,0.122727,[2 3] ; [ 7 15],[1.66666667 3.33333333] ; [ 7.33333333 14.66666667],0
b3,1,0.726095,0.122727,[2 3] ; [ 7 15],[1.66666667 3.33333333] ; [ 7.33333333 14.66666667],0
n5,1,0.733301,0.116102,[6 3] ; [23 15],[5.55319149 3.44680851] ; [23.44680851 14.55319149],0
s6,1,0.733404,0.116009,[4 6] ; [13 25],[3.54166667 6.45833333] ; [13.45833333 24.54166667],0
p1,1,0.75057,0.101053,[2 8] ; [ 6 32],[1.66666667 8.33333333] ; [ 6.33333333 31.66666667],0
n4,1,0.766308,0.088333,[5 5] ; [21 17],[5.41666667 4.58333333] ; [20.58333333 17.41666667],0
v3,1,0.774447,0.082118,[2 8] ; [ 9 28],[2.34042553 7.65957447] ; [ 8.65957447 28.34042553],0
a7,1,0.788188,0.07218,[4 6] ; [17 21],[4.375 5.625] ; [16.625 21.375],0
s4,1,0.788188,0.07218,[1 9] ; [ 5 33],[1.25 8.75] ; [ 4.75 33.25],0
d3,1,0.794405,0.06791,[2 7] ; [ 7 31],[1.72340426 7.27659574] ; [ 7.27659574 30.72340426],0
a6,1,0.904364,0.014436,[6 4] ; [22 16],[5.83333333 4.16666667] ; [22.16666667 15.83333333],0
s8,1,0.941863,0.005319,[2 8] ; [ 8 30],[2.08333333 7.91666667] ; [ 7.91666667 30.08333333],0
a4,1,0.948046,0.004246,[3 7] ; [11 27],[2.91666667 7.08333333] ; [11.08333333 26.91666667],0
a2,1,0.961336,0.00235,[1 9] ; [ 4 34],[1.04166667 8.95833333] ; [ 3.95833333 34.04166667],0
s7,1,1.0,0.0,[2 7] ; [ 8 28],[2. 7.] ; [ 8. 28.],0
r1,1,1.0,0.0,[5 5] ; [19 19],[5. 5.] ; [19. 19.],0
