Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000146,14.427846,[97  8] ; [30 14],[89.4966443 15.5033557] ; [37.5033557  6.4966443],1
p11,1,0.000195,13.881255,[81 26] ; [20 25],[71.09868421 35.90131579] ; [29.90131579 15.09868421],1
r3,1,0.000667,11.579291,[93 13] ; [28 16],[85.50666667 20.49333333] ; [35.49333333  8.50666667],1
p7,1,0.000849,11.131718,[64 42] ; [13 30],[54.77852349 51.22147651] ; [22.22147651 20.77852349],1
p9,1,0.000966,10.892042,[81 26] ; [20 22],[72.53020134 34.46979866] ; [28.46979866 13.53020134],1
p10,1,0.001548,10.020506,[76 30] ; [19 24],[67.58389262 38.41610738] ; [27.41610738 15.58389262],0
p4,1,0.001567,9.997826,[56 51] ; [11 34],[47.16447368 59.83552632] ; [19.83552632 25.16447368],0
n6,1,0.003033,8.787523,[84 23] ; [24 20],[76.52980132 30.47019868] ; [31.47019868 12.52980132],0
a1,1,0.003266,8.652375,[  1 106] ; [ 5 40],[  4.22368421 102.77631579] ; [ 1.77631579 43.22368421],0
s1,1,0.003754,8.39912,[  2 103] ; [ 6 38],[ 5.63758389 99.36241611] ; [ 2.36241611 41.63758389],0
p8,1,0.011584,6.373488,[47 58] ; [10 34],[40.16778523 64.83221477] ; [16.83221477 27.16778523],0
r4,1,0.013389,6.116995,[83 24] ; [26 19],[76.73026316 30.26973684] ; [32.26973684 12.73026316],0
a7,1,0.022055,5.241477,[65 41] ; [18 26],[58.65333333 47.34666667] ; [24.34666667 19.65333333],0
d5,1,0.025065,5.019423,[54 52] ; [14 31],[47.73509934 58.26490066] ; [20.26490066 24.73509934],0
p6,1,0.033148,4.538094,[29 77] ; [ 5 39],[24.02666667 81.97333333] ; [ 9.97333333 34.02666667],0
s7,1,0.060297,3.529194,[33 70] ; [ 7 35],[28.4137931 74.5862069] ; [11.5862069 30.4137931],0
n1,1,0.066212,3.374508,[ 9 22] ; [10  8],[12.02040816 18.97959184] ; [ 6.97959184 11.02040816],0
p3,1,0.067205,3.350008,[45 61] ; [12 33],[40.01324503 65.98675497] ; [16.98675497 28.01324503],0
b3,1,0.075109,3.167677,[13 53] ; [11 19],[16.5 49.5] ; [ 7.5 22.5],0
b2,1,0.075109,3.167677,[13 53] ; [11 19],[16.5 49.5] ; [ 7.5 22.5],0
s3,1,0.075495,3.159302,[50 55] ; [14 30],[45.10067114 59.89932886] ; [18.89932886 25.10067114],0
d3,1,0.085598,2.955279,[33 72] ; [ 8 37],[28.7 76.3] ; [12.3 32.7],0
s6,1,0.103686,2.647909,[51 56] ; [15 30],[46.46052632 60.53947368] ; [19.53947368 25.46052632],0
v1,1,0.117112,2.455524,[50 54] ; [15 29],[45.67567568 58.32432432] ; [19.32432432 24.67567568],0
s8,1,0.121085,2.403228,[32 75] ; [ 8 37],[28.15789474 78.84210526] ; [11.84210526 33.15789474],0
r1,1,0.125385,2.348728,[65 41] ; [21 23],[60.77333333 45.22666667] ; [25.22666667 18.77333333],0
a6,1,0.136139,2.221064,[64 43] ; [21 24],[59.83552632 47.16447368] ; [25.16447368 19.83552632],0
b1,1,0.144734,2.126895,[41 66] ; [23 22],[45.05263158 61.94736842] ; [18.94736842 26.05263158],0
b5,1,0.153163,2.040468,[68 39] ; [23 22],[64.05921053 42.94078947] ; [26.94078947 18.05921053],0
n5,1,0.184824,1.758403,[73 33] ; [35  9],[76.32 29.68] ; [31.68 12.32],0
r2,1,0.199415,1.646655,[91 15] ; [34 10],[88.33333333 17.66666667] ; [36.66666667  7.33333333],0
n3,1,0.222579,1.487666,[25  6] ; [11  6],[23.25  7.75] ; [12.75  4.25],0
u2,1,0.257182,1.283864,[25 30] ; [ 8 17],[22.6875 32.3125] ; [10.3125 14.6875],0
v2,1,0.263451,1.250529,[40 62] ; [12 29],[37.09090909 64.90909091] ; [14.90909091 26.09090909],0
d2,1,0.265548,1.239602,[22 85] ; [13 32],[24.63815789 82.36184211] ; [10.36184211 34.63815789],0
u3,1,0.408328,0.683664,[21 34] ; [12 13],[22.6875 32.3125] ; [10.3125 14.6875],0
b4,1,0.40991,0.679063,[53 54] ; [19 26],[50.68421053 56.31578947] ; [21.31578947 23.68421053],0
n4,1,0.417937,0.656108,[73 34] ; [27 17],[70.86092715 36.13907285] ; [29.13907285 14.86092715],0
v3,1,0.472934,0.515112,[26 80] ; [13 30],[27.74496644 78.25503356] ; [11.25503356 31.74496644],0
s4,1,0.517635,0.418604,[16 90] ; [ 5 40],[14.74172185 91.25827815] ; [ 6.25827815 38.74172185],0
p1,1,0.560378,0.33905,[13 94] ; [ 4 41],[11.96710526 95.03289474] ; [ 5.03289474 39.96710526],0
n2,1,0.565544,0.330196,[22  9] ; [12  7],[21.08  9.92] ; [12.92  6.08],0
a2,1,0.589762,0.290716,[10 97] ; [ 3 42],[ 9.15131579 97.84868421] ; [ 3.84868421 41.15131579],0
a5,1,0.594019,0.284112,[55 52] ; [21 24],[53.5 53.5] ; [22.5 22.5],0
s2,1,0.625917,0.237639,[30 76] ; [11 34],[28.78145695 77.21854305] ; [12.21854305 32.78145695],0
d1,1,0.632356,0.228879,[  4 103] ; [ 1 44],[  3.51973684 103.48026316] ; [ 1.48026316 43.51973684],0
a4,1,0.660109,0.193391,[23 83] ; [11 33],[24.02666667 81.97333333] ; [ 9.97333333 34.02666667],0
a3,1,0.817081,0.0535,[52 55] ; [20 23],[51.36 55.64] ; [20.64 22.36],0
p5,1,0.817529,0.053234,[  4 103] ; [ 2 42],[  4.25165563 102.74834437] ; [ 1.74834437 42.25165563],0
p12,1,0.838273,0.041658,[  4 103] ; [ 2 43],[  4.22368421 102.77631579] ; [ 1.77631579 43.22368421],0
u1,1,0.886399,0.02041,[  2 105] ; [ 1 44],[  2.11184211 104.88815789] ; [ 0.88815789 44.11184211],0
a8,1,0.989148,0.000185,[ 9 87] ; [ 4 39],[ 8.97841727 87.02158273] ; [ 4.02158273 38.97841727],0
