Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5e-05,16.431414,[65  8] ; [14 13],[57.67 15.33] ; [21.33  5.67],1
p7,1,0.000143,14.458174,[48 26] ; [ 6 21],[39.56435644 34.43564356] ; [14.43564356 12.56435644],1
s7,1,0.00041,12.485492,[43 26] ; [ 6 21],[35.21875 33.78125] ; [13.78125 13.21875],1
p4,1,0.003721,8.415133,[46 28] ; [ 8 19],[39.56435644 34.43564356] ; [14.43564356 12.56435644],0
p11,1,0.004645,8.012771,[62 12] ; [16 12],[56.58823529 17.41176471] ; [21.41176471  6.58823529],0
s3,1,0.006919,7.293903,[47 27] ; [ 9 18],[41.02970297 32.97029703] ; [14.97029703 12.02970297],0
p8,1,0.014195,6.013781,[47 26] ; [10 17],[41.61 31.39] ; [15.39 11.61],0
p6,1,0.016429,5.756345,[29 45] ; [ 4 24],[23.94117647 50.05882353] ; [ 9.05882353 18.94117647],0
p10,1,0.017132,5.68284,[60 13] ; [16 11],[55.48 17.52] ; [20.52  6.48],0
s8,1,0.020809,5.342698,[31 42] ; [ 5 23],[26.01980198 46.98019802] ; [ 9.98019802 18.01980198],0
s2,1,0.034292,4.480076,[39 34] ; [ 8 19],[34.31 38.69] ; [12.69 14.31],0
b5,1,0.037844,4.31201,[46 28] ; [11 17],[41.35294118 32.64705882] ; [15.64705882 12.35294118],0
r3,1,0.055737,3.659887,[67  6] ; [21  6],[64.24  8.76] ; [23.76  3.24],0
r4,1,0.070964,3.260578,[66  8] ; [21  7],[63.11764706 10.88235294] ; [23.88235294  4.11764706],0
v4,1,0.07986,3.067752,[69  5] ; [22  5],[66.67326733  7.32673267] ; [24.32673267  2.67326733],0
r2,1,0.09006,2.873295,[67  7] ; [21  6],[64.47524752  9.52475248] ; [23.52475248  3.47524752],0
a7,1,0.095891,2.772588,[54 20] ; [15 12],[50.55445545 23.44554455] ; [18.44554455  8.55445545],0
a6,1,0.099454,2.714276,[57 17] ; [17 11],[53.68627451 20.31372549] ; [20.31372549  7.68627451],0
s6,1,0.122987,2.378863,[45 28] ; [12 15],[41.61 31.39] ; [15.39 11.61],0
d3,1,0.125389,2.34868,[39 35] ; [10 18],[35.54901961 38.45098039] ; [13.45098039 14.54901961],0
b4,1,0.150995,2.062173,[46 28] ; [13 15],[42.80392157 31.19607843] ; [16.19607843 11.80392157],0
p3,1,0.157952,1.993726,[38 36] ; [10 18],[34.82352941 39.17647059] ; [13.17647059 14.82352941],0
n6,1,0.197567,1.66027,[60 13] ; [19  8],[57.67 15.33] ; [21.33  5.67],0
a2,1,0.234681,1.412262,[12 62] ; [ 2 26],[10.15686275 63.84313725] ; [ 3.84313725 24.15686275],0
v3,1,0.245557,1.348407,[27 46] ; [13 13],[29.49494949 43.50505051] ; [10.50505051 15.49494949],0
d1,1,0.249996,1.323328,[ 8 66] ; [ 1 27],[ 6.52941176 67.47058824] ; [ 2.47058824 25.52941176],0
d4,1,0.257639,1.281401,[41 33] ; [12 16],[38.45098039 35.54901961] ; [14.54901961 13.45098039],0
r1,1,0.269139,1.22113,[62 12] ; [20  7],[60.07920792 13.92079208] ; [21.92079208  5.07920792],0
n1,1,0.348861,0.877595,[5 9] ; [5 4],[6.08695652 7.91304348] ; [3.91304348 5.08695652],0
a8,1,0.403186,0.698803,[ 8 59] ; [ 5 22],[ 9.26595745 57.73404255] ; [ 3.73404255 23.26595745],0
v1,1,0.443497,0.587219,[37 35] ; [12 16],[35.28 36.72] ; [13.72 14.28],0
n2,1,0.458902,0.548571,[11  3] ; [9 1],[11.66666667  2.33333333] ; [8.33333333 1.66666667],0
s5,1,0.504629,0.445188,[24 49] ; [ 7 20],[22.63 50.37] ; [ 8.37 18.63],0
s1,1,0.511963,0.430053,[ 3 69] ; [ 2 25],[ 3.63636364 68.36363636] ; [ 1.36363636 25.63636364],0
a4,1,0.521787,0.410359,[23 50] ; [ 7 21],[21.68316832 51.31683168] ; [ 8.31683168 19.68316832],0
d2,1,0.547495,0.361824,[23 51] ; [ 7 21],[21.76470588 52.23529412] ; [ 8.23529412 19.76470588],0
a3,1,0.572206,0.319005,[51 23] ; [17 10],[49.82178218 24.17821782] ; [18.17821782  8.82178218],0
p1,1,0.710756,0.137523,[11 63] ; [ 5 23],[11.60784314 62.39215686] ; [ 4.39215686 23.60784314],0
u2,1,0.713926,0.134387,[12 11] ; [5 6],[11.5 11.5] ; [5.5 5.5],0
a1,1,0.739278,0.110763,[ 4 70] ; [ 2 26],[ 4.35294118 69.64705882] ; [ 1.64705882 26.35294118],0
