Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.00031,13.011771,[14  6] ; [25 66],[ 7.02702703 12.97297297] ; [31.97297297 59.02702703],1
p4,1,0.000907,11.008269,[14  7] ; [27 68],[ 7.42241379 13.57758621] ; [33.57758621 61.42241379],1
p3,1,0.001365,10.252966,[11 10] ; [18 77],[ 5.25 15.75] ; [23.75 71.25],0
s8,1,0.001911,9.633224,[ 9 11] ; [14 82],[ 3.96551724 16.03448276] ; [19.03448276 76.96551724],0
p2,1,0.003695,8.427968,[18  3] ; [48 46],[12.05217391  8.94782609] ; [53.94782609 40.05217391],0
v2,1,0.008419,6.942155,[13  7] ; [31 62],[ 7.78761062 12.21238938] ; [36.21238938 56.78761062],0
p11,1,0.009139,6.795521,[16  5] ; [43 53],[10.58974359 10.41025641] ; [48.41025641 47.58974359],0
r3,1,0.01816,5.580676,[16  4] ; [47 45],[11.25  8.75] ; [51.75 40.25],0
u2,1,0.019062,5.4958,[6 2] ; [12 27],[3.06382979 4.93617021] ; [14.93617021 24.06382979],0
n5,1,0.01925,5.478661,[17  3] ; [53 40],[12.38938053  7.61061947] ; [57.61061947 35.38938053],0
p8,1,0.023228,5.151402,[10 11] ; [22 73],[ 5.79310345 15.20689655] ; [26.20689655 68.79310345],0
p12,1,0.026876,4.89879,[ 2 19] ; [ 1 94],[ 0.54310345 20.45689655] ; [ 2.45689655 92.54310345],0
p9,1,0.028434,4.801565,[17  4] ; [50 41],[12.5625  8.4375] ; [54.4375 36.5625],0
s7,1,0.031538,4.623411,[8 8] ; [22 70],[ 4.44444444 11.55555556] ; [25.55555556 66.44444444],0
b5,1,0.050732,3.817105,[15  6] ; [46 50],[10.94871795 10.05128205] ; [50.05128205 45.94871795],0
s2,1,0.059346,3.555579,[ 9 11] ; [23 72],[ 5.56521739 14.43478261] ; [26.43478261 68.56521739],0
p5,1,0.065332,3.396562,[ 4 17] ; [ 6 87],[ 1.84210526 19.15789474] ; [ 8.15789474 84.84210526],0
d5,1,0.075565,3.157806,[17  4] ; [58 38],[13.46153846  7.53846154] ; [61.53846154 34.46153846],0
s6,1,0.0761,3.146293,[10 10] ; [28 67],[ 6.60869565 13.39130435] ; [31.39130435 63.60869565],0
d3,1,0.164457,1.932758,[ 7 13] ; [50 46],[ 9.82758621 10.17241379] ; [47.17241379 48.82758621],0
v3,1,0.165708,1.92135,[ 8 13] ; [22 72],[ 5.47826087 15.52173913] ; [24.52173913 69.47826087],0
n6,1,0.196447,1.668592,[15  6] ; [51 40],[12.375  8.625] ; [53.625 37.375],0
p10,1,0.239688,1.382429,[13  7] ; [47 46],[10.61946903  9.38053097] ; [49.38053097 43.61946903],0
a5,1,0.257957,1.279688,[14  7] ; [51 45],[11.66666667  9.33333333] ; [53.33333333 42.66666667],0
d4,1,0.275904,1.187154,[12  9] ; [66 29],[14.12068966  6.87931034] ; [63.87931034 31.12068966],0
r2,1,0.295676,1.093597,[14  6] ; [51 38],[11.9266055  8.0733945] ; [53.0733945 35.9266055],0
u1,1,0.299073,1.078325,[ 3 18] ; [ 7 89],[ 1.79487179 19.20512821] ; [ 8.20512821 87.79487179],0
a1,1,0.306744,1.044643,[ 1 20] ; [12 84],[ 2.33333333 18.66666667] ; [10.66666667 85.33333333],0
a6,1,0.322548,0.978588,[13  8] ; [48 48],[10.94871795 10.05128205] ; [50.05128205 45.94871795],0
a2,1,0.346034,0.887946,[ 4 17] ; [11 85],[ 2.69230769 18.30769231] ; [12.30769231 83.69230769],0
u3,1,0.34864,0.8784,[1 6] ; [13 28],[2.04166667 4.95833333] ; [11.95833333 29.04166667],0
b1,1,0.366276,0.816261,[13  8] ; [49 47],[11.12820513  9.87179487] ; [50.87179487 45.12820513],0
a4,1,0.372298,0.795979,[ 9 12] ; [31 64],[ 7.24137931 13.75862069] ; [32.75862069 62.24137931],0
b4,1,0.38982,0.739502,[11 10] ; [60 36],[12.74358974  8.25641026] ; [58.25641026 37.74358974],0
p1,1,0.414528,0.665777,[ 1 20] ; [10 85],[ 1.99137931 19.00862069] ; [ 9.00862069 85.99137931],0
v1,1,0.444613,0.584348,[ 9 11] ; [33 59],[ 7.5 12.5] ; [34.5 57.5],0
n4,1,0.512847,0.428253,[14  7] ; [56 39],[12.67241379  8.32758621] ; [57.32758621 37.67241379],0
s3,1,0.548385,0.360218,[ 8 12] ; [30 61],[ 6.84684685 13.15315315] ; [31.15315315 59.84684685],0
v4,1,0.613834,0.25463,[13  7] ; [53 37],[12.  8.] ; [54. 36.],0
a8,1,0.648806,0.207409,[ 1 19] ; [ 7 81],[ 1.48148148 18.51851852] ; [ 6.51851852 81.48148148],0
b3,1,0.666515,0.185706,[5 7] ; [20 37],[4.34782609 7.65217391] ; [20.65217391 36.34782609],0
b2,1,0.666515,0.185706,[5 7] ; [20 37],[4.34782609 7.65217391] ; [20.65217391 36.34782609],0
r1,1,0.695884,0.152789,[ 6 15] ; [31 63],[ 6.75652174 14.24347826] ; [30.24347826 63.75652174],0
d2,1,0.698722,0.149805,[ 9 12] ; [36 58],[ 8.2173913 12.7826087] ; [36.7826087 57.2173913],0
n2,1,0.708023,0.14026,[6 3] ; [27 18],[5.5 3.5] ; [27.5 17.5],0
n3,1,0.761303,0.092276,[5 4] ; [22 22],[4.58490566 4.41509434] ; [22.41509434 21.58490566],0
s5,1,0.770519,0.085087,[ 3 17] ; [17 79],[ 3.44827586 16.55172414] ; [16.55172414 79.44827586],0
a3,1,0.774837,0.081826,[13  8] ; [55 39],[12.4173913  8.5826087] ; [55.5826087 38.4173913],0
