Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,66.408751,[42 15] ; [ 26 138],[17.53846154 39.46153846] ; [ 50.46153846 113.53846154],1
s6,1,0.0,34.741451,[49  9] ; [ 67 102],[29.63876652 28.36123348] ; [86.36123348 82.63876652],1
s2,1,5e-06,20.995379,[36 22] ; [ 48 121],[21.46255507 36.53744493] ; [ 62.53744493 106.46255507],1
s3,1,9e-05,15.336967,[40 18] ; [ 65 101],[27.1875 30.8125] ; [77.8125 88.1875],1
s5,1,0.000197,13.862948,[23 33] ; [ 28 138],[12.86486486 43.13513514] ; [ 38.13513514 127.86486486],1
p10,1,0.000484,12.175628,[47 10] ; [94 72],[36.04035874 20.95964126] ; [104.95964126  61.04035874],1
r4,1,0.000551,11.935387,[53  5] ; [117  54],[43.05676856 14.94323144] ; [126.94323144  44.05676856],1
v2,1,0.000555,11.91985,[33 21] ; [ 55 105],[22.20560748 31.79439252] ; [65.79439252 94.20560748],1
u3,1,0.000643,11.648088,[15  3] ; [35 54],[8.41121495 9.58878505] ; [41.58878505 47.41121495],1
r1,1,0.00074,11.386471,[47 10] ; [98 72],[36.40969163 20.59030837] ; [108.59030837  61.40969163],1
v1,1,0.000856,11.115666,[34 22] ; [ 59 108],[23.35426009 32.64573991] ; [69.64573991 97.35426009],1
p9,1,0.002005,9.544811,[50  8] ; [106  58],[40.75675676 17.24324324] ; [115.24324324  48.75675676],0
p3,1,0.002319,9.278154,[20 38] ; [ 27 144],[11.90393013 46.09606987] ; [ 35.09606987 135.90393013],0
a3,1,0.007921,7.051166,[40 18] ; [82 86],[31.30973451 26.69026549] ; [90.69026549 77.30973451],0
p7,1,0.010589,6.532993,[33 24] ; [ 63 101],[24.760181 32.239819] ; [71.239819 92.760181],0
a5,1,0.013301,6.128632,[36 22] ; [74 97],[27.86026201 30.13973799] ; [82.13973799 88.86026201],0
r3,1,0.014166,6.017356,[55  3] ; [136  31],[49.23555556  8.76444444] ; [141.76444444  25.23555556],0
p11,1,0.028478,4.798909,[46 12] ; [109  62],[39.25764192 18.74235808] ; [115.74235808  55.25764192],0
p8,1,0.029666,4.728557,[24 34] ; [ 44 124],[17.45132743 40.54867257] ; [ 50.54867257 117.45132743],0
d5,1,0.033262,4.532252,[36 22] ; [78 92],[29. 29.] ; [85. 85.],0
