Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,96.001403,[555  14] ; [21 13],[543.52238806  25.47761194] ; [32.47761194  1.52238806],1
r4,1,0.0,93.24118,[534  37] ; [15 19],[518.14710744  52.85289256] ; [30.85289256  3.14710744],1
r1,1,2e-06,22.260051,[470  98] ; [17 17],[459.49501661 108.50498339] ; [27.50498339  6.49501661],1
d5,1,9e-06,19.69273,[474  95] ; [18 16],[464.25870647 104.74129353] ; [27.74129353  6.25870647],1
n4,1,4.9e-05,16.485268,[466 105] ; [18 16],[456.8 114.2] ; [27.2  6.8],1
s3,1,0.000202,13.816535,[316 246] ; [ 8 26],[305.51677852 256.48322148] ; [18.48322148 15.51677852],1
d1,1,0.000304,13.045771,[347 224] ; [10 24],[336.93719008 234.06280992] ; [20.06280992 13.93719008],1
p3,1,0.00176,9.784045,[307 261] ; [ 9 25],[298.15282392 269.84717608] ; [17.84717608 16.15282392],0
a2,1,0.003282,8.643586,[143 428] ; [ 1 33],[135.90743802 435.09256198] ; [ 8.09256198 25.90743802],0
a6,1,0.004083,8.246573,[401 168] ; [16 18],[393.48756219 175.51243781] ; [23.51243781 10.48756219],0
r3,1,0.00429,8.156604,[546  24] ; [28  5],[542.58706468  27.41293532] ; [31.41293532  1.58706468],0
n6,1,0.004731,7.979312,[495  73] ; [23 10],[489.55740433  78.44259567] ; [28.44259567  4.55740433],0
a7,1,0.013125,6.152176,[428 142] ; [19 15],[421.83774834 148.16225166] ; [25.16225166  8.83774834],0
v2,1,0.01438,5.990854,[332 213] ; [13 20],[325.30276817 219.69723183] ; [19.69723183 13.30276817],0
d3,1,0.021975,5.247783,[392 177] ; [17 17],[385.93864013 183.06135987] ; [23.06135987 10.93864013],0
p2,1,0.022362,5.217389,[495  72] ; [25  9],[490.58236273  76.41763727] ; [29.41763727  4.58236273],0
p5,1,0.023009,5.167791,[ 72 493] ; [ 9 25],[ 76.40233723 488.59766277] ; [ 4.59766277 29.40233723],0
b1,1,0.025659,4.978869,[210 361] ; [19 15],[216.13057851 354.86942149] ; [12.86942149 21.13057851],0
s2,1,0.040462,4.198425,[286 281] ; [11 23],[280.19800333 286.80199667] ; [16.80199667 17.19800333],0
v1,1,0.054885,3.685573,[320 232] ; [14 20],[314.62116041 237.37883959] ; [19.37883959 14.62116041],0
a3,1,0.062907,3.459032,[418 151] ; [20 14],[413.30348259 155.69651741] ; [24.69651741  9.30348259],0
a4,1,0.064902,3.407471,[260 310] ; [10 24],[254.8013245 315.1986755] ; [15.1986755 18.8013245],0
d2,1,0.068486,3.318942,[275 293] ; [11 23],[269.84717608 298.15282392] ; [16.15282392 17.84717608],0
n3,1,0.07174,3.242756,[82 28] ; [6 6],[79.3442623 30.6557377] ; [8.6557377 3.3442623],0
s7,1,0.073653,3.199674,[275 268] ; [11 21],[270.08347826 272.91652174] ; [15.91652174 16.08347826],0
n5,1,0.076935,3.128488,[455 112] ; [23 11],[450.95840266 116.04159734] ; [27.04159734  6.95840266],0
u3,1,0.083613,2.99323,[90 61] ; [5 9],[86.93939394 64.06060606] ; [8.06060606 5.93939394],0
p8,1,0.089058,2.891312,[317 248] ; [14 20],[312.21202003 252.78797997] ; [18.78797997 15.21202003],0
p7,1,0.114927,2.485132,[368 188] ; [18 16],[363.7559322 192.2440678] ; [22.2440678 11.7559322],0
p6,1,0.1184,2.438363,[207 356] ; [ 8 26],[202.75544389 360.24455611] ; [12.24455611 21.75544389],0
a5,1,0.151744,2.054632,[432 139] ; [22 12],[428.48595041 142.51404959] ; [25.51404959  8.48595041],0
n2,1,0.166753,1.911894,[85 26] ; [7 5],[83.02439024 27.97560976] ; [8.97560976 3.02439024],0
u2,1,0.168878,1.892877,[91 61] ; [11  3],[93.39759036 58.60240964] ; [8.60240964 5.39759036],0
u1,1,0.19765,1.659655,[ 99 472] ; [ 3 31],[ 96.2677686 474.7322314] ; [ 5.7322314 28.2677686],0
s6,1,0.230703,1.436525,[370 191] ; [19 15],[366.77142857 194.22857143] ; [22.22857143 11.77142857],0
s1,1,0.272155,1.205855,[ 15 549] ; [ 2 32],[ 16.03344482 547.96655518] ; [ 0.96655518 33.03344482],0
n1,1,0.284074,1.147497,[45 65] ; [3 9],[43.27868852 66.72131148] ; [4.72131148 7.27868852],0
d4,1,0.289591,1.121522,[475  94] ; [26  8],[472.75124378  96.24875622] ; [28.24875622  5.75124378],0
a1,1,0.313892,1.014229,[ 28 543] ; [ 3 31],[ 29.25785124 541.74214876] ; [ 1.74214876 32.25785124],0
v3,1,0.341902,0.903286,[239 309] ; [12 22],[236.33676976 311.66323024] ; [14.66323024 19.33676976],0
p4,1,0.427228,0.630347,[356 212] ; [19 15],[353.82059801 214.17940199] ; [21.17940199 12.82059801],0
s5,1,0.474327,0.511878,[179 374] ; [ 9 25],[177.11073254 375.88926746] ; [10.88926746 23.11073254],0
p9,1,0.501449,0.451868,[535  34] ; [31  3],[534.08623549  34.91376451] ; [31.91376451  2.08623549],0
p12,1,0.610829,0.25897,[ 52 516] ; [ 4 30],[ 52.8372093 515.1627907] ; [ 3.1627907 30.8372093],0
p11,1,0.661745,0.19141,[486  85] ; [28  6],[485.11404959  85.88595041] ; [28.88595041  5.11404959],0
b4,1,0.677344,0.173131,[332 239] ; [21 13],[333.16198347 237.83801653] ; [19.83801653 14.16198347],0
s8,1,0.812254,0.056415,[262 305] ; [15 19],[261.32945092 305.67054908] ; [15.67054908 18.32945092],0
