Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2.5e-05,17.776684,[ 2 30] ; [23 21],[10.52631579 21.47368421] ; [14.47368421 29.52631579],1
d5,1,0.001321,10.312308,[11 20] ; [32 12],[17.77333333 13.22666667] ; [25.22666667 18.77333333],0
s6,1,0.002169,9.401128,[ 3 27] ; [19 25],[ 8.91891892 21.08108108] ; [13.08108108 30.91891892],0
s5,1,0.005128,7.833652,[ 2 29] ; [14 27],[ 6.88888889 24.11111111] ; [ 9.11111111 31.88888889],0
d3,1,0.010448,6.556796,[10 20] ; [28 16],[15.40540541 14.59459459] ; [22.59459459 21.40540541],0
n5,1,0.012998,6.169436,[23  9] ; [19 25],[17.68421053 14.31578947] ; [24.31578947 19.68421053],0
d2,1,0.028054,4.824755,[ 9 23] ; [23 20],[13.65333333 18.34666667] ; [18.34666667 24.65333333],0
a4,1,0.033833,4.503142,[ 6 26] ; [18 25],[10.24 21.76] ; [13.76 29.24],0
u2,1,0.051612,3.788308,[ 4 16] ; [9 9],[ 6.84210526 13.15789474] ; [ 6.15789474 11.84210526],0
a5,1,0.053028,3.743024,[11 21] ; [25 19],[15.15789474 16.84210526] ; [20.84210526 23.15789474],0
a3,1,0.077017,3.126757,[12 20] ; [25 18],[15.78666667 16.21333333] ; [21.21333333 21.78666667],0
s4,1,0.078302,3.099792,[ 4 28] ; [13 31],[ 7.15789474 24.84210526] ; [ 9.84210526 34.15789474],0
p6,1,0.124889,2.354911,[ 8 23] ; [ 5 37],[ 5.52054795 25.47945205] ; [ 7.47945205 34.52054795],0
v4,1,0.147941,2.093349,[19 13] ; [33 11],[21.89473684 10.10526316] ; [30.10526316 13.89473684],0
r3,1,0.182166,1.779864,[17 15] ; [30 14],[19.78947368 12.21052632] ; [27.21052632 16.78947368],0
b4,1,0.202068,1.627368,[12 20] ; [23 21],[14.73684211 17.26315789] ; [20.26315789 23.73684211],0
u3,1,0.257362,1.282895,[ 5 15] ; [ 8 11],[ 6.66666667 13.33333333] ; [ 6.33333333 12.66666667],0
b5,1,0.260275,1.267292,[17 15] ; [29 15],[19.36842105 12.63157895] ; [26.63157895 17.36842105],0
p3,1,0.26225,1.25684,[ 8 24] ; [16 27],[10.24 21.76] ; [13.76 29.24],0
a7,1,0.282097,1.15696,[13 18] ; [24 20],[15.29333333 15.70666667] ; [21.70666667 22.29333333],0
s2,1,0.292686,1.107226,[ 8 24] ; [16 28],[10.10526316 21.89473684] ; [13.89473684 30.10526316],0
s3,1,0.307748,1.040317,[10 22] ; [18 24],[12.10810811 19.89189189] ; [15.89189189 26.10810811],0
n1,1,0.331171,0.944312,[5 6] ; [ 5 13],[3.79310345 7.20689655] ; [ 6.20689655 11.79310345],0
a6,1,0.352723,0.863636,[18 14] ; [20 24],[16. 16.] ; [22. 22.],0
v1,1,0.358561,0.842926,[ 8 24] ; [15 28],[ 9.81333333 22.18666667] ; [13.18666667 29.81333333],0
v2,1,0.380281,0.769795,[ 7 24] ; [14 30],[ 8.68 22.32] ; [12.32 31.68],0
s8,1,0.405411,0.692218,[ 3 29] ; [ 7 37],[ 4.21052632 27.78947368] ; [ 5.78947368 38.21052632],0
n2,1,0.410727,0.676695,[5 6] ; [11  7],[6.06896552 4.93103448] ; [9.93103448 8.06896552],0
a8,1,0.411158,0.67545,[ 3 28] ; [ 2 40],[ 2.12328767 28.87671233] ; [ 2.87671233 39.12328767],0
n4,1,0.418188,0.655401,[19 13] ; [22 22],[17.26315789 14.73684211] ; [23.73684211 20.26315789],0
s7,1,0.430979,0.620185,[ 5 25] ; [10 31],[ 6.33802817 23.66197183] ; [ 8.66197183 32.33802817],0
b3,1,0.436275,0.606061,[ 6 10] ; [12 12],[7.2 8.8] ; [10.8 13.2],0
b2,1,0.436275,0.606061,[ 6 10] ; [12 12],[7.2 8.8] ; [10.8 13.2],0
b1,1,0.472617,0.515851,[17 15] ; [27 17],[18.52631579 13.47368421] ; [25.47368421 18.52631579],0
n6,1,0.472617,0.515851,[17 15] ; [27 17],[18.52631579 13.47368421] ; [25.47368421 18.52631579],0
p2,1,0.50891,0.436307,[17 15] ; [20 24],[15.57894737 16.42105263] ; [21.42105263 22.57894737],0
a2,1,0.570257,0.322252,[ 3 29] ; [ 6 38],[ 3.78947368 28.21052632] ; [ 5.21052632 38.78947368],0
n3,1,0.59737,0.27898,[6 5] ; [ 8 10],[5.31034483 5.68965517] ; [8.68965517 9.31034483],0
a1,1,0.632557,0.22861,[ 4 28] ; [ 4 40],[ 3.36842105 28.63157895] ; [ 4.63157895 39.36842105],0
p10,1,0.641745,0.216467,[10 20] ; [17 27],[10.94594595 19.05405405] ; [16.05405405 27.94594595],0
p4,1,0.656478,0.19783,[12 20] ; [14 29],[11.09333333 20.90666667] ; [14.90666667 28.09333333],0
p8,1,0.674658,0.176202,[ 7 24] ; [ 8 35],[ 6.28378378 24.71621622] ; [ 8.71621622 34.28378378],0
s1,1,0.742485,0.107955,[ 2 30] ; [ 2 42],[ 1.68421053 30.31578947] ; [ 2.31578947 41.68421053],0
r4,1,0.764026,0.090119,[12 20] ; [18 26],[12.63157895 19.36842105] ; [17.36842105 26.63157895],0
r2,1,0.859714,0.031237,[24  8] ; [30 11],[23.67123288  8.32876712] ; [30.32876712 10.67123288],0
v3,1,0.88766,0.019956,[ 7 25] ; [10 33],[ 7.25333333 24.74666667] ; [ 9.74666667 33.25333333],0
p9,1,0.956571,0.002966,[15 14] ; [22 20],[15.11267606 13.88732394] ; [21.88732394 20.11267606],0
p1,1,0.966271,0.001788,[ 3 29] ; [ 4 40],[ 2.94736842 29.05263158] ; [ 4.05263158 39.94736842],0
p7,1,0.980149,0.000619,[13 19] ; [18 26],[13.05263158 18.94736842] ; [17.94736842 26.05263158],0
