Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,81.505665,[350  91] ; [ 74 102],[303.0534846 137.9465154] ; [120.9465154  55.0534846],1
d3,1,0.0,76.745539,[341 101] ; [ 71 105],[294.66666667 147.33333333] ; [117.33333333  58.66666667],1
u1,1,0.0,26.924792,[ 93 350] ; [  7 169],[ 71.56704362 371.43295638] ; [ 28.43295638 147.56704362],1
a2,1,0.0,26.430977,[122 321] ; [ 15 161],[ 98.04684976 344.95315024] ; [ 38.95315024 137.04684976],1
d1,1,0.000236,13.522312,[278 165] ; [82 94],[257.64135703 185.35864297] ; [102.35864297  73.64135703],1
r4,1,0.000493,12.141795,[411  32] ; [147  29],[399.34410339  43.65589661] ; [158.65589661  17.34410339],1
d4,1,0.001281,10.370352,[377  65] ; [130  45],[363.1993517  78.8006483] ; [143.8006483  31.1993517],0
p2,1,0.001602,9.95795,[390  51] ; [135  37],[377.69168026  63.30831974] ; [147.30831974  24.69168026],0
d5,1,0.00271,8.993274,[370  72] ; [128  47],[356.75202593  85.24797407] ; [141.24797407  33.75202593],0
r1,1,0.003216,8.680707,[364  76] ; [127  49],[350.71428571  89.28571429] ; [140.28571429  35.71428571],0
v4,1,0.003521,8.51543,[423  15] ; [159  16],[415.84991843  22.15008157] ; [166.15008157   8.84991843],0
p10,1,0.004027,8.271757,[385  54] ; [135  37],[373.61702128  65.38297872] ; [146.38297872  25.61702128],0
u3,1,0.005155,7.824296,[79 46] ; [20 30],[70.71428571 54.28571429] ; [28.28571429 21.71428571],0
r3,1,0.006027,7.542088,[430  10] ; [164  12],[424.28571429  15.71428571] ; [169.71428571   6.28571429],0
p8,1,0.006413,7.430405,[256 180] ; [80 92],[240.94736842 195.05263158] ; [95.05263158 76.94736842],0
b1,1,0.006754,7.337268,[145 298] ; [78 98],[159.59450727 283.40549273] ; [ 63.40549273 112.59450727],0
b5,1,0.0095,6.72636,[272 171] ; [88 88],[257.64135703 185.35864297] ; [102.35864297  73.64135703],0
v2,1,0.017739,5.621772,[267 157] ; [88 80],[254.25675676 169.74324324] ; [100.74324324  67.25675676],0
p4,1,0.024714,5.043811,[278 163] ; [92 81],[265.74918567 175.25081433] ; [104.25081433  68.74918567],0
r2,1,0.070891,3.262261,[413  23] ; [157  16],[408.07881773  27.92118227] ; [161.92118227  11.07881773],0
b3,1,0.07107,3.258134,[105 169] ; [59 64],[113.18891688 160.81108312] ; [50.81108312 72.18891688],0
b2,1,0.07107,3.258134,[105 169] ; [59 64],[113.18891688 160.81108312] ; [50.81108312 72.18891688],0
b4,1,0.143821,2.136593,[270 173] ; [96 80],[261.93537964 181.06462036] ; [104.06462036  71.93537964],0
p12,1,0.146511,2.108206,[ 45 396] ; [ 11 160],[ 40.35294118 400.64705882] ; [ 15.64705882 155.35294118],0
a5,1,0.148164,2.09105,[337 106] ; [124  52],[329.92407108 113.07592892] ; [131.07592892  44.92407108],0
n6,1,0.152554,2.046528,[381  58] ; [144  31],[375.36644951  63.63355049] ; [149.63355049  25.36644951],0
a8,1,0.166067,1.91809,[ 69 329] ; [ 21 145],[ 63.5106383 334.4893617] ; [ 26.4893617 139.5106383],0
p9,1,0.170696,1.876816,[387  50] ; [147  27],[381.92798691  55.07201309] ; [152.07201309  21.92798691],0
p3,1,0.20101,1.635019,[228 213] ; [80 94],[220.85853659 220.14146341] ; [87.14146341 86.85853659],0
s6,1,0.285659,1.139969,[276 161] ; [100  71],[270.25 166.75] ; [105.75  65.25],0
p7,1,0.299178,1.077856,[286 143] ; [107  65],[280.52745424 148.47254576] ; [112.47254576  59.52745424],0
u2,1,0.32478,0.969598,[79 46] ; [27 22],[76.14942529 48.85057471] ; [29.85057471 19.14942529],0
s8,1,0.35134,0.86861,[186 252] ; [82 94],[191.17915309 246.82084691] ; [76.82084691 99.17915309],0
s5,1,0.376017,0.783685,[125 308] ; [ 55 114],[129.46843854 303.53156146] ; [ 50.53156146 118.46843854],0
p1,1,0.450436,0.569556,[ 41 398] ; [ 13 162],[ 38.60912052 400.39087948] ; [ 15.39087948 159.60912052],0
n4,1,0.482373,0.493494,[356  87] ; [137  39],[352.82552504  90.17447496] ; [140.17447496  35.82552504],0
