Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,175.869975,[497  61] ; [60 93],[437.13924051 120.86075949] ; [119.86075949  33.13924051],1
n6,1,0.0,53.349698,[512  46] ; [106  47],[485.01265823  72.98734177] ; [132.98734177  20.01265823],1
p3,1,1e-06,23.687193,[320 236] ; [ 55 100],[293.24894515 262.75105485] ; [81.75105485 73.24894515],1
p4,1,6e-06,20.403565,[374 182] ; [73 81],[350.04507042 205.95492958] ; [96.95492958 57.04507042],1
a5,1,1.9e-05,18.249869,[440 119] ; [96 59],[419.64145658 139.35854342] ; [116.35854342  38.64145658],1
s7,1,5.8e-05,16.179793,[298 235] ; [56 94],[276.25475842 256.74524158] ; [77.74524158 72.25475842],1
d2,1,5.8e-05,16.179209,[288 268] ; [ 52 103],[265.8790436 290.1209564] ; [74.1209564 80.8790436],1
a3,1,6.9e-05,15.848349,[424 133] ; [93 62],[404.4508427 152.5491573] ; [112.5491573  42.4508427],1
r4,1,7.3e-05,15.718985,[531  28] ; [133  22],[519.85434174  39.14565826] ; [144.14565826  10.85434174],1
d1,1,9.5e-05,15.224308,[360 199] ; [73 82],[339.00140056 219.99859944] ; [93.99859944 61.00140056],1
a4,1,0.000174,14.093757,[271 287] ; [ 49 106],[250.43478261 307.56521739] ; [69.56521739 85.43478261],1
r2,1,0.000237,13.511435,[540  14] ; [141  14],[532.1212976  21.8787024] ; [148.8787024   6.1212976],1
r1,1,0.000863,11.100977,[471  87] ; [112  42],[456.90168539 101.09831461] ; [126.09831461  27.90168539],1
p6,1,0.000868,11.089963,[230 323] ; [ 41 112],[212.27053824 340.72946176] ; [58.72946176 94.27053824],1
a8,1,0.001118,10.620577,[ 76 431] ; [  7 139],[ 64.44257274 442.55742726] ; [ 18.55742726 127.44257274],0
v3,1,0.001244,10.424007,[242 299] ; [ 44 103],[224.89244186 316.10755814] ; [61.10755814 85.89244186],0
a2,1,0.001298,10.345821,[149 410] ; [ 22 133],[133.87815126 425.12184874] ; [ 37.12184874 117.87815126],0
p11,1,0.001542,10.027781,[484  75] ; [118  37],[471.31372549  87.68627451] ; [130.68627451  24.31372549],0
d5,1,0.002445,9.181629,[471  86] ; [114  40],[458.29113924  98.70886076] ; [126.70886076  27.29113924],0
u1,1,0.002846,8.903931,[112 447] ; [ 15 140],[ 99.42997199 459.57002801] ; [ 27.57002801 127.42997199],0
v1,1,0.003036,8.785781,[321 221] ; [69 82],[305.02164502 236.97835498] ; [84.97835498 66.02164502],0
s4,1,0.003285,8.642076,[ 86 466] ; [ 40 115],[ 98.37623762 453.62376238] ; [ 27.62376238 127.37623762],0
s8,1,0.006724,7.345213,[280 276] ; [59 96],[265.09704641 290.90295359] ; [73.90295359 81.09704641],0
